Year,Relationship to the victim,Offence type,Offence category,Threat type,Age,Ethnicity,Ethnicity type,Marital status,Employment status,Occupation,Highest qualification,Disability status,Disability severity,Hours out of home on an average weekday,Structure of household,Household income,Tenure,Accommodation type,Output area classification,Area type,Level of physical disorder,Employment deprivation index,Region,Value
2004,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,8.290173728
2004,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,5.104475088
2004,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,6.705340343
2004,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,5.45729882
2004,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,16.93836745
2004,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.723083268
2004,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,3.845554544
2004,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,6.707261584
2004,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,6.233362961
2004,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,5.176675119
2004,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,11.04113016
2004,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,7.349318413
2004,Family abuse,,,,,,,,,,,,,,,,,,,,,,,8.681588471
2004,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,15.66091262
2004,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,9.01865429
2004,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,6.286528391
2004,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,9.302254752
2004,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,5.20522459
2004,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,4.790018887
2004,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,5.814625199
2005,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,6.695112565
2005,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,5.14666877
2005,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,2.398204032
2005,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,11.8684089
2005,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,2.288264459
2005,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,6.446233326
2005,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,6.286097962
2005,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,3.024956387
2005,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,9.650231086
