Year,Subject,Sex,Value
2015,,,61.10381077529566
2015,,Female,65.65694812570996
2015,,Male,56.6058801637514
2009,English,,69.8
2009,English,Female,76.5
2009,English,Male,63.1
2009,Maths,,64.6
2009,Maths,Female,64.8
2009,Maths,Male,64.5
2010,English,,72.3
2010,English,Female,78.8
2010,English,Male,65.8
2010,Maths,,67.0
2010,Maths,Female,67.3
2010,Maths,Male,66.8
2011,English,,69.3
2011,English,Female,76.5
2011,English,Male,62.2
2011,Maths,,70.9
2011,Maths,Female,71.2
2011,Maths,Male,70.6
2012,English,,70.7
2012,English,Female,78.0
2012,English,Male,63.4
2012,Maths,,72.8
2012,Maths,Female,73.2
2012,Maths,Male,72.3
2013,English,,72.4
2013,English,Female,79.8
2013,English,Male,64.7
2013,Maths,,68.0
2013,Maths,Female,68.7
2013,Maths,Male,67.3
2014,English,,74.8
2014,English,Female,82.0
2014,English,Male,67.2
2014,Maths,,70.2
2014,Maths,Female,70.7
2014,Maths,Male,69.8
2015,English,,72.8
2015,English,Female,80.2
2015,English,Male,65.0
2015,Maths,,71.7
2015,Maths,Female,72.6
2015,Maths,Male,70.8
2016,,English,69.6
2016,Female,English,62.4
2016,Male,English,61.3
2016,,Maths,70.4
2016,Female,Maths,70.7
2016,Male,Maths,70.1
2015,,Englishand maths,61.10381077529566
2015,Female,Englishand maths,65.65694812570996
2015,Male,Englishand maths,56.6058801637514
