Year,Units,Key Stage,Sex,Value
2012,Percentage (%) with English proficiency,1,,87.0
2012,Percentage (%) with English proficiency,1,Female,90.0
2012,Percentage (%) with English proficiency,1,Male,84.0
2012,Percentage (%) with Maths proficiency,1,,91.0
2012,Percentage (%) with Maths proficiency,1,Female,92.0
2012,Percentage (%) with Maths proficiency,1,Male,89.0
2013,Percentage (%) with English proficiency,1,,89.0
2013,Percentage (%) with English proficiency,1,Female,92.0
2013,Percentage (%) with English proficiency,1,Male,86.0
2013,Percentage (%) with Maths proficiency,1,,91.0
2013,Percentage (%) with Maths proficiency,1,Female,93.0
2013,Percentage (%) with Maths proficiency,1,Male,90.0
2014,Percentage (%) with English proficiency,1,,90.0
2014,Percentage (%) with English proficiency,1,Female,93.0
2014,Percentage (%) with English proficiency,1,Male,87.0
2014,Percentage (%) with Maths proficiency,1,,92.0
2014,Percentage (%) with Maths proficiency,1,Female,93.0
2014,Percentage (%) with Maths proficiency,1,Male,91.0
2015,Percentage (%) with English proficiency,1,,90.0
2015,Percentage (%) with English proficiency,1,Female,93.0
2015,Percentage (%) with English proficiency,1,Male,88.0
2015,Percentage (%) with Maths proficiency,1,,93.0
2015,Percentage (%) with Maths proficiency,1,Female,94.0
2015,Percentage (%) with Maths proficiency,1,Male,91.0
2016,Percentage (%) with English proficiency,1,,74.0
2016,Percentage (%) with English proficiency,1,Female,78.0
2016,Percentage (%) with English proficiency,1,Male,70.0
2016,Percentage (%) with Maths proficiency,1,,73.0
2016,Percentage (%) with Maths proficiency,1,Female,74.0
2016,Percentage (%) with Maths proficiency,1,Male,72.0
2000,Percentage (%) with English proficiency,2,,83.0
2000,Percentage (%) with Maths proficiency,2,,72.0
2001,Percentage (%) with English proficiency,2,,82.0
2001,Percentage (%) with Maths proficiency,2,,71.0
2002,Percentage (%) with English proficiency,2,,80.0
2002,Percentage (%) with Maths proficiency,2,,73.0
2003,Percentage (%) with English proficiency,2,,81.0
2003,Percentage (%) with Maths proficiency,2,,73.0
2004,Percentage (%) with English proficiency,2,,83.0
2004,Percentage (%) with Maths proficiency,2,,74.0
2005,Percentage (%) with English proficiency,2,,84.0
2005,Percentage (%) with Maths proficiency,2,,75.0
2006,Percentage (%) with English proficiency,2,,83.0
2006,Percentage (%) with Maths proficiency,2,,76.0
2007,Percentage (%) with English proficiency,2,,84.0
2007,Percentage (%) with English proficiency,2,Male,81.0
2007,Percentage (%) with English proficiency,2,Female,87.0
2007,Percentage (%) with Maths proficiency,2,,77.0
2007,Percentage (%) with Maths proficiency,2,Male,78.0
2007,Percentage (%) with Maths proficiency,2,Female,76.0
2008,Percentage (%) with English proficiency,2,,87.0
2008,Percentage (%) with English proficiency,2,Male,83.0
2008,Percentage (%) with English proficiency,2,Female,90.0
2008,Percentage (%) with Maths proficiency,2,,79.0
2008,Percentage (%) with Maths proficiency,2,Male,79.0
2008,Percentage (%) with Maths proficiency,2,Female,78.0
2009,Percentage (%) with English proficiency,2,,86.0
2009,Percentage (%) with English proficiency,2,Male,82.0
2009,Percentage (%) with English proficiency,2,Female,89.0
2009,Percentage (%) with Maths proficiency,2,,79.0
2009,Percentage (%) with Maths proficiency,2,Male,79.0
2009,Percentage (%) with Maths proficiency,2,Female,78.0
2010,Percentage (%) with English proficiency,2,,83.0
2010,Percentage (%) with English proficiency,2,Male,80.0
2010,Percentage (%) with English proficiency,2,Female,87.0
2010,Percentage (%) with Maths proficiency,2,,79.0
2010,Percentage (%) with Maths proficiency,2,Male,79.0
2010,Percentage (%) with Maths proficiency,2,Female,79.0
2011,Percentage (%) with English proficiency,2,,84.0
2011,Percentage (%) with English proficiency,2,Male,80.0
2011,Percentage (%) with English proficiency,2,Female,88.0
2011,Percentage (%) with Maths proficiency,2,,80.0
2011,Percentage (%) with Maths proficiency,2,Male,80.0
2011,Percentage (%) with Maths proficiency,2,Female,80.0
2012,Percentage (%) with English proficiency,2,,87.0
2012,Percentage (%) with English proficiency,2,Male,84.0
2012,Percentage (%) with English proficiency,2,Female,90.0
2012,Percentage (%) with Maths proficiency,2,,84.0
2012,Percentage (%) with Maths proficiency,2,Male,84.0
2012,Percentage (%) with Maths proficiency,2,Female,84.0
2013,Percentage (%) with English proficiency,2,,86.0
2013,Percentage (%) with English proficiency,2,Male,83.0
2013,Percentage (%) with English proficiency,2,Female,88.0
2013,Percentage (%) with Maths proficiency,2,,85.0
2013,Percentage (%) with Maths proficiency,2,Male,84.0
2013,Percentage (%) with Maths proficiency,2,Female,85.0
2014,Percentage (%) with English proficiency,2,,89.0
2014,Percentage (%) with English proficiency,2,Male,87.0
2014,Percentage (%) with English proficiency,2,Female,91.0
2014,Percentage (%) with Maths proficiency,2,,86.0
2014,Percentage (%) with Maths proficiency,2,Male,86.0
2014,Percentage (%) with Maths proficiency,2,Female,86.0
2015,Percentage (%) with English proficiency,2,,89.0
2015,Percentage (%) with English proficiency,2,Male,87.0
2015,Percentage (%) with English proficiency,2,Female,91.0
2015,Percentage (%) with Maths proficiency,2,,87.0
2015,Percentage (%) with Maths proficiency,2,Male,87.0
