Year,Country,Age of child,Sex,Region,Health board,Birthweight (grams),Type of registration,National statistics socio-economic classification (NS-SEC),GeoCode,Value
2008,,,,,,,,,,3.2
2009,,,,,,,,,,3.1
2010,,,,,,,,,,3.0
2011,,,,,,,,,,2.9
2012,,,,,,,,,,2.8
2013,,,,,,,,,,2.7
2014,,,,,,,,,,2.6
2015,,,,,,,,,,2.6
2000,England and Wales,,,,,,,,K04000001,3.9
2001,England and Wales,,,,,,,,K04000001,3.6
2002,England and Wales,,,,,,,,K04000001,3.6
2003,England and Wales,,,,,,,,K04000001,3.6
2004,England and Wales,,,,,,,,K04000001,3.5
2005,England and Wales,,,,,,,,K04000001,3.4
2006,England and Wales,,,,,,,,K04000001,3.5
2007,England and Wales,,,,,,,,K04000001,3.3
2008,England and Wales,,,,,,,,K04000001,3.2
2009,England and Wales,,,,,,,,K04000001,3.1
2010,England and Wales,,,,,,,,K04000001,2.9
2011,England and Wales,,,,,,,,K04000001,2.9
2012,England and Wales,,,,,,,,K04000001,2.8
2013,England and Wales,,,,,,,,K04000001,2.7
2014,England and Wales,,,,,,,,K04000001,2.5
2015,England and Wales,,,,,,,,K04000001,2.6
2000,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.9
2001,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.7
2002,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.7
2003,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.8
2004,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.7
2005,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.6
2006,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.6
2007,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.5
2008,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.4
2009,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.4
2010,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.3
2011,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.3
2012,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.2
2013,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.0
2014,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.0
2015,England and Wales,Early neonatal (under 7 days),,,,,,,K04000001,2.1
2000,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,1.0
2001,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.9
2002,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,1.0
2003,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.8
2004,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.8
2005,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.8
2006,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.9
2007,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.7
2008,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.7
2009,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.7
2010,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.6
2011,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.7
2012,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.6
2013,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.6
2014,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.6
2015,England and Wales,Late neonatal (7 to 28 days),,,,,,,K04000001,0.6
2008,,,Male,,,,,,,3.5
2009,,,Male,,,,,,,3.4
2010,,,Male,,,,,,,3.2
2011,,,Male,,,,,,,3.3
2012,,,Male,,,,,,,3.1
2013,,,Male,,,,,,,2.9
2014,,,Male,,,,,,,2.7
2015,,,Male,,,,,,,3.0
2008,,,Female,,,,,,,2.8
2009,,,Female,,,,,,,2.9
2010,,,Female,,,,,,,2.7
2011,,,Female,,,,,,,2.5
2012,,,Female,,,,,,,2.4
2013,,,Female,,,,,,,2.4
2014,,,Female,,,,,,,2.4
2015,,,Female,,,,,,,2.3
2008,England and Wales,,Male,,,,,,K04000001,3.5
2009,England and Wales,,Male,,,,,,K04000001,3.4
2010,England and Wales,,Male,,,,,,K04000001,3.2
2011,England and Wales,,Male,,,,,,K04000001,3.3
2012,England and Wales,,Male,,,,,,K04000001,3.1
2013,England and Wales,,Male,,,,,,K04000001,3.0
2014,England and Wales,,Male,,,,,,K04000001,2.7
2015,England and Wales,,Male,,,,,,K04000001,3.0
2008,England and Wales,,Female,,,,,,K04000001,2.8
2009,England and Wales,,Female,,,,,,K04000001,2.9
2010,England and Wales,,Female,,,,,,K04000001,2.7
2011,England and Wales,,Female,,,,,,K04000001,2.5
2012,England and Wales,,Female,,,,,,K04000001,2.5
2013,England and Wales,,Female,,,,,,K04000001,2.4
2014,England and Wales,,Female,,,,,,K04000001,2.4
2015,England and Wales,,Female,,,,,,K04000001,2.3
2008,England,,,,,,,,E92000001,3.2
2009,England,,,,,,,,E92000001,3.1
2010,England,,,,,,,,E92000001,2.9
2011,England,,,,,,,,E92000001,2.9
2012,England,,,,,,,,E92000001,2.8
2013,England,,,,,,,,E92000001,2.7
2014,England,,,,,,,,E92000001,2.5
2015,England,,,,,,,,E92000001,2.6
2008,England,,Male,,,,,,E92000001,3.5
2009,England,,Male,,,,,,E92000001,3.3
2010,England,,Male,,,,,,E92000001,3.2
2011,England,,Male,,,,,,E92000001,3.3
2012,England,,Male,,,,,,E92000001,3.1
2013,England,,Male,,,,,,E92000001,3.0
2014,England,,Male,,,,,,E92000001,2.7
2015,England,,Male,,,,,,E92000001,3.0
2008,England,,Female,,,,,,E92000001,2.8
2009,England,,Female,,,,,,E92000001,2.9
2010,England,,Female,,,,,,E92000001,2.7
2011,England,,Female,,,,,,E92000001,2.5
2012,England,,Female,,,,,,E92000001,2.5
2013,England,,Female,,,,,,E92000001,2.4
2014,England,,Female,,,,,,E92000001,2.4
2015,England,,Female,,,,,,E92000001,2.3
2008,Wales,,,,,,,,W92000004,2.9
2009,Wales,,,,,,,,W92000004,3.1
2010,Wales,,,,,,,,W92000004,2.7
2011,Wales,,,,,,,,W92000004,2.8
2012,Wales,,,,,,,,W92000004,2.8
2013,Wales,,,,,,,,W92000004,2.4
2014,Wales,,,,,,,,W92000004,2.1
2015,Wales,,,,,,,,W92000004,2.5
2008,Wales,,Male,,,,,,W92000004,3.4
2009,Wales,,Male,,,,,,W92000004,3.3
2010,Wales,,Male,,,,,,W92000004,3.2
2011,Wales,,Male,,,,,,W92000004,3.3
2012,Wales,,Male,,,,,,W92000004,3.3
2013,Wales,,Male,,,,,,W92000004,2.4
2014,Wales,,Male,,,,,,W92000004,2.5
2015,Wales,,Male,,,,,,W92000004,3.2
2008,Wales,,Female,,,,,,W92000004,2.5
2009,Wales,,Female,,,,,,W92000004,2.9
2010,Wales,,Female,,,,,,W92000004,2.2
2011,Wales,,Female,,,,,,W92000004,2.2
2012,Wales,,Female,,,,,,W92000004,2.2
2013,Wales,,Female,,,,,,W92000004,2.4
2014,Wales,,Female,,,,,,W92000004,1.8
