Year,Sex,Abuse type,Region,Abuse category,Threats or force,Age,Ethnicity,Ethnic group,Marital status,Employment status,Occupation,Highest qualification,Disability status,Hours out of home on an average weekday,Structure of household,Household income,Tenure,Accommodation type,Output area classification,Area type,Level of physical disorder,Employment deprivation index,GeoCode,Value
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.75612485608931
2014,Male,Non-sexual,,,,16-19,,,,,,,,,,,,,,,,,,3.70399507245354
2014,Male,Non-sexual,,,,20-24,,,,,,,,,,,,,,,,,,3.00847950706406
2014,Male,Non-sexual,,,,25-34,,,,,,,,,,,,,,,,,,2.41057566001476
2014,Male,Non-sexual,,,,35-44,,,,,,,,,,,,,,,,,,2.46782181345839
2014,Male,Non-sexual,,,,45-54,,,,,,,,,,,,,,,,,,2.58342813282272
2014,Male,Non-sexual,,,,55-59,,,,,,,,,,,,,,,,,,1.44355536162877
2014,Male,Non-sexual,,,,,White,,,,,,,,,,,,,,,,,2.81260459647553
2014,Male,Non-sexual,,,,,White,"English, Welsh, Scottish, Northern Irish or British",,,,,,,,,,,,,,,,2.95644732493722
2014,Male,Non-sexual,,,,,White,Irish,,,,,,,,,,,,,,,,2.14893409980187
2014,Male,Non-sexual,,,,,White,Any other white background,,,,,,,,,,,,,,,,1.15131184100127
2014,Male,Non-sexual,,,,,Mixed or multiple ethnic groups,,,,,,,,,,,,,,,,,1.87106219067967
2014,Male,Non-sexual,,,,,Asian or Asian British,,,,,,,,,,,,,,,,,0.315006484341746
2014,Male,Non-sexual,,,,,Asian or Asian British,Indian,,,,,,,,,,,,,,,,0.811522730835244
2014,Male,Non-sexual,,,,,Asian or Asian British,Pakistani,,,,,,,,,,,,,,,,0.0
2014,Male,Non-sexual,,,,,Asian or Asian British,Any other Asian background,,,,,,,,,,,,,,,,0.0
2014,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",,,,,,,,,,,,,,,,,2.91404037309451
2014,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",African,,,,,,,,,,,,,,,,1.19563485626528
2014,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",Caribbean,,,,,,,,,,,,,,,,1.63728109238585
2014,Male,Non-sexual,,,,,Other ethnic group,,,,,,,,,,,,,,,,,0.0
2014,Male,Non-sexual,,,,,,,Married,,,,,,,,,,,,,,,1.46877857072942
2014,Male,Non-sexual,,,,,,,Cohabiting,,,,,,,,,,,,,,,3.91578120000564
2014,Male,Non-sexual,,,,,,,Single,,,,,,,,,,,,,,,2.68285043258624
2014,Male,Non-sexual,,,,,,,Separated,,,,,,,,,,,,,,,8.68029607945743
2014,Male,Non-sexual,,,,,,,Divorced,,,,,,,,,,,,,,,6.97171046587517
2014,Male,Non-sexual,,,,,,,,Employed,,,,,,,,,,,,,,2.45608769373642
2014,Male,Non-sexual,,,,,,,,Unemployed,,,,,,,,,,,,,,3.53668393461575
2014,Male,Non-sexual,,,,,,,,Inactive,,,,,,,,,,,,,,2.78052601477755
2014,Male,Non-sexual,,,,,,,,Student,,,,,,,,,,,,,,2.1433404546229
2014,Male,Non-sexual,,,,,,,,Looking after family or home,,,,,,,,,,,,,,3.00633558416541
2014,Male,Non-sexual,,,,,,,,Long-term or temporarily ill,,,,,,,,,,,,,,4.40071272821879
2014,Male,Non-sexual,,,,,,,,Retired,,,,,,,,,,,,,,0.0
2014,Male,Non-sexual,,,,,,,,Other inactive,,,,,,,,,,,,,,4.03653689432718
2014,Male,Non-sexual,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,2.08530455145206
2014,Male,Non-sexual,,,,,,,,,Intermediate occupations,,,,,,,,,,,,,2.91988266741458
2014,Male,Non-sexual,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,2.7170046685419
2014,Male,Non-sexual,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,3.96097824649213
2014,Male,Non-sexual,,,,,,,,,Full-time students,,,,,,,,,,,,,2.38885917719072
2014,Male,Non-sexual,,,,,,,,,,Degree or diploma,,,,,,,,,,,,2.32596052979519
2014,Male,Non-sexual,,,,,,,,,,"Apprenticeship, A level or AS level",,,,,,,,,,,,2.68052823493652
2014,Male,Non-sexual,,,,,,,,,,O level or GCSE,,,,,,,,,,,,2.57642112364623
2014,Male,Non-sexual,,,,,,,,,,Other,,,,,,,,,,,,2.41124300927177
2014,Male,Non-sexual,,,,,,,,,,No qualifications,,,,,,,,,,,,3.33809489550787
2014,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,5.15716617520201
2014,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Limits activities,,,,,,,,,,,5.03830635524379
2014,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Does not limit activities,,,,,,,,,,,5.40137977313857
2014,Male,Non-sexual,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,2.15261584627569
2014,Male,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,,2.54414904177157
2014,Male,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,,2.34248180541133
2014,Male,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,,2.55530750638325
2014,Male,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,,2.48246758487239
2014,Male,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,,2.44599744067743
2014,Male,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,,16.9786069269978
2014,Male,Non-sexual,,,,,,,,,,,,,,"Less than £10,000",,,,,,,,5.53299610539495
2014,Male,Non-sexual,,,,,,,,,,,,,,"£10,000 to less than £20,000",,,,,,,,3.32132008418517
2014,Male,Non-sexual,,,,,,,,,,,,,,"£20,000 to less than £30,000",,,,,,,,2.61680213199734
2014,Male,Non-sexual,,,,,,,,,,,,,,"£30,000 to less than £40,000",,,,,,,,2.52795035112759
2014,Male,Non-sexual,,,,,,,,,,,,,,"£40,000 to less than £50,000",,,,,,,,2.49460286050192
2014,Male,Non-sexual,,,,,,,,,,,,,,"£50,000 or more",,,,,,,,2.02923848580219
2014,Male,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,2.11887758463628
2014,Male,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,,2.02525270986942
2014,Male,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,,4.47199669322964
2014,Male,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,,2.68248708673169
2014,Male,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,,2.48677686343479
2014,Male,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,,1.72135504054666
2014,Male,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,,2.658366199371
2014,Male,Non-sexual,,,,,,,,,,,,,,,,Terraced,,,,,,2.84711712084963
2014,Male,Non-sexual,,,,,,,,,,,,,,,,Flats or maisonettes,,,,,,3.06896809366397
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Rural residents,,,,,2.83835691755702
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Cosmopolitans,,,,,1.61731494285389
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Ethnicity central,,,,,2.08635473126664
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,,1.98246295580961
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Urbanites,,,,,3.10000119747012
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,,1.06986452805051
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,,4.26777349261082
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,,3.80067157527286
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,Urban,,,,2.47527229798343
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,Rural,,,,2.88546503377898
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,,High,,,3.63791089925276
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,,Not high,,,2.4979003752775
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,,3.10776914132663
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,Other output areas,,2.53692394495144
2014,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,,2.08975648494411
2014,Male,Non-sexual,North East,,,,,,,,,,,,,,,,,,,,E12000001,2.55873425559083
2014,Male,Non-sexual,North West,,,,,,,,,,,,,,,,,,,,E12000002,2.61249687138425
2014,Male,Non-sexual,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,E12000003,2.56489953231601
2014,Male,Non-sexual,East Midlands,,,,,,,,,,,,,,,,,,,,E12000004,2.82748349207925
2014,Male,Non-sexual,West Midlands,,,,,,,,,,,,,,,,,,,,E12000005,3.15727536814008
2014,Male,Non-sexual,East of England,,,,,,,,,,,,,,,,,,,,E12000006,2.48375800423485
2014,Male,Non-sexual,London,,,,,,,,,,,,,,,,,,,,E12000007,2.14686479165393
2014,Male,Non-sexual,South East,,,,,,,,,,,,,,,,,,,,E12000008,1.61488944273556
2014,Male,Non-sexual,South West,,,,,,,,,,,,,,,,,,,,E12000009,4.05650496473323
2014,Male,Non-sexual,Wales,,,,,,,,,,,,,,,,,,,,W92000004,2.31238607751137
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.75386225270752
2015,Male,Non-sexual,,,,16-19,,,,,,,,,,,,,,,,,,2.98357757596005
2015,Male,Non-sexual,,,,20-24,,,,,,,,,,,,,,,,,,3.04799981103718
2015,Male,Non-sexual,,,,25-34,,,,,,,,,,,,,,,,,,2.8609660565984
2015,Male,Non-sexual,,,,35-44,,,,,,,,,,,,,,,,,,2.63001758577213
2015,Male,Non-sexual,,,,45-54,,,,,,,,,,,,,,,,,,3.18988813536016
2015,Male,Non-sexual,,,,55-59,,,,,,,,,,,,,,,,,,1.23479405656171
2015,Male,Non-sexual,,,,,White,,,,,,,,,,,,,,,,,3.05457879644464
2015,Male,Non-sexual,,,,,White,"English, Welsh, Scottish, Northern Irish or British",,,,,,,,,,,,,,,,3.22932675197925
2015,Male,Non-sexual,,,,,White,Irish,,,,,,,,,,,,,,,,4.18411938603048
2015,Male,Non-sexual,,,,,White,Any other white background,,,,,,,,,,,,,,,,1.10062090681735
2015,Male,Non-sexual,,,,,Mixed or multiple ethnic groups,,,,,,,,,,,,,,,,,1.2605035335964
2015,Male,Non-sexual,,,,,Asian or Asian British,,,,,,,,,,,,,,,,,0.646092319596606
2015,Male,Non-sexual,,,,,Asian or Asian British,Indian,,,,,,,,,,,,,,,,1.17781333712641
2015,Male,Non-sexual,,,,,Asian or Asian British,Pakistani,,,,,,,,,,,,,,,,0.20035093885024
2015,Male,Non-sexual,,,,,Asian or Asian British,Chinese,,,,,,,,,,,,,,,,1.14987379223567
2015,Male,Non-sexual,,,,,Asian or Asian British,Any other Asian background,,,,,,,,,,,,,,,,0.0
2015,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",,,,,,,,,,,,,,,,,2.68727152475798
2015,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",African,,,,,,,,,,,,,,,,3.09961814309649
2015,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",Caribbean,,,,,,,,,,,,,,,,2.58413720582548
2015,Male,Non-sexual,,,,,Other ethnic group,,,,,,,,,,,,,,,,,0.0
2015,Male,Non-sexual,,,,,,,Married,,,,,,,,,,,,,,,1.79837737177906
2015,Male,Non-sexual,,,,,,,Cohabiting,,,,,,,,,,,,,,,3.41817568501535
2015,Male,Non-sexual,,,,,,,Single,,,,,,,,,,,,,,,2.73796255124574
2015,Male,Non-sexual,,,,,,,Separated,,,,,,,,,,,,,,,10.8063089133381
2015,Male,Non-sexual,,,,,,,Divorced,,,,,,,,,,,,,,,10.5545974425344
2015,Male,Non-sexual,,,,,,,,Employed,,,,,,,,,,,,,,2.47282695246885
2015,Male,Non-sexual,,,,,,,,Unemployed,,,,,,,,,,,,,,4.17228946581915
2015,Male,Non-sexual,,,,,,,,Inactive,,,,,,,,,,,,,,4.18527904118871
2015,Male,Non-sexual,,,,,,,,Student,,,,,,,,,,,,,,3.00943269932283
2015,Male,Non-sexual,,,,,,,,Looking after family or home,,,,,,,,,,,,,,7.45319655446563
2015,Male,Non-sexual,,,,,,,,Long-term or temporarily ill,,,,,,,,,,,,,,6.5464748748612
2015,Male,Non-sexual,,,,,,,,Retired,,,,,,,,,,,,,,3.28754735671245
2015,Male,Non-sexual,,,,,,,,Other inactive,,,,,,,,,,,,,,2.17933522563955
2015,Male,Non-sexual,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,2.19911445475893
2015,Male,Non-sexual,,,,,,,,,Intermediate occupations,,,,,,,,,,,,,3.16562104749496
2015,Male,Non-sexual,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,3.16440453474607
2015,Male,Non-sexual,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,3.87157331415248
2015,Male,Non-sexual,,,,,,,,,Full-time students,,,,,,,,,,,,,2.60993939788972
2015,Male,Non-sexual,,,,,,,,,,Degree or diploma,,,,,,,,,,,,2.40957361653974
2015,Male,Non-sexual,,,,,,,,,,"Apprenticeship, A level or AS level",,,,,,,,,,,,3.19611244030004
2015,Male,Non-sexual,,,,,,,,,,O level or GCSE,,,,,,,,,,,,3.39877343540418
2015,Male,Non-sexual,,,,,,,,,,Other,,,,,,,,,,,,1.66272755929134
2015,Male,Non-sexual,,,,,,,,,,No qualifications,,,,,,,,,,,,2.19603674521196
2015,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,5.26656609556154
2015,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Limits activities,,,,,,,,,,,5.46833091338548
2015,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Does not limit activities,,,,,,,,,,,4.80430025108664
2015,Male,Non-sexual,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,2.37906645386979
2015,Male,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,,3.04613952285609
2015,Male,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,,3.36740856948172
2015,Male,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,,2.57440312831987
2015,Male,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,,2.7520931281789
2015,Male,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,,2.61403337056083
2015,Male,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,,12.3563801034615
2015,Male,Non-sexual,,,,,,,,,,,,,,"Less than £10,000",,,,,,,,4.19612259060055
2015,Male,Non-sexual,,,,,,,,,,,,,,"£10,000 to less than £20,000",,,,,,,,3.87775029052546
2015,Male,Non-sexual,,,,,,,,,,,,,,"£20,000 to less than £30,000",,,,,,,,3.9689967146525
2015,Male,Non-sexual,,,,,,,,,,,,,,"£30,000 to less than £40,000",,,,,,,,2.53263765437463
2015,Male,Non-sexual,,,,,,,,,,,,,,"£40,000 to less than £50,000",,,,,,,,1.64887303576892
2015,Male,Non-sexual,,,,,,,,,,,,,,"£50,000 or more",,,,,,,,2.39310155007294
2015,Male,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,2.4029261274046
2015,Male,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,,2.21493765805946
2015,Male,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,,4.27102669835622
2015,Male,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,,3.25935608587079
2015,Male,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,,2.59333658389836
2015,Male,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,,2.46619334402086
2015,Male,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,,2.35882904803792
2015,Male,Non-sexual,,,,,,,,,,,,,,,,Terraced,,,,,,2.90627003966169
2015,Male,Non-sexual,,,,,,,,,,,,,,,,Flats or maisonettes,,,,,,3.52039253531108
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Rural residents,,,,,2.53380709264852
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Cosmopolitans,,,,,1.41122132361808
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Ethnicity central,,,,,2.13400904993694
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,,1.91936889494807
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Urbanites,,,,,2.71449662498255
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,,2.6691929986108
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,,5.75052658669969
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,,3.43208429367086
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,Urban,,,,2.6845813986393
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,Rural,,,,3.10619767515341
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,,High,,,2.37841698847608
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,,Not high,,,2.76201087087714
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,,3.68579147187824
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,Other output areas,,2.40704626881695
2015,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,,2.91666541948145
2015,Male,Non-sexual,North East,,,,,,,,,,,,,,,,,,,,E12000001,4.60947151917351
2015,Male,Non-sexual,North West,,,,,,,,,,,,,,,,,,,,E12000002,1.92566578929641
2015,Male,Non-sexual,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,E12000003,2.97854515354881
2015,Male,Non-sexual,East Midlands,,,,,,,,,,,,,,,,,,,,E12000004,1.90034063603357
2015,Male,Non-sexual,West Midlands,,,,,,,,,,,,,,,,,,,,E12000005,2.32516013140757
2015,Male,Non-sexual,East of England,,,,,,,,,,,,,,,,,,,,E12000006,3.05147156602475
2015,Male,Non-sexual,London,,,,,,,,,,,,,,,,,,,,E12000007,1.32081591077277
2015,Male,Non-sexual,South East,,,,,,,,,,,,,,,,,,,,E12000008,4.06268764070916
2015,Male,Non-sexual,South West,,,,,,,,,,,,,,,,,,,,E12000009,3.94218071947886
2015,Male,Non-sexual,Wales,,,,,,,,,,,,,,,,,,,,W92000004,2.69531708239059
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.73157775191443
2016,Male,Non-sexual,,,,16-19,,,,,,,,,,,,,,,,,,3.99313252637882
2016,Male,Non-sexual,,,,20-24,,,,,,,,,,,,,,,,,,4.33028120514543
2016,Male,Non-sexual,,,,25-34,,,,,,,,,,,,,,,,,,3.04901585800295
2016,Male,Non-sexual,,,,35-44,,,,,,,,,,,,,,,,,,2.57371505347508
2016,Male,Non-sexual,,,,45-54,,,,,,,,,,,,,,,,,,2.12254346841805
2016,Male,Non-sexual,,,,55-59,,,,,,,,,,,,,,,,,,1.02893822524022
2016,Male,Non-sexual,,,,,White,,,,,,,,,,,,,,,,,2.96912553434231
2016,Male,Non-sexual,,,,,White,"English, Welsh, Scottish, Northern Irish or British",,,,,,,,,,,,,,,,2.95557998787607
2016,Male,Non-sexual,,,,,White,Irish,,,,,,,,,,,,,,,,6.81237605181165
2016,Male,Non-sexual,,,,,White,Any other white background,,,,,,,,,,,,,,,,2.80611123999219
2016,Male,Non-sexual,,,,,Mixed or multiple ethnic groups,,,,,,,,,,,,,,,,,3.26622547929943
2016,Male,Non-sexual,,,,,Asian or Asian British,,,,,,,,,,,,,,,,,0.560538103131877
2016,Male,Non-sexual,,,,,Asian or Asian British,Indian,,,,,,,,,,,,,,,,1.52526545490238
2016,Male,Non-sexual,,,,,Asian or Asian British,Pakistani,,,,,,,,,,,,,,,,0.0
2016,Male,Non-sexual,,,,,Asian or Asian British,Bangladeshi,,,,,,,,,,,,,,,,0.0
2016,Male,Non-sexual,,,,,Asian or Asian British,Chinese,,,,,,,,,,,,,,,,0.0
2016,Male,Non-sexual,,,,,Asian or Asian British,Any other Asian background,,,,,,,,,,,,,,,,0.0
2016,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",,,,,,,,,,,,,,,,,3.60360439016267
2016,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",African,,,,,,,,,,,,,,,,3.57027887954582
2016,Male,Non-sexual,,,,,"Black, African, Caribbean or Black British",Caribbean,,,,,,,,,,,,,,,,3.84901938091404
2016,Male,Non-sexual,,,,,Other ethnic group,,,,,,,,,,,,,,,,,0.434893069642753
2016,Male,Non-sexual,,,,,Other ethnic group,Arab,,,,,,,,,,,,,,,,0.0
2016,Male,Non-sexual,,,,,Other ethnic group,Any other ethnic group,,,,,,,,,,,,,,,,0.833846042390342
2016,Male,Non-sexual,,,,,,,Married,,,,,,,,,,,,,,,1.21034893079088
2016,Male,Non-sexual,,,,,,,Cohabiting,,,,,,,,,,,,,,,2.75502782264598
2016,Male,Non-sexual,,,,,,,Single,,,,,,,,,,,,,,,4.06934963754341
2016,Male,Non-sexual,,,,,,,Separated,,,,,,,,,,,,,,,10.2057933410141
2016,Male,Non-sexual,,,,,,,Divorced,,,,,,,,,,,,,,,7.58929915173822
2016,Male,Non-sexual,,,,,,,Widowed,,,,,,,,,,,,,,,2.35323661064008
2016,Male,Non-sexual,,,,,,,,Employed,,,,,,,,,,,,,,2.55140801574073
2016,Male,Non-sexual,,,,,,,,Unemployed,,,,,,,,,,,,,,5.68456284985355
2016,Male,Non-sexual,,,,,,,,Inactive,,,,,,,,,,,,,,3.21982781157085
2016,Male,Non-sexual,,,,,,,,Student,,,,,,,,,,,,,,2.6219050667009
2016,Male,Non-sexual,,,,,,,,Looking after family or home,,,,,,,,,,,,,,7.08567940722021
2016,Male,Non-sexual,,,,,,,,Long-term or temporarily ill,,,,,,,,,,,,,,3.77995856472154
2016,Male,Non-sexual,,,,,,,,Retired,,,,,,,,,,,,,,2.9427560512409
2016,Male,Non-sexual,,,,,,,,Other inactive,,,,,,,,,,,,,,2.4560570364403
2016,Male,Non-sexual,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,2.37199786645587
2016,Male,Non-sexual,,,,,,,,,Intermediate occupations,,,,,,,,,,,,,2.96703618615754
2016,Male,Non-sexual,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,2.8709252180796
2016,Male,Non-sexual,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,2.15529080310098
2016,Male,Non-sexual,,,,,,,,,Full-time students,,,,,,,,,,,,,3.23118709782641
2016,Male,Non-sexual,,,,,,,,,Not classified,,,,,,,,,,,,,4.81590807457044
2016,Male,Non-sexual,,,,,,,,,,Degree or diploma,,,,,,,,,,,,2.48891311830503
2016,Male,Non-sexual,,,,,,,,,,"Apprenticeship, A level or AS level",,,,,,,,,,,,3.39827648641789
2016,Male,Non-sexual,,,,,,,,,,O level or GCSE,,,,,,,,,,,,3.25199648268808
2016,Male,Non-sexual,,,,,,,,,,Other,,,,,,,,,,,,0.913898606393597
2016,Male,Non-sexual,,,,,,,,,,No qualifications,,,,,,,,,,,,1.95798096494036
2016,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,5.40028710964237
2016,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Limits activities,,,,,,,,,,,6.02708255907786
2016,Male,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Does not limit activities,,,,,,,,,,,4.01053868991862
2016,Male,Non-sexual,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,2.33666847611578
2016,Male,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,,2.69592983122664
2016,Male,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,,3.00203707468697
2016,Male,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,,2.67752099950247
2016,Male,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,,2.97805074575882
2016,Male,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,,2.16444303717047
2016,Male,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,,8.72598053750944
2016,Male,Non-sexual,,,,,,,,,,,,,,"Less than £10,000",,,,,,,,3.88483288585448
2016,Male,Non-sexual,,,,,,,,,,,,,,"£10,000 to less than £20,000",,,,,,,,3.21225884809518
2016,Male,Non-sexual,,,,,,,,,,,,,,"£20,000 to less than £30,000",,,,,,,,4.02877462494621
2016,Male,Non-sexual,,,,,,,,,,,,,,"£30,000 to less than £40,000",,,,,,,,2.83088082640614
2016,Male,Non-sexual,,,,,,,,,,,,,,"£40,000 to less than £50,000",,,,,,,,2.58251332177376
2016,Male,Non-sexual,,,,,,,,,,,,,,"£50,000 or more",,,,,,,,2.16621683334261
2016,Male,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,2.28537995699201
2016,Male,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,,2.07176404692019
2016,Male,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,,4.75892055612721
2016,Male,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,,3.15239129359435
2016,Male,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,,2.7554353046224
2016,Male,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,,2.23146104959744
2016,Male,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,,2.22169006711229
2016,Male,Non-sexual,,,,,,,,,,,,,,,,Terraced,,,,,,3.57694363853718
2016,Male,Non-sexual,,,,,,,,,,,,,,,,Flats or maisonettes,,,,,,2.65986151879734
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Rural residents,,,,,2.77200394223044
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Cosmopolitans,,,,,2.39229026845468
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Ethnicity central,,,,,2.61210981523032
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,,2.78949411007171
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Urbanites,,,,,2.70621330669426
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,,1.94202366228576
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,,3.71017386471614
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,,3.3827564641868
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,Urban,,,,2.65630341562763
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,Rural,,,,3.152994616617
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,,High,,,4.72993836176208
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,,Not high,,,2.59255046012402
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,,3.86365080943995
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,Other output areas,,2.58149064227385
2016,Male,Non-sexual,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,,1.59938854334658
2016,Male,Non-sexual,North East,,,,,,,,,,,,,,,,,,,,E12000001,3.1162235935427
2016,Male,Non-sexual,North West,,,,,,,,,,,,,,,,,,,,E12000002,2.46182848784257
2016,Male,Non-sexual,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,E12000003,2.8906085118278
2016,Male,Non-sexual,East Midlands,,,,,,,,,,,,,,,,,,,,E12000004,2.74614792243335
