Year,Sex,Occupation,Health worker category,Value
2011,,,,16.509557541980655
2012,,,,16.836339376815005
2013,,,,17.17017363510577
2014,,,,17.468326604413843
2015,,,,17.86442942712333
2016,,,,18.960350718451867
2011,Men,Dentistry personnel,,0.31072084898341
2011,Men,Dentistry personnel,Dental practitioners,0.31072084898341
2011,Men,Dentistry personnel,Dental nurses,
2011,Men,Health worker density and distribution,Health worker density and distribution,3.669110106486361
2011,Men,Nursing and midwifery,,1.1223494945887738
2011,Men,Nursing and midwifery,Nurses,1.104493790797518
2011,Men,Nursing and midwifery,Midwives,0.017855703791255784
2011,Men,Pharmacists,,0.4492526676895509
2011,Men,Pharmacists,Pharmacists,0.3790781716391378
2011,Men,Pharmacists,Pharmaceutical technicians,0.07017449605041313
2011,Men,Physicians,,1.7867870952246263
2011,Men,Physicians,Medical practitioners,2.2476696726401637
2011,Men,Physicians,Ophthalmic opticians,0.12322015766744464
2011,Men,Physicians,Medical radiographers,0.09615217484052328
2011,Men,Physicians,Podiatrists,0.0
2011,Women,Dentistry personnel,,1.0359468500484317
2011,Women,Dentistry personnel,Dental practitioners,0.22209019184610596
2011,Women,Dentistry personnel,Dental nurses,0.8138566582023257
2011,Women,Health worker density and distribution,,13.37325847632381
2011,Women,Health worker density and distribution,Physicians,2.9234369543541843
2011,Women,Health worker density and distribution,Medical practitioners,1.5644756822696022
2011,Women,Health worker density and distribution,Ophthalmic opticians,0.1783990228347589
2011,Women,Health worker density and distribution,Medical radiographers,0.31715206264981805
2011,Women,Health worker density and distribution,Podiatrists,
2011,Women,Nursing and midwifery,,8.412785948035161
2011,Women,Nursing and midwifery,Nurses,7.8720583518079295
2011,Women,Nursing and midwifery,Midwives,0.540727596227232
2011,Women,Pharmacists,,1.001088723886033
2011,Women,Pharmacists,Pharmacists,0.6054505720935892
2011,Women,Pharmacists,Pharmaceutical technicians,0.39563815179244405
2011,,Dentistry personnel,,0.8138566582023257
2011,,Dentistry personnel,Dental practitioners,0.532811040829516
2011,,Dentistry personnel,Dental nurses,0.8138566582023257
2011,,Nursing and midwifery,,9.535135442623936
2011,,Nursing and midwifery,Nurses,8.976552142605447
2011,,Nursing and midwifery,Midwives,0.5585833000184878
2011,,Pharmacists,,1.4503413915755843
2011,,Pharmacists,Pharmacists,0.984528743732727
2011,,Pharmacists,Pharmaceutical technicians,0.4658126478428572
2011,,Physicians,,4.710224049578811
2011,,Physicians,Medical practitioners,3.8121453549097657
2011,,Physicians,Ophthalmic opticians,0.3016191805022035
2011,,Physicians,Medical radiographers,0.41330423749034134
2011,,Physicians,Podiatrists,0.18315527667650047
2012,Men,Dentistry personnel,,0.2452083823875677
2012,Men,Dentistry personnel,Dental practitioners,0.2337022211757319
2012,Men,Dentistry personnel,Dental nurses,0.011506161211835786
2012,Men,Health worker density and distribution,Health worker density and distribution,4.031284828506397
2012,Men,Nursing and midwifery,,1.0955341025037282
2012,Men,Nursing and midwifery,Nurses,1.0866337022211758
2012,Men,Nursing and midwifery,Midwives,0.008900400282552456
2012,Men,Pharmacists,,0.4546424927399733
2012,Men,Pharmacists,Pharmacists,0.3744604034220234
2012,Men,Pharmacists,Pharmaceutical technicians,0.08018208931794993
2012,Men,Physicians,,2.2358998508751275
2012,Men,Physicians,Medical practitioners,1.905093791696099
2012,Men,Physicians,Ophthalmic opticians,0.19423907071658425
2012,Men,Physicians,Medical radiographers,0.08416921748685346
2012,Men,Physicians,Podiatrists,0.052397770975590605
2012,Women,Dentistry personnel,,0.9979907385605525
2012,Women,Dentistry personnel,Dental practitioners,0.3172121497527666
2012,Women,Dentistry personnel,Dental nurses,0.6807785888077859
2012,Women,Health worker density and distribution,,12.80505454830861
2012,Women,Health worker density and distribution,Physicians,2.280464641707872
2012,Women,Health worker density and distribution,Medical practitioners,1.6386154932893806
2012,Women,Health worker density and distribution,Ophthalmic opticians,0.21924495722470763
2012,Women,Health worker density and distribution,Medical radiographers,0.3425319833608037
2012,Women,Health worker density and distribution,Podiatrists,0.08007220783298015
2012,Women,Nursing and midwifery,,8.482850639667216
2012,Women,Nursing and midwifery,Nurses,7.911718075504278
2012,Women,Nursing and midwifery,Midwives,0.5711325641629384
2012,Women,Pharmacists,,1.0437485283729693
2012,Women,Pharmacists,Pharmacists,0.5267404442351463
2012,Women,Pharmacists,Pharmaceutical technicians,0.5170080841378228
2012,,Dentistry personnel,,1.2431991209481201
2012,,Dentistry personnel,Dental practitioners,0.5509143709284985
2012,,Dentistry personnel,Dental nurses,0.6922847500196216
2012,,Nursing and midwifery,,9.578384742170945
2012,,Nursing and midwifery,Nurses,8.998351777725453
2012,,Nursing and midwifery,Midwives,0.5800329644454909
2012,,Pharmacists,,1.4983910211129425
2012,,Pharmacists,Pharmacists,0.9012008476571697
