Year,Sex,Age,Occupation,Country,Region,GeoCode,Value
2000,,,,,,,0.813175828198992
2001,,,,,,,0.631252841772565
2002,,,,,,,0.553371561300068
2003,,,,,,,0.438680061460324
2004,,,,,,,0.377518031800974
2005,,,,,,,0.413049205602688
2006,,,,,,,0.503068549671212
2007,,,,,,,0.558501890972248
2008,,,,,,,0.485649340569823
2009,,,,,,,0.654763367397314
2010,,,,,,,0.574164857386415
2011,,,,,,,0.64547081165774
2012,,,,,,,0.841788317174764
2013,,,,,,,1.92838135558935
2014,,,,,,,2.25267157893669
2015,,,,,,,2.54450711227502
2016,,,,,,,2.83644040401781
2013,Male,,,,,,1.62132519057777
2014,Male,,,,,,1.89940372166646
2015,Male,,,,,,2.22315605838853
2016,Male,,,,,,2.56600273942205
2013,Female,,,,,,2.2783842422408
2014,Female,,,,,,2.65323050202033
2015,Female,,,,,,2.91237893618361
2016,Female,,,,,,3.14238041846002
2013,,16-24,,,,,5.71564408722696
2014,,16-24,,,,,6.11081194700855
2015,,16-24,,,,,7.58070572562438
2016,,16-24,,,,,7.51404226701206
2013,,25-34,,,,,1.49796595623877
2014,,25-34,,,,,1.78431410678858
2015,,25-34,,,,,2.00118348464157
2016,,25-34,,,,,2.48147584335126
2013,,35-49,,,,,0.964079301680948
2014,,35-49,,,,,1.35557233436767
2015,,35-49,,,,,1.55741337442408
2016,,35-49,,,,,1.58090557207715
2013,,50-64,,,,,1.35002131343864
2014,,50-64,,,,,1.79995530370932
2015,,50-64,,,,,1.79195997906195
2016,,50-64,,,,,2.55656303695093
2013,,65 and above,,,,,3.86360791345217
2014,,65 and above,,,,,3.78742203216865
2015,,65 and above,,,,,3.02796077802723
2016,,65 and above,,,,,2.68490022876379
2015,,,,England,,E92000001,2.59071419510766
2015,,,,,North East,E12000001,2.65713905407192
2015,,,,,North West,E12000002,2.84792034156947
2015,,,,,Yorkshire and The Humber,E12000003,2.69792798882286
2015,,,,,East Midlands,E12000004,2.36549638039628
2015,,,,,West Midlands,E12000005,2.62980082068745
2015,,,,,East of England,E12000006,2.19587686507895
2015,,,,,London,E12000007,2.1482189049401
2015,,,,,South East,E12000008,2.47302884716672
2015,,,,,South West,E12000009,3.64854575581931
2015,,,,Wales,,W92000004,3.3519201919957
2015,,,,Scotland,,S92000003,2.24775485105429
2015,,,,England,,E92000001,2.96707587480777
2016,,,,,North East,E12000001,4.77308876335781
2016,,,,,North West,E12000002,3.03016086097429
2016,,,,,Yorkshire and The Humber,E12000003,3.09739539943516
2016,,,,,East Midlands,E12000004,3.00739639203054
2016,,,,,West Midlands,E12000005,2.84353158420274
2016,,,,,East of England,E12000006,2.43326556108104
2016,,,,,London,E12000007,2.6090488496153
2016,,,,,South East,E12000008,3.01430775112781
2016,,,,,South West,E12000009,3.16025713237334
2016,,,,Wales,,W92000004,2.5496214346157
2016,,,,Scotland,,S92000003,2.17033300611015
2016,,,,Northern Ireland,,N92000002,1.19593181109689
2016,,,"Managers, directors and senior officials",,,,0.481773500110816
2016,,,Professional occupations,,,,1.16700386343171
2016,,,Associate professional and technical occupations,,,,1.4359015912551
2016,,,Administrative and secretarial occupations,,,,1.27790104123332
2016,,,Skilled trades occupations,,,,1.68846320669765
2016,,,"Caring, leisure and other service occupations",,,,6.68202555074868
2016,,,Sales and customer service occupations,,,,2.77345944041022
2016,,,"Process, plant and machine operatives",,,,3.62058062779864
2016,,,Elementary occupations,,,,8.95748108788234
