Year,Age,Vaccine,Value
2006,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",91.4171738
2006,1,Meningococcal group C,90.9051151
2006,2,Meningococcal group C,93.34935697
2006,2,"Measles, mumps, rubella",84.05678308
2006,5,"Diphtheria, tetanus, polio",93.8070409
2006,5,Pertussis,93
2006,5,Haemophilus influenzae b,93
2006,5,"Measles, mumps, rubella",87.30004215
2007,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",91.10335842
2007,1,Meningococcal group C,90.9759075
2007,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",93.36334798
2007,2,Meningococcal group C,93.25661057
2007,2,"Measles, mumps, rubella",85.24538468
2007,5,"Diphtheria, tetanus, polio",93.27386759
2007,5,Pertussis,92.85629659
2007,5,Haemophilus influenzae b,92.53533536
2007,5,"Measles, mumps, rubella",85.93057961
2008,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",91.273284
2008,1,Meningococcal group C,90.27881918
2008,1,Pneumococcal disease,83.66101875
2008,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",93.63020883
2008,2,Meningococcal group C,93.2360133
2008,2,"Measles, mumps, rubella",84.55129169
2008,5,"Diphtheria, tetanus, polio",92.64305327
2008,5,Haemophilus influenzae b,92.24783259
2008,5,"Measles, mumps, rubella",86.99647134
2009,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",92.03012645
2009,1,Meningococcal group C,91.20297901
2009,1,Pneumococcal disease,91.26504182
2009,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",93.8541566
2009,2,Meningococcal group C,91.85010478
2009,2,"Measles, mumps, rubella",84.8685534
2009,5,"Diphtheria, tetanus, polio",92.52802928
2009,5,Haemophilus influenzae b,90.93861779
2009,5,"Measles, mumps, rubella",88.85625161
2010,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",93.61114579
2010,1,Meningococcal group C,92.68207941
2010,1,Pneumococcal disease,92.85053568
2010,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",95.29378549
2010,2,Meningococcal group C,94.2018942
2010,2,"Measles, mumps, rubella",88.18380975
2010,5,"Diphtheria, tetanus, polio",94.03672967
2010,5,Haemophilus influenzae b,93.12908968
2010,5,"Measles, mumps, rubella",91.00956457
2011,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",94.15002676
2011,1,Meningococcal group C,93.38698033
2011,1,Haemophilus influenzae b,93.58356077
2011,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",95.97626157
2011,2,Meningococcal group C,94.77500746
2011,2,"Measles, mumps, rubella",89.12585847
2011,5,"Diphtheria, tetanus, polio",94.69937551
2011,5,Haemophilus influenzae b,94.18965667
2011,5,"Measles, mumps, rubella",91.92187535
2012,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",94.66758771
2012,1,Meningococcal group C,93.89373941
2012,1,Pneumococcal disease,94.21624907
2012,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",96.14239132
2012,2,Meningococcal group C,94.87619042
2012,2,"Measles, mumps, rubella",91.24827838
2012,5,"Diphtheria, tetanus, polio",95.37022705
2012,5,Haemophilus influenzae b,94.87876837
2012,5,"Measles, mumps, rubella",92.89776421
2013,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",94.74058167
2013,1,Meningococcal group C,93.88998706
2013,1,Pneumococcal disease,94.42945911
2013,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",96.2984827
2013,2,Meningococcal group C,95.14581977
2013,2,"Measles, mumps, rubella",92.32239752
2013,5,"Diphtheria, tetanus, polio",95.80783559
2013,5,Haemophilus influenzae b,95.39441887
2013,5,"Measles, mumps, rubella",93.8748894
2014,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",94.33724759
2014,1,Pneumococcal disease,94.07369096
2014,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",96.13803071
2014,2,"Measles, mumps, rubella",92.65428665
2014,5,"Diphtheria, tetanus, polio",95.60094474
2014,5,"Measles, mumps, rubella",94.10716197
2015,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",94.22824602
2015,1,Pneumococcal disease,93.88439299
2015,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",95.74408419
2015,2,"Measles, mumps, rubella",92.29
2015,5,"Diphtheria, tetanus, polio",95.55512959
2015,5,"Measles, mumps, rubella",94.37289582
2016,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",93.55915265
2016,1,Pneumococcal disease,93.45012874
2016,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",95.24251125
2016,2,"Measles, mumps, rubella",91.91506347
2016,5,"Diphtheria, tetanus, polio",95.57022911
2016,5,"Measles, mumps, rubella",94.79622532
2017,1,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",93.40648938
2017,1,Pneumococcal disease,93.51482605
2017,1,Rotavirus,89.64222706
2017,2,"Diphtheria, tetanus, polio, pertussis, haemophilus influenza b",95.14597013
2017,2,"Measles, mumps, rubella",91.60637891
2017,5,"Diphtheria, tetanus, polio",95.59192832
2017,5,"Measles, mumps, rubella",95.00111061
