Year,Units,Value
2000,Mother aged 15 to 19 years at birth,29.0
2001,Mother aged 15 to 19 years at birth,27.7
2002,Mother aged 15 to 19 years at birth,26.8
2003,Mother aged 15 to 19 years at birth,26.6
2004,Mother aged 15 to 19 years at birth,26.6
2005,Mother aged 15 to 19 years at birth,26.1
2006,Mother aged 15 to 19 years at birth,26.2
2007,Mother aged 15 to 19 years at birth,25.7
2008,Mother aged 15 to 19 years at birth,25.6
2009,Mother aged 15 to 19 years at birth,24.6
2010,Mother aged 15 to 19 years at birth,23.2
2011,Mother aged 15 to 19 years at birth,21.0
2012,Mother aged 15 to 19 years at birth,19.8
2013,Mother aged 15 to 19 years at birth,17.3
2014,Mother aged 15 to 19 years at birth,15.5
2015,Mother aged 15 to 19 years at birth,14.4
2016,Mother aged 15 to 19 years at birth,13.7
2000,Mother aged 10 to 14 years at birth,0.2
2001,Mother aged 10 to 14 years at birth,0.2
2002,Mother aged 10 to 14 years at birth,0.2
2003,Mother aged 10 to 14 years at birth,0.1
2004,Mother aged 10 to 14 years at birth,0.1
2005,Mother aged 10 to 14 years at birth,0.1
2006,Mother aged 10 to 14 years at birth,0.1
2007,Mother aged 10 to 14 years at birth,0.1
2008,Mother aged 10 to 14 years at birth,0.1
2009,Mother aged 10 to 14 years at birth,0.1
2010,Mother aged 10 to 14 years at birth,0.1
2011,Mother aged 10 to 14 years at birth,0.1
2012,Mother aged 10 to 14 years at birth,0.1
2013,Mother aged 10 to 14 years at birth,0.1
2014,Mother aged 10 to 14 years at birth,0.1
2015,Mother aged 10 to 14 years at birth,0.1
2016,Mother aged 10 to 14 years at birth,0.1
