Year,Units,Key Stage,Sex,Value
2012,Percentage (%) with English proficiency,1,,87
2012,Percentage (%) with English proficiency,1,Female,90
2012,Percentage (%) with English proficiency,1,Male,84
2012,Percentage (%) with Maths proficiency,1,,91
2012,Percentage (%) with Maths proficiency,1,Female,92
2012,Percentage (%) with Maths proficiency,1,Male,89
2013,Percentage (%) with English proficiency,1,,89
2013,Percentage (%) with English proficiency,1,Female,92
2013,Percentage (%) with English proficiency,1,Male,86
2013,Percentage (%) with Maths proficiency,1,,91
2013,Percentage (%) with Maths proficiency,1,Female,93
2013,Percentage (%) with Maths proficiency,1,Male,90
2014,Percentage (%) with English proficiency,1,,90
2014,Percentage (%) with English proficiency,1,Female,93
2014,Percentage (%) with English proficiency,1,Male,87
2014,Percentage (%) with Maths proficiency,1,,92
2014,Percentage (%) with Maths proficiency,1,Female,93
2014,Percentage (%) with Maths proficiency,1,Male,91
2015,Percentage (%) with English proficiency,1,,90
2015,Percentage (%) with English proficiency,1,Female,93
2015,Percentage (%) with English proficiency,1,Male,88
2015,Percentage (%) with Maths proficiency,1,,93
2015,Percentage (%) with Maths proficiency,1,Female,94
2015,Percentage (%) with Maths proficiency,1,Male,91
2016,Percentage (%) with English proficiency,1,,74
2016,Percentage (%) with English proficiency,1,Female,78
2016,Percentage (%) with English proficiency,1,Male,70
2016,Percentage (%) with Maths proficiency,1,,73
2016,Percentage (%) with Maths proficiency,1,Female,74
2016,Percentage (%) with Maths proficiency,1,Male,72
2000,Percentage (%) with English proficiency,2,,83
2000,Percentage (%) with Maths proficiency,2,,72
2001,Percentage (%) with English proficiency,2,,82
2001,Percentage (%) with Maths proficiency,2,,71
2002,Percentage (%) with English proficiency,2,,80
2002,Percentage (%) with Maths proficiency,2,,73
2003,Percentage (%) with English proficiency,2,,81
2003,Percentage (%) with Maths proficiency,2,,73
2004,Percentage (%) with English proficiency,2,,83
2004,Percentage (%) with Maths proficiency,2,,74
2005,Percentage (%) with English proficiency,2,,84
2005,Percentage (%) with Maths proficiency,2,,75
2006,Percentage (%) with English proficiency,2,,83
2006,Percentage (%) with Maths proficiency,2,,76
2007,Percentage (%) with English proficiency,2,,84
2007,Percentage (%) with English proficiency,2,Male,81
2007,Percentage (%) with English proficiency,2,Female,87
2007,Percentage (%) with Maths proficiency,2,,77
2007,Percentage (%) with Maths proficiency,2,Male,78
2007,Percentage (%) with Maths proficiency,2,Female,76
2008,Percentage (%) with English proficiency,2,,87
2008,Percentage (%) with English proficiency,2,Male,83
2008,Percentage (%) with English proficiency,2,Female,90
2008,Percentage (%) with Maths proficiency,2,,79
2008,Percentage (%) with Maths proficiency,2,Male,79
2008,Percentage (%) with Maths proficiency,2,Female,78
2009,Percentage (%) with English proficiency,2,,86
2009,Percentage (%) with English proficiency,2,Male,82
2009,Percentage (%) with English proficiency,2,Female,89
2009,Percentage (%) with Maths proficiency,2,,79
2009,Percentage (%) with Maths proficiency,2,Male,79
2009,Percentage (%) with Maths proficiency,2,Female,78
2010,Percentage (%) with English proficiency,2,,83
2010,Percentage (%) with English proficiency,2,Male,80
2010,Percentage (%) with English proficiency,2,Female,87
2010,Percentage (%) with Maths proficiency,2,,79
2010,Percentage (%) with Maths proficiency,2,Male,79
2010,Percentage (%) with Maths proficiency,2,Female,79
2011,Percentage (%) with English proficiency,2,,84
2011,Percentage (%) with English proficiency,2,Male,80
2011,Percentage (%) with English proficiency,2,Female,88
2011,Percentage (%) with Maths proficiency,2,,80
2011,Percentage (%) with Maths proficiency,2,Male,80
2011,Percentage (%) with Maths proficiency,2,Female,80
2012,Percentage (%) with English proficiency,2,,87
2012,Percentage (%) with English proficiency,2,Male,84
2012,Percentage (%) with English proficiency,2,Female,90
2012,Percentage (%) with Maths proficiency,2,,84
2012,Percentage (%) with Maths proficiency,2,Male,84
2012,Percentage (%) with Maths proficiency,2,Female,84
2013,Percentage (%) with English proficiency,2,,86
2013,Percentage (%) with English proficiency,2,Male,83
2013,Percentage (%) with English proficiency,2,Female,88
2013,Percentage (%) with Maths proficiency,2,,85
2013,Percentage (%) with Maths proficiency,2,Male,84
2013,Percentage (%) with Maths proficiency,2,Female,85
2014,Percentage (%) with English proficiency,2,,89
2014,Percentage (%) with English proficiency,2,Male,87
2014,Percentage (%) with English proficiency,2,Female,91
2014,Percentage (%) with Maths proficiency,2,,86
2014,Percentage (%) with Maths proficiency,2,Male,86
2014,Percentage (%) with Maths proficiency,2,Female,86
2015,Percentage (%) with English proficiency,2,,89
2015,Percentage (%) with English proficiency,2,Male,87
2015,Percentage (%) with English proficiency,2,Female,91
2015,Percentage (%) with Maths proficiency,2,,87
2015,Percentage (%) with Maths proficiency,2,Male,87
2015,Percentage (%) with Maths proficiency,2,Female,87
2016,Percentage (%) with English proficiency,2,,66
2016,Percentage (%) with English proficiency,2,Male,62
2016,Percentage (%) with English proficiency,2,Female,70
2016,Percentage (%) with Maths proficiency,2,,70
2016,Percentage (%) with Maths proficiency,2,Male,70
2016,Percentage (%) with Maths proficiency,2,Female,70
2000,Percentage (%) with English proficiency,3,,64
2000,Percentage (%) with Maths proficiency,3,,65
2001,Percentage (%) with English proficiency,3,,65
2001,Percentage (%) with Maths proficiency,3,,66
2002,Percentage (%) with English proficiency,3,,67
2002,Percentage (%) with Maths proficiency,3,,67
2003,Percentage (%) with English proficiency,3,,69
2003,Percentage (%) with Maths proficiency,3,,71
2004,Percentage (%) with English proficiency,3,,71
2004,Percentage (%) with English proficiency,3,Male,64
2004,Percentage (%) with English proficiency,3,Female,78
2004,Percentage (%) with Maths proficiency,3,,73
2004,Percentage (%) with Maths proficiency,3,Male,72
2004,Percentage (%) with Maths proficiency,3,Female,74
2005,Percentage (%) with English proficiency,3,,74
2005,Percentage (%) with English proficiency,3,Male,67
2005,Percentage (%) with English proficiency,3,Female,81
2005,Percentage (%) with Maths proficiency,3,,74
2005,Percentage (%) with Maths proficiency,3,Male,73
2005,Percentage (%) with Maths proficiency,3,Female,74
2006,Percentage (%) with English proficiency,3,,73
2006,Percentage (%) with English proficiency,3,Male,59
2006,Percentage (%) with English proficiency,3,Female,74
2006,Percentage (%) with Maths proficiency,3,,77
2006,Percentage (%) with Maths proficiency,3,Male,76
2006,Percentage (%) with Maths proficiency,3,Female,77
2007,Percentage (%) with English proficiency,3,,74
2007,Percentage (%) with English proficiency,3,Male,65
2007,Percentage (%) with English proficiency,3,Female,78
2007,Percentage (%) with Maths proficiency,3,,76
2007,Percentage (%) with Maths proficiency,3,Male,75
2007,Percentage (%) with Maths proficiency,3,Female,76
2008,Percentage (%) with English proficiency,3,,74
2008,Percentage (%) with English proficiency,3,Male,62
2008,Percentage (%) with English proficiency,3,Female,76
2008,Percentage (%) with Maths proficiency,3,,77
2008,Percentage (%) with Maths proficiency,3,Male,76
2008,Percentage (%) with Maths proficiency,3,Female,77
2009,Percentage (%) with English proficiency,4,,99
2009,Percentage (%) with English proficiency,4,Female,99.2
2009,Percentage (%) with English proficiency,4,Male,98.7
2009,Percentage (%) with Maths proficiency,4,,98.2
2009,Percentage (%) with Maths proficiency,4,Female,98.3
2009,Percentage (%) with Maths proficiency,4,Male,98.2
2010,Percentage (%) with English proficiency,4,,99.1
2010,Percentage (%) with English proficiency,4,Female,99.3
2010,Percentage (%) with English proficiency,4,Male,98.9
2010,Percentage (%) with Maths proficiency,4,,98.3
2010,Percentage (%) with Maths proficiency,4,Female,98.4
2010,Percentage (%) with Maths proficiency,4,Male,98.3
2011,Percentage (%) with English proficiency,4,,99.4
2011,Percentage (%) with English proficiency,4,Female,99.5
2011,Percentage (%) with English proficiency,4,Male,99.2
2011,Percentage (%) with Maths proficiency,4,,98.5
2011,Percentage (%) with Maths proficiency,4,Female,98.6
2011,Percentage (%) with Maths proficiency,4,Male,98.4
2012,Percentage (%) with English proficiency,4,,99.4
2012,Percentage (%) with English proficiency,4,Female,99.6
2012,Percentage (%) with English proficiency,4,Male,99.2
2012,Percentage (%) with Maths proficiency,4,,98.2
2012,Percentage (%) with Maths proficiency,4,Female,98.3
2012,Percentage (%) with Maths proficiency,4,Male,98.1
2013,Percentage (%) with English proficiency,4,,99.1
2013,Percentage (%) with English proficiency,4,Female,99.3
2013,Percentage (%) with English proficiency,4,Male,98.8
2013,Percentage (%) with Maths proficiency,4,,94.8
2013,Percentage (%) with Maths proficiency,4,Female,95.1
2013,Percentage (%) with Maths proficiency,4,Male,94.5
2014,Percentage (%) with English proficiency,4,,99.3
2014,Percentage (%) with English proficiency,4,Female,99.6
2014,Percentage (%) with English proficiency,4,Male,99.1
2014,Percentage (%) with Maths proficiency,4,,95.9
