Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Value
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Accommodation services for visitors,0.308770068
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Food and beverage serving activities,0.207884964
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Railway passenger transport services,0.022292336
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Road passenger transport services,0.02906045
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Water passenger transport services,0.023431523
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Air passenger transport services,0.162027084
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Transport equipment rental services,0.006991484
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,0.006204104
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Cultural activities,0.012184839
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Sport and recreation activities,0.00941505
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Exhibitions and conferences,0.007376797
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Other consumption products,0.563987156
2013,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),,1.359625855
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,0.002021499
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Railway passenger transport services,0.002138769
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Road passenger transport services,0.000284797
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Water passenger transport services,0.001909814
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Air passenger transport services,0.021276002
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Transport equipment rental services,6.7011E-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,6.14268E-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Cultural activities,0.000117269
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Sport and recreation activities,8.9348E-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Exhibitions and conferences,7.25953E-05
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Other consumption products,0.005483736
2013,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),,0.033522267
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Accommodation services for visitors,0.308770068
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Food and beverage serving activities,0.209906464
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Railway passenger transport services,0.024431104
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Road passenger transport services,0.029345246
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Water passenger transport services,0.025341337
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Air passenger transport services,0.183297501
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Transport equipment rental services,0.007058495
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Travel agencies and other reservation services,0.006265531
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Cultural activities,0.012307692
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Sport and recreation activities,0.009504398
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Exhibitions and conferences,0.007449393
2013,Percentage (%) of gross domestic product (GDP),Inbound,,Other consumption products,0.569470892
2013,Percentage (%) of gross domestic product (GDP),Inbound,,,1.393148122
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Accommodation services for visitors,0.457037554
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Food and beverage serving activities,0.268384755
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Railway passenger transport services,0.048873377
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Road passenger transport services,0.014842943
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Water passenger transport services,0.012625995
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Air passenger transport services,0.015591233
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Transport equipment rental services,0.011520313
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,0.053083903
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Cultural activities,0.048990646
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Sport and recreation activities,0.032020103
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Exhibitions and conferences,0.004986737
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Other consumption products,0.381052632
2013,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),,1.349004607
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,1.244316627
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Railway passenger transport services,0.135183582
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Road passenger transport services,0.073678626
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Water passenger transport services,0.039234957
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Air passenger transport services,0.030171716
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Transport equipment rental services,0.017383778
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,0.017690912
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Cultural activities,0.241256457
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Sport and recreation activities,0.143442692
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Exhibitions and conferences,0.020471869
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Other consumption products,1.070322491
2013,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),,3.033153707
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Accommodation services for visitors,0.457037554
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Food and beverage serving activities,1.512701382
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Railway passenger transport services,0.184051375
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Road passenger transport services,0.088521569
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Water passenger transport services,0.051860952
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Air passenger transport services,0.045762948
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Transport equipment rental services,0.02890409
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Travel agencies and other reservation services,0.070774815
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Cultural activities,0.290252687
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Sport and recreation activities,0.175462795
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Exhibitions and conferences,0.025458607
2013,Percentage (%) of gross domestic product (GDP),Domestic,,Other consumption products,1.451380706
2013,Percentage (%) of gross domestic product (GDP),Domestic,,,4.382158314
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Accommodation services for visitors,0.034516264
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Food and beverage serving activities,0.032332821
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Railway passenger transport services,0.030629624
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Road passenger transport services,0.038782633
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Water passenger transport services,0.021404439
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Air passenger transport services,0.880876728
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Travel agencies and other reservation services,0.09314533
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Other consumption products,0.327086416
2013,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),,1.458774257
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Food and beverage serving activities,0.00018428
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Railway passenger transport services,0.002747452
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Road passenger transport services,0.000217786
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Water passenger transport services,0.001848388
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Air passenger transport services,0.007527572
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Other consumption products,0.001853972
2013,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),,0.01437945
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Accommodation services for visitors,0.034516264
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Food and beverage serving activities,0.032517102
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Railway passenger transport services,0.033377077
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Road passenger transport services,0.039000419
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Water passenger transport services,0.023247243
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Air passenger transport services,0.8884043
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Travel agencies and other reservation services,0.09314533
2013,Percentage (%) of gross domestic product (GDP),Outbound,,Other consumption products,0.328940388
2013,Percentage (%) of gross domestic product (GDP),Outbound,,,1.473153707
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Accommodation services for visitors,1.291877705
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Food and beverage serving activities,0.809320117
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Railway passenger transport services,0.181292754
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Road passenger transport services,0.136311601
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Water passenger transport services,0.091486807
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Air passenger transport services,1.954963004
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Transport equipment rental services,0.030032109
