Year,Sex,Age,Value
2008,,,8.5
2008,,25 to 49,5.2
2008,,50 to 64,6
2008,,65 and over,14.4
2008,Male,,7.7
2008,Male,25 to 49,4.4
2008,Male,50 to 64,5.5
2008,Male,65 and over,11.5
2008,Female,,9.2
2008,Female,25 to 49,5.9
2008,Female,50 to 64,6.5
2008,Female,65 and over,16.6
2009,,,8
2009,,25 to 49,5.9
2009,,50 to 64,6.6
2009,,65 and over,11.3
2009,Male,,7.6
2009,Male,25 to 49,5.2
2009,Male,50 to 64,7.2
2009,Male,65 and over,10
2009,Female,,8.3
2009,Female,25 to 49,6.5
2009,Female,50 to 64,6.1
2009,Female,65 and over,12.4
2010,,,7.4
2010,,25 to 49,5.1
2010,,50 to 64,4.8
2010,,65 and over,11.9
2010,Male,,7
2010,Male,25 to 49,5.4
2010,Male,50 to 64,4.1
2010,Male,65 and over,9.8
2010,Female,,7.7
2010,Female,25 to 49,4.9
2010,Female,50 to 64,5.5
2010,Female,65 and over,13.6
2011,,,6.9
2011,,25 to 49,4.1
2011,,50 to 64,5.4
2011,,65 and over,11.6
2011,Male,,6.1
2011,Male,25 to 49,2.6
2011,Male,50 to 64,5.3
2011,Male,65 and over,8.8
2011,Female,,7.8
2011,Female,25 to 49,5.4
2011,Female,50 to 64,5.4
2011,Female,65 and over,13.9
2012,,,8.6
2012,,25 to 49,7.1
2012,,50 to 64,8
2012,,65 and over,10.9
2012,Male,,8.1
2012,Male,25 to 49,6.4
2012,Male,50 to 64,6.7
2012,Male,65 and over,8.2
2012,Female,,9.1
2012,Female,25 to 49,7.7
2012,Female,50 to 64,9.2
2012,Female,65 and over,13.1
2013,,,7.8
2013,,25 to 49,5.5
2013,,50 to 64,8.6
2013,,65 and over,10.1
2013,Male,,7
2013,Male,25 to 49,5.1
2013,Male,50 to 64,10.2
2013,Male,65 and over,7
2013,Female,,8.6
2013,Female,25 to 49,5.9
2013,Female,50 to 64,7
2013,Female,65 and over,12.7
2014,,,6.5
2014,,25 to 49,5.1
2014,,50 to 64,3.7
2014,,65 and over,9.1
2014,Male,,5.7
2014,Male,25 to 49,4.4
2014,Male,50 to 64,3.5
2014,Male,65 and over,8.2
2014,Female,,7.2
2014,Female,25 to 49,5.8
2014,Female,50 to 64,3.9
2014,Female,65 and over,9.8
2015,,,7.3
2015,,25 to 49,4.5
2015,,50 to 64,7.7
2015,,65 and over,9.8
2015,Male,,6.3
2015,Male,25 to 49,3.1
2015,Male,50 to 64,8.5
2015,Male,65 and over,7.3
2015,Female,,8.2
2015,Female,25 to 49,5.8
2015,Female,50 to 64,6.8
2015,Female,65 and over,11.8
