Year,Units,Manufacturing category,Manufacturing subcategory,Manufacturing description,Value
2000,Percentage (%) of gross domestic product,,,,12.59773117
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.751545647
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.388403132
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.207167517
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.15985322
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.025525746
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.081372129
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.116276118
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.238122772
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.506213615
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.083134956
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.277751139
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.224795794
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.091737556
2000,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.095545264
2000,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.746169728
2000,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.390995194
2000,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.289033237
2000,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.081724694
2000,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,1.04006837
2000,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.221411165
2000,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.326828264
2000,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.489008416
2000,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.317943612
2000,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.317943612
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.827964935
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.827964935
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.101397852
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.227404779
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.091526017
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.137994156
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.153859606
2000,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.187987951
2000,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.770003159
2000,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0.770003159
2000,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,1.115094318
2000,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.783118597
2000,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.354751455
2000,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.203923914
2000,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.157173722
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.629487454
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.343116792
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.171346857
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.197789273
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,1.276992418
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",1.098946816
2000,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,0.142930074
2000,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products",,,0.895375468
2000,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,0.895375468
2000,Percentage (%) of gross domestic product,Manufacture of electrical equipment,,,0.492745611
2000,Percentage (%) of gross domestic product,Manufacture of electrical equipment,Manufacture of electrical equipment,,0.492745611
2000,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,,,0.799548152
2000,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,Manufacture of machinery and equipment N.E.C.,,0.799548152
2000,Percentage (%) of gross domestic product,Manufacture of transport equipment,,,1.094645516
2000,Percentage (%) of gross domestic product,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,0.759990297
2000,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,,0.4206107
2000,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.068045151
2000,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,0.322174399
2000,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,0.038006566
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,,,1.155216278
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,Manufacture of furniture,,0.283956293
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,Other manufacturing,,0.372873325
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,,0.507412338
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.017769304
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.144904441
2000,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,0.35644377
2001,Percentage (%) of gross domestic product,,,,12.07973164
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.705406988
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.343046614
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.196453001
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.166593792
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.023956009
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.072829012
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.115592891
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.231323065
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.486670781
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.08161517
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.280058785
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.226380851
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.093009719
2001,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.090264045
2001,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.634525345
2001,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.330304626
2001,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.244776869
2001,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.073309505
2001,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,0.990502026
2001,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.215466796
2001,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.305662198
2001,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.467313776
2001,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.288021241
2001,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.288021241
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.814778867
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.814778867
