Year,Sex,Age,Geography,Disability status,Ethnicity,Economic Activity,Value
2011,,,,,,,79.4
2011,,16 to 24,,,,,97.5
2011,,25 to 34,,,,,96
2011,,35 to 44,,,,,93.2
2011,,45 to 54,,,,,86.4
2011,,55 to 64,,,,,74.7
2011,,65 to 74,,,,,52
2011,,75 and over,,,,,19.9
2011,Male,,,,,,82.1
2011,Male,16 to 24,,,,,97.7
2011,Male,25 to 34,,,,,96
2011,Male,35 to 44,,,,,93.4
2011,Male,45 to 54,,,,,86.6
2011,Male,55 to 64,,,,,76.2
2011,Male,65 to 74,,,,,57.4
2011,Male,75 and over,,,,,29.3
2011,Female,,,,,,76.8
2011,Female,16 to 24,,,,,97.3
2011,Female,25 to 34,,,,,96.1
2011,Female,35 to 44,,,,,92.9
2011,Female,45 to 54,,,,,86.2
2011,Female,55 to 64,,,,,73.3
2011,Female,65 to 74,,,,,47.1
2011,Female,75 and over,,,,,13.1
2011,,,,Disabled,,,59.3
2011,,,,Not disabled,,,85.6
2011,,,,,White,,79
2011,,,,,Mixed or multiple ethnic background,,93.1
2011,,,,,Indian,,82.4
2011,,,,,Pakistani,,72.6
2011,,,,,Bangladeshi,,67.9
2011,,,,,Chinese,,92.2
2011,,,,,Other Asian background,,87.1
2011,,,,,"Black, African, Caribbean, or Black British",,81.7
2011,,,,,Other ethnic group,,85.7
2011,,,North East,,,,74.3
2011,,,North West,,,,76.7
2011,,,Yorkshire and The Humber,,,,78.4
2011,,,East Midlands,,,,78.2
2011,,,West Midlands,,,,76.5
2011,,,East of England,,,,81.7
2011,,,London,,,,83.2
2011,,,South East,,,,83.5
2011,,,South West,,,,81.1
2011,,,Wales,,,,77.4
2011,,,Scotland,,,,78.5
2011,,,Northern Ireland,,,,68.7
2011,,,,,,Employee,93.2
2011,,,,,,Self-employed,89.8
2011,,,,,,Government employment and training programmes,90.8
2011,,,,,,Unpaid family worker,83.9
2011,,,,,,Unemployed,89.8
2011,,,,,,Student,98.7
2011,,,,,,Retired,39.8
2011,,,,,,Inactive,69.9
2012,,,,,,,80.9
2012,,16 to 24,,,,,97.6
2012,,25 to 34,,,,,96.7
