Year,Water body type,Status class,Value
2008,Rivers and canals,,32.24476148
2008,Rivers and canals,High,2.240303165
2008,Rivers and canals,Good,30.00445831
2008,Lakes,,42.98724954
2008,Lakes,High,5.646630237
2008,Lakes,Good,37.34061931
2008,Estuaries and Coastal,,70.07874016
2008,Estuaries and Coastal,High,23.35958005
2008,Estuaries and Coastal,Good,46.7191601
2009,,,35.99519941
2009,,High,4.07127031
2009,,Good,31.9239291
2009,Rivers and canals,,32.20262833
2009,Rivers and canals,High,2.055486915
2009,Rivers and canals,Good,30.14714141
2009,Lakes,,43.15693431
2009,Lakes,High,5.291970803
2009,Lakes,Good,37.8649635
2009,Estuaries and Coastal,,72.70341207
2009,Estuaries and Coastal,High,23.49081365
2009,Estuaries and Coastal,Good,49.21259843
2010,,,36.18622805
2010,,High,3.902982994
2010,,Good,32.28324505
2010,Rivers and canals,,32.73195876
2010,Rivers and canals,High,2.185118781
2010,Rivers and canals,Good,30.54683998
2010,Lakes,,43.15693431
2010,Lakes,High,5.018248175
2010,Lakes,Good,38.13868613
2010,Estuaries and Coastal,,73.49081365
2010,Estuaries and Coastal,High,19.68503937
2010,Estuaries and Coastal,Good,53.80577428
2011,,,36.6722315
2011,,High,3.709886848
2011,,Good,32.96234465
2011,Rivers and canals,,33.03187882
2011,Rivers and canals,High,2.102645263
2011,Rivers and canals,Good,30.92923355
2011,Lakes,,37.8649635
2011,Lakes,High,5.748175182
2011,Lakes,Good,32.11678832
2011,Estuaries and Coastal,,74.54068241
2011,Estuaries and Coastal,High,19.94750656
2011,Estuaries and Coastal,Good,54.59317585
2012,,,36.48168909
2012,,High,3.746263079
2012,,Good,32.73542601
2012,Rivers and canals,,33.20606401
2012,Rivers and canals,High,2.358225716
2012,Rivers and canals,Good,30.84783829
2012,Lakes,,37.55697356
2012,Lakes,High,6.289881495
2012,Lakes,Good,31.26709207
2012,Estuaries and Coastal,,74.77003942
2012,Estuaries and Coastal,High,21.68199737
2012,Estuaries and Coastal,Good,53.08804205
2013,,,36.58831181
2013,,High,4.125243891
2013,,Good,32.46306792
2013,Rivers and canals,,31.65777828
2013,Rivers and canals,High,2.643821627
2013,Rivers and canals,Good,29.01395665
2013,Lakes,,38.01276208
2013,Lakes,High,6.381039198
2013,Lakes,Good,31.63172288
2013,Estuaries and Coastal,,74.77003942
2013,Estuaries and Coastal,High,17.08278581
2013,Estuaries and Coastal,Good,57.68725361
2014,,,34.72543754
2014,,High,3.935549588
2014,,Good,30.78988795
2014,Rivers and canals,,30.9361369
2014,Rivers and canals,High,2.516497036
2014,Rivers and canals,Good,28.41963986
2014,Lakes,,37.83044667
2014,Lakes,High,6.381039198
2014,Lakes,Good,31.44940747
2014,Estuaries and Coastal,,74.77003942
2014,Estuaries and Coastal,High,17.08278581
2014,Estuaries and Coastal,Good,57.68725361
2015,,,35.16716447
2015,,High,4.316408132
2015,,Good,30.85075633
2015,Rivers and canals,,22.63286999
2015,Rivers and canals,High,0.179885527
2015,Rivers and canals,Good,22.45298446
2015,Lakes,,24.5751634
2015,Lakes,High,0.130718954
2015,Lakes,Good,24.44444444
2015,Estuaries and Coastal,,29.36507937
2015,Estuaries and Coastal,High,1.587301587
2015,Estuaries and Coastal,Good,27.77777778
2016,,,34.94675702
2016,,High,4.861783371
2016,,Good,30.08497365
2016,Rivers and canals,,31.60358433
2016,Rivers and canals,High,2.40738264
2016,Rivers and canals,Good,29.19620169
2016,Lakes,,30.80524345
2016,Lakes,High,9.925093633
2016,Lakes,Good,20.88014981
2016,Estuaries and Coastal,,74.86702128
2016,Estuaries and Coastal,High,22.34042553
2016,Estuaries and Coastal,Good,52.52659574
