Year,Sex,Age Category,Highest Qualification Level,Income,Employment Status,Socio-economic Status,Relationship Status,Dependent Children Living in Household,Pegnancy Status (women aged 16-49),Value
2000,Male,16-24,,,,,,,,32.6
2001,Male,16-24,,,,,,,,33.3
2002,Male,16-24,,,,,,,,30.5
2003,Male,16-24,,,,,,,,32.9
2004,Male,16-24,,,,,,,,30.2
2005,Male,16-24,,,,,,,,29
2006,Male,16-24,,,,,,,,26.4
2007,Male,16-24,,,,,,,,26.8
2008,Male,16-24,,,,,,,,23.7
2009,Male,16-24,,,,,,,,23.5
2010,Male,16-24,,,,,,,,22.2
2011,Male,16-24,,,,,,,,24
2012,Male,16-24,,,,,,,,21.9
2013,Male,16-24,,,,,,,,26.4
2014,Male,16-24,,,,,,,,25.2
2015,Male,16-24,,,,,,,,24.1
2000,Male,25-34,,,,,,,,38.7
2001,Male,25-34,,,,,,,,38
2002,Male,25-34,,,,,,,,35.8
2003,Male,25-34,,,,,,,,37.7
2004,Male,25-34,,,,,,,,34.6
2005,Male,25-34,,,,,,,,33.6
2006,Male,25-34,,,,,,,,33.5
2007,Male,25-34,,,,,,,,29.3
2008,Male,25-34,,,,,,,,29.6
2009,Male,25-34,,,,,,,,27.3
2010,Male,25-34,,,,,,,,27.6
2011,Male,25-34,,,,,,,,25.5
2012,Male,25-34,,,,,,,,31.9
2013,Male,25-34,,,,,,,,30.4
2014,Male,25-34,,,,,,,,26.5
2015,Male,25-34,,,,,,,,25.4
2000,Male,35-49,,,,,,,,31.1
2001,Male,35-49,,,,,,,,31.2
2002,Male,35-49,,,,,,,,28.9
2003,Male,35-49,,,,,,,,32.1
2004,Male,35-49,,,,,,,,30.9
2005,Male,35-49,,,,,,,,29.2
2006,Male,35-49,,,,,,,,26.2
2007,Male,35-49,,,,,,,,25.2
2008,Male,35-49,,,,,,,,24.5
2009,Male,35-49,,,,,,,,26.4
2010,Male,35-49,,,,,,,,24.9
2011,Male,35-49,,,,,,,,25.2
2012,Male,35-49,,,,,,,,24.9
2013,Male,35-49,,,,,,,,24.2
2014,Male,35-49,,,,,,,,22.5
2015,Male,35-49,,,,,,,,22.3
2000,Male,50-59,,,,,,,,27.2
2001,Male,50-59,,,,,,,,26.4
2002,Male,50-59,,,,,,,,26.7
2003,Male,50-59,,,,,,,,26.4
2004,Male,50-59,,,,,,,,25.8
2005,Male,50-59,,,,,,,,25.3
2006,Male,50-59,,,,,,,,22.6
2007,Male,50-59,,,,,,,,22.1
2008,Male,50-59,,,,,,,,22.8
2009,Male,50-59,,,,,,,,21.5
2010,Male,50-59,,,,,,,,20.5
2011,Male,50-59,,,,,,,,20.1
2012,Male,50-59,,,,,,,,22.4
2013,Male,50-59,,,,,,,,19.6
2014,Male,50-59,,,,,,,,19.8
2015,Male,50-59,,,,,,,,16.5
2000,Male,60+,,,,,,,,16.4
2001,Male,60+,,,,,,,,16.4
2002,Male,60+,,,,,,,,16.7
2003,Male,60+,,,,,,,,16.1
2004,Male,60+,,,,,,,,14.9
2005,Male,60+,,,,,,,,14.2
2006,Male,60+,,,,,,,,12.9
2007,Male,60+,,,,,,,,12.7
2008,Male,60+,,,,,,,,13.1
2009,Male,60+,,,,,,,,14.5
2010,Male,60+,,,,,,,,13.4
2011,Male,60+,,,,,,,,14.1
2012,Male,60+,,,,,,,,13
2013,Male,60+,,,,,,,,11.9
2014,Male,60+,,,,,,,,12.4
2015,Male,60+,,,,,,,,11.4
2000,Male,,,,,,,,,28.5
2001,Male,,,,,,,,,28.3
2002,Male,,,,,,,,,26.8
2003,Male,,,,,,,,,28
2004,Male,,,,,,,,,26.4
2005,Male,,,,,,,,,25.3
2006,Male,,,,,,,,,23.2
2007,Male,,,,,,,,,22.1
2008,Male,,,,,,,,,21.6
2009,Male,,,,,,,,,22
2010,Male,,,,,,,,,20.9
2011,Male,,,,,,,,,21
2012,Male,,,,,,,,,22.2
2013,Male,,,,,,,,,21.6
2014,Male,,,,,,,,,20.4
2015,Male,,,,,,,,,19.1
2000,Female,16-24,,,,,,,,32
2001,Female,16-24,,,,,,,,33.1
2002,Female,16-24,,,,,,,,34.2
2003,Female,16-24,,,,,,,,30.2
2004,Female,16-24,,,,,,,,27.7
2005,Female,16-24,,,,,,,,28
2006,Female,16-24,,,,,,,,24.7
2007,Female,16-24,,,,,,,,25.4
2008,Female,16-24,,,,,,,,28.9
2009,Female,16-24,,,,,,,,26
2010,Female,16-24,,,,,,,,23.8
2011,Female,16-24,,,,,,,,24.5
2012,Female,16-24,,,,,,,,22.6
2013,Female,16-24,,,,,,,,20.3
2014,Female,16-24,,,,,,,,20.9
2015,Female,16-24,,,,,,,,22.9
2000,Female,25-34,,,,,,,,32.4
2001,Female,25-34,,,,,,,,30.9
2002,Female,25-34,,,,,,,,32.6
2003,Female,25-34,,,,,,,,31.4
