Year,Sex,School type,Working pattern,Value
2016,Male,Nursery,,100
2016,Male,Nursery,Full-time,100
2016,Male,Nursery,Total regular full time equivalent,100
2016,Female,Nursery,,92.86
2016,Female,Nursery,Full-time,100
2016,Female,Nursery,Part-time,75
2016,Female,Nursery,Part-time full time equivalent,100
2016,Female,Nursery,Total regular full time equivalent,100
2016,,Nursery,,100
2016,,Nursery,Full-time,90.91
2016,,Nursery,Part-time,100
2016,,Nursery,Part-time full time equivalent,100
2016,,Nursery,Total regular full time equivalent,92.31
2016,Male,Primary,,95.13
2016,Male,Primary,Full-time,95.88
2016,Male,Primary,Part-time,87.5
2016,Male,Primary,Part-time full time equivalent,86.67
2016,Male,Primary,Total regular full time equivalent,95.35
2016,Female,Primary,,97.26
2016,Female,Primary,Full-time,97.12
2016,Female,Primary,Part-time,97.19
2016,Female,Primary,Part-time full time equivalent,97.91
2016,Female,Primary,Total regular full time equivalent,97.28
2016,,Primary,,96.91
2016,,Primary,Full-time,97.04
2016,,Primary,Part-time,96.74
2016,,Primary,Part-time full time equivalent,97.35
2016,,Primary,Total regular full time equivalent,97.04
2016,Male,Converter academy,,94.92
2016,Male,Converter academy,Full-time,96.3
2016,Male,Converter academy,Part-time,80
2016,Male,Converter academy,Part-time full time equivalent,66.67
2016,Male,Converter academy,Total regular full time equivalent,94.74
2016,Female,Converter academy,,96.21
2016,Female,Converter academy,Full-time,95.51
2016,Female,Converter academy,Part-time,95.96
2016,Female,Converter academy,Part-time full time equivalent,98.21
2016,Female,Converter academy,Total regular full time equivalent,96.01
2016,,Converter academy,,95.78
2016,,Converter academy,Full-time,95.65
2016,,Converter academy,Part-time,96.12
2016,,Converter academy,Part-time full time equivalent,96.61
2016,,Converter academy,Total regular full time equivalent,95.82
2016,Male,Sponsor led academy,,92.31
2016,Male,Sponsor led academy,Full-time,91.67
2016,Male,Sponsor led academy,Part-time,100
2016,Male,Sponsor led academy,Part-time full time equivalent,100
2016,Male,Sponsor led academy,Total regular full time equivalent,92
2016,Female,Sponsor led academy,,94.16
2016,Female,Sponsor led academy,Full-time,94.44
2016,Female,Sponsor led academy,Part-time,96.43
2016,Female,Sponsor led academy,Part-time full time equivalent,100
2016,Female,Sponsor led academy,Total regular full time equivalent,94.4
2016,,Sponsor led academy,,94.44
2016,,Sponsor led academy,Full-time,93.94
2016,,Sponsor led academy,Part-time,96.67
2016,,Sponsor led academy,Part-time full time equivalent,94.44
2016,,Sponsor led academy,Total regular full time equivalent,94.04
2016,Male,Free schools,,50
2016,Male,Free schools,Full-time,50
2016,Male,Free schools,Total regular full time equivalent,50
2016,Female,Free schools,,90.91
2016,Female,Free schools,Full-time,88.89
2016,Female,Free schools,Part-time,50
2016,Female,Free schools,Part-time full time equivalent,100
2016,Female,Free schools,Total regular full time equivalent,90
2016,,Free schools,,84.62
2016,,Free schools,Full-time,81.82
2016,,Free schools,Part-time,100
2016,,Free schools,Part-time full time equivalent,100
2016,,Free schools,Total regular full time equivalent,83.33
2016,Male,,,93.02
2016,Male,,Full-time,93.75
2016,Male,,Part-time,85.71
2016,Male,,Part-time full time equivalent,75
2016,Male,,Total regular full time equivalent,93.98
2016,Female,,,95.52
2016,Female,,Full-time,95.03
2016,Female,,Part-time,96.12
2016,Female,,Part-time full time equivalent,97.3
2016,Female,,Total regular full time equivalent,95.42
2016,,,,95.16
2016,,,Full-time,94.8
2016,,,Part-time,95.59
2016,,,Part-time full time equivalent,96.15
2016,,,Total regular full time equivalent,95.01
2016,Male,State funded primary,,94.63
2016,Male,State funded primary,Full-time,95.67
2016,Male,State funded primary,Part-time,87.1
2016,Male,State funded primary,Part-time full time equivalent,84.21
2016,Male,State funded primary,Total regular full time equivalent,95.03
2016,Female,State funded primary,,96.83
2016,Female,State funded primary,Full-time,96.7
2016,Female,State funded primary,Part-time,97.14
2016,Female,State funded primary,Part-time full time equivalent,97.8
2016,Female,State funded primary,Total regular full time equivalent,96.81
2016,,State funded primary,,96.48
2016,,State funded primary,Full-time,96.52
2016,,State funded primary,Part-time,96.67
2016,,State funded primary,Part-time full time equivalent,97.12
2016,,State funded primary,Total regular full time equivalent,96.58
2016,Male,Learning Authority maintained secondary school,,94.84
2016,Male,Learning Authority maintained secondary school,Full-time,95.67
2016,Male,Learning Authority maintained secondary school,Part-time,85.71
2016,Male,Learning Authority maintained secondary school,Part-time full time equivalent,92.31
2016,Male,Learning Authority maintained secondary school,Total regular full time equivalent,95.49
2016,Female,Learning Authority maintained secondary school,,94.47
2016,Female,Learning Authority maintained secondary school,Full-time,94.96
2016,Female,Learning Authority maintained secondary school,Part-time,92.98
2016,Female,Learning Authority maintained secondary school,Part-time full time equivalent,94.52
2016,Female,Learning Authority maintained secondary school,Total regular full time equivalent,94.89
2016,,Learning Authority maintained secondary school,,94.6
2016,,Learning Authority maintained secondary school,Full-time,95.08
2016,,Learning Authority maintained secondary school,Part-time,91.85
2016,,Learning Authority maintained secondary school,Part-time full time equivalent,95.29
2016,,Learning Authority maintained secondary school,Total regular full time equivalent,95.11
2016,Male,Converter academy,,94.43
2016,Male,Converter academy,Full-time,95.29
2016,Male,Converter academy,Part-time,82.86
2016,Male,Converter academy,Part-time full time equivalent,85.71
2016,Male,Converter academy,Total regular full time equivalent,95.28
2016,Female,Converter academy,,93.79
2016,Female,Converter academy,Full-time,94.38
2016,Female,Converter academy,Part-time,92.23
2016,Female,Converter academy,Part-time full time equivalent,94.17
2016,Female,Converter academy,Total regular full time equivalent,94.35
2016,,Converter academy,,94.03
2016,,Converter academy,Full-time,94.87
2016,,Converter academy,Part-time,90.79
2016,,Converter academy,Part-time full time equivalent,93.62
2016,,Converter academy,Total regular full time equivalent,94.6
2016,Male,Sponsor led academy,,90.51
2016,Male,Sponsor led academy,Full-time,91.47
2016,Male,Sponsor led academy,Part-time,87.5
2016,Male,Sponsor led academy,Part-time full time equivalent,80
2016,Male,Sponsor led academy,Total regular full time equivalent,91.04
2016,Female,Sponsor led academy,,89.96
2016,Female,Sponsor led academy,Full-time,89.85
2016,Female,Sponsor led academy,Part-time,90.48
2016,Female,Sponsor led academy,Part-time full time equivalent,92.59
2016,Female,Sponsor led academy,Total regular full time equivalent,90.18
2016,,Sponsor led academy,,90.19
2016,,Sponsor led academy,Full-time,90.21
2016,,Sponsor led academy,Part-time,90
2016,,Sponsor led academy,Part-time full time equivalent,90.63
2016,,Sponsor led academy,Total regular full time equivalent,90.53
2016,Male,Free schools,,86.67
2016,Male,Free schools,Full-time,85.71
2016,Male,Free schools,Part-time,100
2016,Male,Free schools,Part-time full time equivalent,100
2016,Male,Free schools,Total regular full time equivalent,86.67
2016,Female,Free schools,,88
2016,Female,Free schools,Full-time,90
2016,Female,Free schools,Part-time,80
2016,Female,Free schools,Part-time full time equivalent,100
2016,Female,Free schools,Total regular full time equivalent,91.3
2016,,Free schools,,87.5
2016,,Free schools,Full-time,88.24
2016,,Free schools,Part-time,83.33
2016,,Free schools,Part-time full time equivalent,75
2016,,Free schools,Total regular full time equivalent,89.47
2016,Male,University technical college,,83.33
2016,Male,University technical college,Full-time,80
2016,Male,University technical college,Total regular full time equivalent,66.67
2016,Female,University technical college,,83.33
2016,Female,University technical college,Full-time,80
2016,Female,University technical college,Part-time,100
2016,Female,University technical college,Part-time full time equivalent,100
2016,Female,University technical college,Total regular full time equivalent,80
2016,,University technical college,,75
2016,,University technical college,Full-time,80
2016,,University technical college,Part-time,50
2016,,University technical college,Part-time full time equivalent,100
2016,,University technical college,Total regular full time equivalent,81.82
2016,Male,,,92.96
2016,Male,,Full-time,94.11
2016,Male,,Part-time,82.22
2016,Male,,Part-time full time equivalent,85.19
2016,Male,,Total regular full time equivalent,93.66
2016,Female,,,92.55
2016,Female,,Full-time,92.95
2016,Female,,Part-time,91.7
2016,Female,,Part-time full time equivalent,93.38
2016,Female,,Total regular full time equivalent,93.03
2016,,,,92.83
2016,,,Full-time,93.35
2016,,,Part-time,90.56
2016,,,Part-time full time equivalent,92.7
2016,,,Total regular full time equivalent,93.27
2016,Male,State funded secondary,,93.66
2016,Male,State funded secondary,Full-time,94.46
2016,Male,State funded secondary,Part-time,84.62
2016,Male,State funded secondary,Part-time full time equivalent,89.74
2016,Male,State funded secondary,Total regular full time equivalent,94.23
2016,Female,State funded secondary,,93.22
2016,Female,State funded secondary,Full-time,93.49
2016,Female,State funded secondary,Part-time,92.13
2016,Female,State funded secondary,Part-time full time equivalent,93.75
2016,Female,State funded secondary,Total regular full time equivalent,93.62
2016,,State funded secondary,,93.34
2016,,State funded secondary,Full-time,93.89
2016,,State funded secondary,Part-time,90.97
2016,,State funded secondary,Part-time full time equivalent,93.54
2016,,State funded secondary,Total regular full time equivalent,93.85
2016,Male,Learning Authority maintained special school or pupil referral unit,,85.11
2016,Male,Learning Authority maintained special school or pupil referral unit,Full-time,87.8
2016,Male,Learning Authority maintained special school or pupil referral unit,Part-time,80
2016,Male,Learning Authority maintained special school or pupil referral unit,Part-time full time equivalent,100
2016,Male,Learning Authority maintained special school or pupil referral unit,Total regular full time equivalent,84.44
2016,Female,Learning Authority maintained special school or pupil referral unit,,89.78
2016,Female,Learning Authority maintained special school or pupil referral unit,Full-time,89.22
2016,Female,Learning Authority maintained special school or pupil referral unit,Part-time,88.89
2016,Female,Learning Authority maintained special school or pupil referral unit,Part-time full time equivalent,90.91
2016,Female,Learning Authority maintained special school or pupil referral unit,Total regular full time equivalent,90.24
2016,,Learning Authority maintained special school or pupil referral unit,,88.59
2016,,Learning Authority maintained special school or pupil referral unit,Full-time,88.81
2016,,Learning Authority maintained special school or pupil referral unit,Part-time,87.8
2016,,Learning Authority maintained special school or pupil referral unit,Part-time full time equivalent,92
2016,,Learning Authority maintained special school or pupil referral unit,Total regular full time equivalent,89.29
2016,Male,Special academies or alternative provision,,77.78
2016,Male,Special academies or alternative provision,Full-time,76.47
2016,Male,Special academies or alternative provision,Part-time,50
2016,Male,Special academies or alternative provision,Part-time full time equivalent,100
2016,Male,Special academies or alternative provision,Total regular full time equivalent,77.78
2016,Female,Special academies or alternative provision,,85.37
2016,Female,Special academies or alternative provision,Full-time,84.38
2016,Female,Special academies or alternative provision,Part-time,88.89
2016,Female,Special academies or alternative provision,Part-time full time equivalent,100
2016,Female,Special academies or alternative provision,Total regular full time equivalent,84.21
2016,,Special academies or alternative provision,,83.05
2016,,Special academies or alternative provision,Full-time,81.63
2016,,Special academies or alternative provision,Part-time,81.82
2016,,Special academies or alternative provision,Part-time full time equivalent,83.33
2016,,Special academies or alternative provision,Total regular full time equivalent,81.82
2016,Male,State funded special,,83.08
2016,Male,State funded special,Full-time,84.48
2016,Male,State funded special,Part-time,85.71
2016,Male,State funded special,Part-time full time equivalent,75
2016,Male,State funded special,Total regular full time equivalent,83.87
2016,Female,State funded special,,88.76
2016,Female,State funded special,Full-time,88.06
2016,Female,State funded special,Part-time,90.91
2016,Female,State funded special,Part-time full time equivalent,88.89
2016,Female,State funded special,Total regular full time equivalent,88.82
2016,,State funded special,,87.24
2016,,State funded special,Full-time,86.98
2016,,State funded special,Part-time,86.54
2016,,State funded special,Part-time full time equivalent,90.32
2016,,State funded special,Total regular full time equivalent,87.44
2016,Male,Centrally employed,,53.85
2016,Male,Centrally employed,Full-time,66.67
2016,Male,Centrally employed,Part-time,42.86
2016,Male,Centrally employed,Part-time full time equivalent,50
2016,Male,Centrally employed,Total regular full time equivalent,66.67
2016,Female,Centrally employed,,86.36
2016,Female,Centrally employed,Full-time,88.89
2016,Female,Centrally employed,Part-time,81.48
2016,Female,Centrally employed,Part-time full time equivalent,87.5
2016,Female,Centrally employed,Total regular full time equivalent,88.24
2016,,Centrally employed,,77.19
2016,,Centrally employed,Full-time,86.96
2016,,Centrally employed,Part-time,73.53
2016,,Centrally employed,Part-time full time equivalent,75
2016,,Centrally employed,Total regular full time equivalent,83.72
2016,Male,Total state funded schools,,93.05
2016,Male,Total state funded schools,Full-time,94.14
2016,Male,Total state funded schools,Part-time,81.08
2016,Male,Total state funded schools,Part-time full time equivalent,84.85
2016,Male,Total state funded schools,Total regular full time equivalent,93.71
2016,Female,Total state funded schools,,94.92
2016,Female,Total state funded schools,Full-time,94.97
2016,Female,Total state funded schools,Part-time,94.7
2016,Female,Total state funded schools,Part-time full time equivalent,95.71
2016,Female,Total state funded schools,Total regular full time equivalent,95.14
2016,,Total state funded schools,,94.44
2016,,Total state funded schools,Full-time,94.76
2016,,Total state funded schools,Part-time,93.49
2016,,Total state funded schools,Part-time full time equivalent,94.83
2016,,Total state funded schools,Total regular full time equivalent,94.73
2015,Male,Nursery,,100
2015,Male,Nursery,Full-time,100
