Year,Flow of Overseas Development Assistance,Aid Descrition (CRS Code),Value
2009,Bilateral,,47321.46
2009,Bilateral,Trade policy and administrative Management (33110),32947.61
2009,Bilateral,Trade facilitation (33120),2942.29
2009,Bilateral,Regional trade agreements (RTAs) (33130),10128.86
2009,Bilateral,Multilateral trade negotiations (33140),884.02
2009,Bilateral,Trade-related adjustment (33150),0
2009,Bilateral,Trade education/training (33181),418.68
2010,,,169865.2489
2010,,Trade policy and administrative Management (33110),51689.48545
2010,,Trade facilitation (33120),97446.01612
2010,,Regional trade agreements (RTAs) (33130),10918.40829
2010,,Multilateral trade negotiations (33140),1534.026646
2010,,Trade-related adjustment (33150),7292.431121
2010,,Trade education/training (33181),984.8812682
2010,Bilateral,,134969.9537
2010,Bilateral,Trade policy and administrative Management (33110),38440.01464
2010,Bilateral,Trade facilitation (33120),86682.34385
2010,Bilateral,Regional trade agreements (RTAs) (33130),9180.79395
2010,Bilateral,Multilateral trade negotiations (33140),318.29261
2010,Bilateral,Trade-related adjustment (33150),0
2010,Bilateral,Trade education/training (33181),348.50865
2010,Multilateral,,34895.2952
2010,Multilateral,Trade policy and administrative Management (33110),13249.47081
2010,Multilateral,Trade facilitation (33120),10763.67227
2010,Multilateral,Regional trade agreements (RTAs) (33130),1737.614345
2010,Multilateral,Multilateral trade negotiations (33140),1215.734036
2010,Multilateral,Trade-related adjustment (33150),7292.431121
2010,Multilateral,Trade education/training (33181),636.3726182
2011,,,71552.95062
2011,,Trade policy and administrative Management (33110),30533.27585
2011,,Trade facilitation (33120),32160.46205
2011,,Regional trade agreements (RTAs) (33130),6013.228673
2011,,Multilateral trade negotiations (33140),981.8124684
2011,,Trade-related adjustment (33150),857.7072955
2011,,Trade education/training (33181),1006.464272
2011,Bilateral,,45952.71384
2011,Bilateral,Trade policy and administrative Management (33110),20773.91915
2011,Bilateral,Trade facilitation (33120),22153.99873
2011,Bilateral,Regional trade agreements (RTAs) (33130),2290.92942
2011,Bilateral,Multilateral trade negotiations (33140),52.106769
2011,Bilateral,Trade-related adjustment (33150),0
2011,Bilateral,Trade education/training (33181),681.759776
2011,Multilateral,,25600.23677
2011,Multilateral,Trade policy and administrative Management (33110),9759.356707
2011,Multilateral,Trade facilitation (33120),10006.46332
2011,Multilateral,Regional trade agreements (RTAs) (33130),3722.299253
2011,Multilateral,Multilateral trade negotiations (33140),929.7056994
2011,Multilateral,Trade-related adjustment (33150),857.7072955
2011,Multilateral,Trade education/training (33181),324.7044955
2012,,,63305.52158
2012,,Trade policy and administrative Management (33110),29235.24154
2012,,Trade facilitation (33120),27580.22827
2012,,Regional trade agreements (RTAs) (33130),4132.900565
2012,,Multilateral trade negotiations (33140),1695.796143
2012,,Trade-related adjustment (33150),310.759272
2012,,Trade education/training (33181),350.5957925
2012,Bilateral,,45473.59417
2012,Bilateral,Trade policy and administrative Management (33110),24051.71187
2012,Bilateral,Trade facilitation (33120),20240.37988
2012,Bilateral,Regional trade agreements (RTAs) (33130),78.71998
2012,Bilateral,Multilateral trade negotiations (33140),906.430051
2012,Bilateral,Trade-related adjustment (33150),0
2012,Bilateral,Trade education/training (33181),196.352395
2012,Multilateral,,17831.92741
2012,Multilateral,Trade policy and administrative Management (33110),5183.529674
2012,Multilateral,Trade facilitation (33120),7339.848394
2012,Multilateral,Regional trade agreements (RTAs) (33130),4054.180585
2012,Multilateral,Multilateral trade negotiations (33140),789.3660915
2012,Multilateral,Trade-related adjustment (33150),310.759272
2012,Multilateral,Trade education/training (33181),154.2433975
2013,,,95959.45937
2013,,Trade policy and administrative Management (33110),33730.0947
2013,,Trade facilitation (33120),48273.79092
2013,,Regional trade agreements (RTAs) (33130),9661.073923
2013,,Multilateral trade negotiations (33140),3030.96598
2013,,Trade-related adjustment (33150),959.5346314
2013,,Trade education/training (33181),303.9992104
2013,Bilateral,,61873.58992
2013,Bilateral,Trade policy and administrative Management (33110),26943.67732
2013,Bilateral,Trade facilitation (33120),32171.66628
2013,Bilateral,Regional trade agreements (RTAs) (33130),95.08293
2013,Bilateral,Multilateral trade negotiations (33140),2592.56476
2013,Bilateral,Trade-related adjustment (33150),0
2013,Bilateral,Trade education/training (33181),70.59863
2013,Multilateral,,34085.86945
2013,Multilateral,Trade policy and administrative Management (33110),6786.417384
2013,Multilateral,Trade facilitation (33120),16102.12464
2013,Multilateral,Regional trade agreements (RTAs) (33130),9565.990993
2013,Multilateral,Multilateral trade negotiations (33140),438.4012199
2013,Multilateral,Trade-related adjustment (33150),959.5346314
2013,Multilateral,Trade education/training (33181),233.4005804
2014,,,45310.4493
2014,,Trade policy and administrative Management (33110),29309.77922
2014,,Trade facilitation (33120),2241.884541
2014,,Regional trade agreements (RTAs) (33130),7180.855482
2014,,Multilateral trade negotiations (33140),4195.086423
2014,,Trade-related adjustment (33150),1756.041796
2014,,Trade education/training (33181),626.801837
2014,Bilateral,,15207.13681
2014,Bilateral,Trade policy and administrative Management (33110),21519.62264
2014,Bilateral,Trade facilitation (33120),-12320.38517
2014,Bilateral,Regional trade agreements (RTAs) (33130),1407.84134
2014,Bilateral,Multilateral trade negotiations (33140),4106.13378
2014,Bilateral,Trade-related adjustment (33150),0
2014,Bilateral,Trade education/training (33181),493.92422
2014,Multilateral,,30103.31249
2014,Multilateral,Trade policy and administrative Management (33110),7790.156579
2014,Multilateral,Trade facilitation (33120),14562.26972
2014,Multilateral,Regional trade agreements (RTAs) (33130),5773.014142
2014,Multilateral,Multilateral trade negotiations (33140),88.95264325
2014,Multilateral,Trade-related adjustment (33150),1756.041796
2014,Multilateral,Trade education/training (33181),132.877617
2015,,,81993.2527
2015,,Trade policy and administrative Management (33110),29319.03529
2015,,Trade facilitation (33120),37689.38865
2015,,Regional trade agreements (RTAs) (33130),6493.482302
2015,,Multilateral trade negotiations (33140),4424.834782
2015,,Trade-related adjustment (33150),999.0414359
