Year,Age range,Number of previous births,Country,Region,Health board,Value
2014,,,,,,97.5
2014,Under 20,,,,,98.48
2014,20 to 24,,,,,98.03
2014,25 to 29,,,,,97.68
2014,30 to 34,,,,,97.28
2014,35 to 39,,,,,96.8
2014,40 to 44,,,,,97.61
2014,45 and over,,,,,98.84
2015,,,,,,97.54
2015,Under 20,,,,,98.8
2015,20 to 24,,,,,98.15
2015,25 to 29,,,,,97.72
2015,30 to 34,,,,,97.23
2015,35 to 39,,,,,96.89
2015,40 to 44,,,,,97.96
2015,45 and over,,,,,98.9
2016,,,,,,97.66
2016,Under 20,,,,,98.7
2016,20 to 24,,,,,98.19
2016,25 to 29,,,,,97.86
2016,30 to 34,,,,,97.47
2016,35 to 39,,,,,96.98
2016,40 to 44,,,,,97.98
2016,45 and over,,,,,98.62
2014,,0 to 3,,,,97.57
2014,Under 20,0 to 3,,,,98.48
2014,20 to 24,0 to 3,,,,98.05
2014,25 to 29,0 to 3,,,,97.76
2014,30 to 34,0 to 3,,,,97.36
2014,35 to 39,0 to 3,,,,96.86
2014,40 to 44,0 to 3,,,,97.66
2014,45 and over,0 to 3,,,,99.08
2014,,4 and over,,,,95.52
2014,Under 20,4 and over,,,,100
2014,20 to 24,4 and over,,,,93.49
2014,25 to 29,4 and over,,,,94.4
2014,30 to 34,4 and over,,,,95.31
2014,35 to 39,4 and over,,,,95.95
2014,40 to 44,4 and over,,,,97.04
2014,45 and over,4 and over,,,,97.29
2014,,Not stated,,,,97.95
2014,Under 20,Not stated,,,,97.52
2014,20 to 24,Not stated,,,,98.52
2014,25 to 29,Not stated,,,,98.3
2014,30 to 34,Not stated,,,,97.83
2014,35 to 39,Not stated,,,,96.81
2014,40 to 44,Not stated,,,,99.52
2014,45 and over,Not stated,,,,100
2015,,0 to 3,,,,97.62
2015,Under 20,0 to 3,,,,98.81
2015,20 to 24,0 to 3,,,,98.17
2015,25 to 29,0 to 3,,,,97.79
2015,30 to 34,0 to 3,,,,97.32
2015,35 to 39,0 to 3,,,,96.97
2015,40 to 44,0 to 3,,,,98.09
2015,45 and over,0 to 3,,,,99.12
2015,,4 and over,,,,95.46
2015,Under 20,4 and over,,,,83.33
2015,20 to 24,4 and over,,,,94.71
2015,25 to 29,4 and over,,,,94.79
2015,30 to 34,4 and over,,,,95.01
2015,35 to 39,4 and over,,,,95.75
2015,40 to 44,4 and over,,,,97.04
2015,45 and over,4 and over,,,,97.42
2015,,Not stated,,,,97.88
2015,Under 20,Not stated,,,,100
2015,20 to 24,Not stated,,,,98.35
2015,25 to 29,Not stated,,,,98.15
2015,30 to 34,Not stated,,,,97.89
2015,35 to 39,Not stated,,,,97.36
2015,40 to 44,Not stated,,,,95.54
2015,45 and over,Not stated,,,,100
2016,,0 to 3,,,,97.73
2016,Under 20,0 to 3,,,,98.7
2016,20 to 24,0 to 3,,,,98.2
2016,25 to 29,0 to 3,,,,97.93
2016,30 to 34,0 to 3,,,,97.54
2016,35 to 39,0 to 3,,,,97.05
2016,40 to 44,0 to 3,,,,98.06
2016,45 and over,0 to 3,,,,98.78
2016,,4 and over,,,,95.81
2016,Under 20,4 and over,,,,100
2016,20 to 24,4 and over,,,,95.13
2016,25 to 29,4 and over,,,,94.86
2016,30 to 34,4 and over,,,,95.57
2016,35 to 39,4 and over,,,,95.95
2016,40 to 44,4 and over,,,,97.32
2016,45 and over,4 and over,,,,97.55
2016,,Not stated,,,,97.83
2016,Under 20,Not stated,,,,99.13
2016,20 to 24,Not stated,,,,98
2016,25 to 29,Not stated,,,,97.66
2016,30 to 34,Not stated,,,,97.92
2016,35 to 39,Not stated,,,,97.32
2016,40 to 44,Not stated,,,,98.97
2016,45 and over,Not stated,,,,100
2014,,,England,,,97.54
2014,,,England,North East,,98.72
2014,,,England,North West,,97.58
2014,,,England,Yorkshire and The Humber,,97.5
2014,,,England,East Midlands,,97.2
2014,,,England,West Midlands,,98.25
2014,,,England,East,,97.29
2014,,,England,London,,98.09
2014,,,England,South East,,96.92
