Year,Own a smartphone,Sex,Age,Geography,Environment,Socio-economic classification,Value
2008,,,,,,,84
2009,,,,,,,89
2010,,,,,,,89
2011,,,,,,,91
2011,Yes,,,,,,28
2012,,,,,,,92
2012,Yes,,,,,,39
2013,,,,,,,92
2013,Yes,,,,,,51
2014,,,,,,,93
2014,Yes,,,,,,61
2015,,,,,,,93
2015,Yes,,,,,,66
2016,,,,,,,93
2016,Yes,,,,,,71
2017,,,,,,,94
2017,Yes,,,,,,76
2008,,Male,,,,,83
2009,,Male,,,,,89
2010,,Male,,,,,89
2011,,Male,,,,,91
2011,Yes,Male,,,,,29
2012,,Male,,,,,92
2012,Yes,Male,,,,,41
2013,,Male,,,,,92
2013,Yes,Male,,,,,53
2014,,Male,,,,,93
2014,Yes,Male,,,,,61
2015,,Male,,,,,92
2015,Yes,Male,,,,,67
2016,,Male,,,,,93
2016,Yes,Male,,,,,69
2017,,Male,,,,,94
2017,Yes,Male,,,,,76
2008,,Female,,,,,86
2009,,Female,,,,,89
2010,,Female,,,,,89
2011,,Female,,,,,91
2011,Yes,Female,,,,,26
2012,,Female,,,,,92
2012,Yes,Female,,,,,37
2013,,Female,,,,,91
2013,Yes,Female,,,,,50
2014,,Female,,,,,93
2014,Yes,Female,,,,,61
2015,,Female,,,,,93
2015,Yes,Female,,,,,65
2016,,Female,,,,,94
2016,Yes,Female,,,,,72
2017,,Female,,,,,95
2017,Yes,Female,,,,,76
2008,,,16 to 24,,,,95
2009,,,16 to 24,,,,97
2010,,,16 to 24,,,,97
2011,,,16 to 24,,,,98
2011,Yes,,16 to 24,,,,47
2012,,,16 to 24,,,,98
2012,Yes,,16 to 24,,,,67
2013,,,16 to 24,,,,97
2013,Yes,,16 to 24,,,,77
2014,,,16 to 24,,,,100
2014,Yes,,16 to 24,,,,88
2015,,,16 to 24,,,,98
2015,Yes,,16 to 24,,,,90
2016,,,16 to 24,,,,99
2016,Yes,,16 to 24,,,,90
