Year,Sex,Value
2002,,13.15797843
2003,,13.13152971
2004,,13.02705721
2005,,13.72915228
2006,,14.17148855
2007,,13.81547901
2008,,13.92724206
2009,,15.26181684
2010,,15.33692745
2011,,16.12141761
2012,,15.5630879
2013,,14.76722064
2014,,13.31572591
2015,,12.28685787
2016,,11.80553869
2002,Male,11.07919026
2003,Male,10.72863521
2004,Male,10.70820438
2005,Male,11.77563558
2006,Male,12.32786104
2007,Male,11.81510103
2008,Male,11.87619849
2009,Male,13.79169096
2010,Male,13.74584093
2011,Male,15.0348211
2012,Male,14.56120613
2013,Male,13.67009947
2014,Male,12.0172714
2015,Male,11.07036138
2016,Male,11.3897565
2002,Female,15.25501797
2003,Female,15.553813
2004,Female,15.36366802
2005,Female,15.68840021
2006,Female,16.02212466
2007,Female,15.83079485
2008,Female,15.9846324
2009,Female,16.73466696
2010,Female,16.94366166
2011,Female,17.22649668
2012,Female,16.58848808
2013,Female,15.89485962
2014,Female,14.65557986
2015,Female,13.5454175
2016,Female,12.23759129
