Year,Units,Country,Region,Age group,Sex,GeoCode,Value
2000,Percentage of total public sector employees,,,16 to 17,Male,,0.261765558889458
2001,Percentage of total public sector employees,,,16 to 17,Male,,0.236540341019507
2002,Percentage of total public sector employees,,,16 to 17,Male,,0.216076755748671
2003,Percentage of total public sector employees,,,16 to 17,Male,,0.19385255170727
2004,Percentage of total public sector employees,,,16 to 17,Male,,0.211276404983708
2005,Percentage of total public sector employees,,,16 to 17,Male,,0.156078767589107
2006,Percentage of total public sector employees,,,16 to 17,Male,,0.204507691852984
2007,Percentage of total public sector employees,,,16 to 17,Male,,0.182231396821501
2008,Percentage of total public sector employees,,,16 to 17,Male,,0.194164711024019
2009,Percentage of total public sector employees,,,16 to 17,Male,,0.125504472860225
2010,Percentage of total public sector employees,,,16 to 17,Male,,0.133993884149517
2011,Percentage of total public sector employees,,,16 to 17,Male,,0.129728498966505
2012,Percentage of total public sector employees,,,16 to 17,Male,,0.105680931056267
2014,Percentage of total public sector employees,,,16 to 17,Male,,0.0962486882360463
2016,Percentage of total public sector employees,,,16 to 17,Male,,0.16733063743876
2000,Percentage of total public sector employees,,,16 to 17,Female,,0.259110873225765
2001,Percentage of total public sector employees,,,16 to 17,Female,,0.282616612754909
2002,Percentage of total public sector employees,,,16 to 17,Female,,0.278603865174059
2003,Percentage of total public sector employees,,,16 to 17,Female,,0.29026058644165
2004,Percentage of total public sector employees,,,16 to 17,Female,,0.254161554767529
2005,Percentage of total public sector employees,,,16 to 17,Female,,0.214155503763157
2006,Percentage of total public sector employees,,,16 to 17,Female,,0.227084506511032
2007,Percentage of total public sector employees,,,16 to 17,Female,,0.181998249674696
2008,Percentage of total public sector employees,,,16 to 17,Female,,0.191452598138898
2009,Percentage of total public sector employees,,,16 to 17,Female,,0.176946993249885
2010,Percentage of total public sector employees,,,16 to 17,Female,,0.0954928512928561
2011,Percentage of total public sector employees,,,16 to 17,Female,,0.1390342002431
2012,Percentage of total public sector employees,,,16 to 17,Female,,0.111521773239205
2013,Percentage of total public sector employees,,,16 to 17,Female,,0.108015505326583
2014,Percentage of total public sector employees,,,16 to 17,Female,,0.120336139479271
2015,Percentage of total public sector employees,,,16 to 17,Female,,0.114216157141302
2000,Percentage of total public sector employees,,,16 to 17,,,0.520876432115223
2001,Percentage of total public sector employees,,,16 to 17,,,0.519156953774417
2002,Percentage of total public sector employees,,,16 to 17,,,0.49468062092273
2003,Percentage of total public sector employees,,,16 to 17,,,0.48411313814892
2004,Percentage of total public sector employees,,,16 to 17,,,0.465437959751238
2005,Percentage of total public sector employees,,,16 to 17,,,0.370234271352265
2006,Percentage of total public sector employees,,,16 to 17,,,0.431592198364016
2007,Percentage of total public sector employees,,,16 to 17,,,0.364229646496198
2008,Percentage of total public sector employees,,,16 to 17,,,0.385617309162917
2009,Percentage of total public sector employees,,,16 to 17,,,0.30245146611011
2010,Percentage of total public sector employees,,,16 to 17,,,0.229486735442373
2011,Percentage of total public sector employees,,,16 to 17,,,0.268762699209605
