Year,Development Assistance Committee classification,Region,Country,Flow of official development assistance,Value
2010,,,,,8528780.85
2011,,,,,8628307.32
2012,,,,,8801919.05
2013,,,,,11406860.45
2014,,,,,11700471.98
2015,,,,,12137609.25
2009,,,,Bilateral,4804033.14
2010,,,,Bilateral,5189634.32
2011,,,,Bilateral,5259832.09
2012,,,,Bilateral,5559706.85
2013,,,,Bilateral,6720864.96
2014,,,,Bilateral,6822490.68
2015,,,,Bilateral,7664216.17
2010,,,,Multilateral,3339146.53
2011,,,,Multilateral,3368791
2012,,,,Multilateral,3242212.19
2013,,,,Multilateral,4685995.49
2014,,,,Multilateral,4877981.31
2015,,,,Multilateral,4473393.08
2010,Least developed country,,,,2951866.47
2010,Least developed country,Sub Saharan Africa,,,2277255.06
2010,Least developed country,Sub Saharan Africa,Angola,,17737.06
2010,Least developed country,Sub Saharan Africa,Benin,,32854.41
2010,Least developed country,Sub Saharan Africa,Burkina Faso,,55419.37
2010,Least developed country,Sub Saharan Africa,Burundi,,45760.93
2010,Least developed country,Sub Saharan Africa,Central African Republic,,14904.18
2010,Least developed country,Sub Saharan Africa,Chad,,18353.07
2010,Least developed country,Sub Saharan Africa,Comoros,,2335.09
2010,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",,257639.82
2010,Least developed country,Sub Saharan Africa,Djibouti,,1836.58
2010,Least developed country,Sub Saharan Africa,Equatorial Guinea,,569.78
2010,Least developed country,Sub Saharan Africa,Eritrea,,13514.11
2010,Least developed country,Sub Saharan Africa,Ethiopia,,410164.29
2010,Least developed country,Sub Saharan Africa,Gambia,,8015.03
2010,Least developed country,Sub Saharan Africa,Guinea,,11541.17
2010,Least developed country,Sub Saharan Africa,Guinea-Bissau,,5365.07
2010,Least developed country,Sub Saharan Africa,Lesotho,,18858.31
2010,Least developed country,Sub Saharan Africa,Liberia,,34463.38
2010,Least developed country,Sub Saharan Africa,Madagascar,,22335.56
2010,Least developed country,Sub Saharan Africa,Malawi,,144539.83
2010,Least developed country,Sub Saharan Africa,Mali,,38007.81
2010,Least developed country,Sub Saharan Africa,Mauritania,,9301.03
2010,Least developed country,Sub Saharan Africa,Mozambique,,123939.25
2010,Least developed country,Sub Saharan Africa,Niger,,31859.86
2010,Least developed country,Sub Saharan Africa,Rwanda,,116814.23
2010,Least developed country,Sub Saharan Africa,Sao Tome & Principe,,1297.48
2010,Least developed country,Sub Saharan Africa,Senegal,,30238.01
2010,Least developed country,Sub Saharan Africa,Sierra Leone,,75072.94
2010,Least developed country,Sub Saharan Africa,Somalia,,58187.76
2010,Least developed country,Sub Saharan Africa,South Sudan,,0
2010,Least developed country,Sub Saharan Africa,Sudan,,118520.34
2010,Least developed country,Sub Saharan Africa,Tanzania,,288285.45
2010,Least developed country,Sub Saharan Africa,Togo,,8798.41
2010,Least developed country,Sub Saharan Africa,Uganda,,185139.45
2010,Least developed country,Sub Saharan Africa,Zambia,,75586.02
2011,Least developed country,,,,3266151.31
2011,Least developed country,Sub Saharan Africa,,,2450180.87
2011,Least developed country,Sub Saharan Africa,Angola,,5976.13
2011,Least developed country,Sub Saharan Africa,Benin,,21556.29
2011,Least developed country,Sub Saharan Africa,Burkina Faso,,56085.2
2011,Least developed country,Sub Saharan Africa,Burundi,,38154.84
2011,Least developed country,Sub Saharan Africa,Central African Republic,,16553.49
2011,Least developed country,Sub Saharan Africa,Chad,,15332.32
2011,Least developed country,Sub Saharan Africa,Comoros,,1857.23
2011,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",,345374.32
2011,Least developed country,Sub Saharan Africa,Djibouti,,2379.08
2011,Least developed country,Sub Saharan Africa,Equatorial Guinea,,60.78
2011,Least developed country,Sub Saharan Africa,Eritrea,,12794.33
2011,Least developed country,Sub Saharan Africa,Ethiopia,,514513.12
2011,Least developed country,Sub Saharan Africa,Gambia,,12339.35
2011,Least developed country,Sub Saharan Africa,Guinea,,11787.07
2011,Least developed country,Sub Saharan Africa,Guinea-Bissau,,5891.8
2011,Least developed country,Sub Saharan Africa,Lesotho,,10065.48
2011,Least developed country,Sub Saharan Africa,Liberia,,41907.64
2011,Least developed country,Sub Saharan Africa,Madagascar,,18733.55
2011,Least developed country,Sub Saharan Africa,Malawi,,94877.01
2011,Least developed country,Sub Saharan Africa,Mali,,43374.8
2011,Least developed country,Sub Saharan Africa,Mauritania,,13618.81
2011,Least developed country,Sub Saharan Africa,Mozambique,,150591.96
2011,Least developed country,Sub Saharan Africa,Niger,,34215.15
2011,Least developed country,Sub Saharan Africa,Rwanda,,154295.78
2011,Least developed country,Sub Saharan Africa,Sao Tome & Principe,,4071.88
2011,Least developed country,Sub Saharan Africa,Senegal,,47650.67
2011,Least developed country,Sub Saharan Africa,Sierra Leone,,66730.17
2011,Least developed country,Sub Saharan Africa,Somalia,,111338.41
2011,Least developed country,Sub Saharan Africa,South Sudan,,54851.12
2011,Least developed country,Sub Saharan Africa,Sudan,,117698.18
2011,Least developed country,Sub Saharan Africa,Tanzania,,175565.09
2011,Least developed country,Sub Saharan Africa,Togo,,19522.1
2011,Least developed country,Sub Saharan Africa,Uganda,,146277.14
2011,Least developed country,Sub Saharan Africa,Zambia,,84140.6
2012,Least developed country,,,,2982211.36
2012,Least developed country,Sub Saharan Africa,,,2170152.55
2012,Least developed country,Sub Saharan Africa,Angola,,9571.32
2012,Least developed country,Sub Saharan Africa,Benin,,18118.66
2012,Least developed country,Sub Saharan Africa,Burkina Faso,,45406.27
2012,Least developed country,Sub Saharan Africa,Burundi,,25387.23
2012,Least developed country,Sub Saharan Africa,Central African Republic,,11823.32
2012,Least developed country,Sub Saharan Africa,Chad,,12493.06
2012,Least developed country,Sub Saharan Africa,Comoros,,3899.45
2012,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",,226484.9
2012,Least developed country,Sub Saharan Africa,Djibouti,,2453.08
2012,Least developed country,Sub Saharan Africa,Equatorial Guinea,,-34.18
2012,Least developed country,Sub Saharan Africa,Eritrea,,6647.19
2012,Least developed country,Sub Saharan Africa,Ethiopia,,393741.51
2012,Least developed country,Sub Saharan Africa,Gambia,,15728.74
2012,Least developed country,Sub Saharan Africa,Guinea,,35591.3
2012,Least developed country,Sub Saharan Africa,Guinea-Bissau,,3345.21
2012,Least developed country,Sub Saharan Africa,Lesotho,,7626.52
2012,Least developed country,Sub Saharan Africa,Liberia,,23586.89
2012,Least developed country,Sub Saharan Africa,Madagascar,,15709.47
2012,Least developed country,Sub Saharan Africa,Malawi,,164331.01
2012,Least developed country,Sub Saharan Africa,Mali,,20423.76
2012,Least developed country,Sub Saharan Africa,Mauritania,,9914.12
2012,Least developed country,Sub Saharan Africa,Mozambique,,130929.2
2012,Least developed country,Sub Saharan Africa,Niger,,34521.55
2012,Least developed country,Sub Saharan Africa,Rwanda,,59676.85
2012,Least developed country,Sub Saharan Africa,Sao Tome & Principe,,1782.98
2012,Least developed country,Sub Saharan Africa,Senegal,,33013.43
2012,Least developed country,Sub Saharan Africa,Sierra Leone,,82008.63
2012,Least developed country,Sub Saharan Africa,Somalia,,104487.19
2012,Least developed country,Sub Saharan Africa,South Sudan,,115407.24
2012,Least developed country,Sub Saharan Africa,Sudan,,74216.78
2012,Least developed country,Sub Saharan Africa,Tanzania,,249014.4
2012,Least developed country,Sub Saharan Africa,Togo,,9919.37
2012,Least developed country,Sub Saharan Africa,Uganda,,146547.46
2012,Least developed country,Sub Saharan Africa,Zambia,,76378.63
2013,Least developed country,,,,3969580.05
2013,Least developed country,Sub Saharan Africa,,,2924271.58
2013,Least developed country,Sub Saharan Africa,Angola,,17008.47
2013,Least developed country,Sub Saharan Africa,Benin,,43597.59
2013,Least developed country,Sub Saharan Africa,Burkina Faso,,56345.78
2013,Least developed country,Sub Saharan Africa,Burundi,,38748.71
2013,Least developed country,Sub Saharan Africa,Central African Republic,,10443.63
2013,Least developed country,Sub Saharan Africa,Chad,,20498.81
2013,Least developed country,Sub Saharan Africa,Comoros,,3850.49
2013,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",,307644.31
2013,Least developed country,Sub Saharan Africa,Djibouti,,4322.59
2013,Least developed country,Sub Saharan Africa,Equatorial Guinea,,-214.94
2013,Least developed country,Sub Saharan Africa,Eritrea,,11740.08
2013,Least developed country,Sub Saharan Africa,Ethiopia,,571123.01
2013,Least developed country,Sub Saharan Africa,Gambia,,15456.94
2013,Least developed country,Sub Saharan Africa,Guinea,,23443.31
2013,Least developed country,Sub Saharan Africa,Guinea-Bissau,,6641.77
2013,Least developed country,Sub Saharan Africa,Lesotho,,15690.29
2013,Least developed country,Sub Saharan Africa,Liberia,,29885.9
2013,Least developed country,Sub Saharan Africa,Madagascar,,30612.75
2013,Least developed country,Sub Saharan Africa,Malawi,,169491.47
2013,Least developed country,Sub Saharan Africa,Mali,,65073.77
2013,Least developed country,Sub Saharan Africa,Mauritania,,10541.15
2013,Least developed country,Sub Saharan Africa,Mozambique,,158433.92
2013,Least developed country,Sub Saharan Africa,Niger,,45515.76
2013,Least developed country,Sub Saharan Africa,Rwanda,,160442.31
2013,Least developed country,Sub Saharan Africa,Sao Tome & Principe,,3265.55
2013,Least developed country,Sub Saharan Africa,Senegal,,38524.48
2013,Least developed country,Sub Saharan Africa,Sierra Leone,,90882.57
2013,Least developed country,Sub Saharan Africa,Somalia,,124505.53
2013,Least developed country,Sub Saharan Africa,South Sudan,,155390.04
2013,Least developed country,Sub Saharan Africa,Sudan,,100088.06
2013,Least developed country,Sub Saharan Africa,Tanzania,,329608.62
2013,Least developed country,Sub Saharan Africa,Togo,,15022.73
2013,Least developed country,Sub Saharan Africa,Uganda,,143135.61
2013,Least developed country,Sub Saharan Africa,Zambia,,107510.5
2014,Least developed country,,,,4039685.46
2014,Least developed country,Sub Saharan Africa,,,3088642.24
2014,Least developed country,Sub Saharan Africa,Angola,,15913.99
2014,Least developed country,Sub Saharan Africa,Benin,,37565.47
2014,Least developed country,Sub Saharan Africa,Burkina Faso,,67626.51
2014,Least developed country,Sub Saharan Africa,Burundi,,35502.44
2014,Least developed country,Sub Saharan Africa,Central African Republic,,47685.41
2014,Least developed country,Sub Saharan Africa,Chad,,17561.64
