Year,Sex,Age,Offence,Remand type,Nationality,Value
2002,,,,,,18.36754753
2002,,,Violence against the person,,,3.570726502
2002,,,Sexual offences,,,0.828442248
2002,,,Robbery,,,1.978432419
2002,,,Drug offences,,,2.153949844
2002,,,Offence not recorded,,,1.286191693
2002,,,Burglary,,,2.808278806
2002,,,Theft and handling,,,2.756325648
2002,,,Fraud and forgery,,,0.301889972
2002,,,Motoring offences,,,0.551826785
2002,,,Other offences,,,2.132887753
2002,,21 and over,,,,17.37940931
2002,,21 and over,Violence against the person,,,3.409873607
2002,,21 and over,Sexual offences,,,0.839200411
2002,,21 and over,Robbery,,,1.540745419
2002,,21 and over,Drug offences,,,2.306971881
2002,,21 and over,Offence not recorded,,,1.323482071
2002,,21 and over,Burglary,,,2.592233681
2002,,21 and over,Theft and handling,,,2.514284236
2002,,21 and over,Fraud and forgery,,,0.333358266
2002,,21 and over,Motoring offences,,,0.489257157
2002,,21 and over,Other offences,,,2.028344077
2002,,18 to 20,,,,25.19829098
2002,,18 to 20,Violence against the person,,,4.837975829
2002,,18 to 20,Sexual offences,,,0.68427946
2002,,18 to 20,Robbery,,,4.129686564
2002,,18 to 20,Drug offences,,,1.608656976
2002,,18 to 20,Offence not recorded,,,1.224500086
2002,,18 to 20,Burglary,,,4.261740495
2002,,18 to 20,Theft and handling,,,4.549858162
2002,,18 to 20,Fraud and forgery,,,0.132053931
2002,,18 to 20,Motoring offences,,,1.068436349
2002,,18 to 20,Other offences,,,2.701103131
2002,,15 to 17,,,,19.40144797
2002,,15 to 17,Violence against the person,,,3.24000324
2002,,15 to 17,Sexual offences,,,1.041429613
2002,,15 to 17,Robbery,,,5.207148064
2002,,15 to 17,Drug offences,,,0.347143204
2002,,15 to 17,Offence not recorded,,,0.655714941
2002,,15 to 17,Burglary,,,3.124288839
2002,,15 to 17,Theft and handling,,,2.622859766
2002,,15 to 17,Fraud and forgery,,,0.077142934
2002,,15 to 17,Motoring offences,,,0.308571737
2002,,15 to 17,Other offences,,,2.738574167
2002,Male,,,,,18.08182689
2002,Male,,Violence against the person,,,3.607985155
2002,Male,,Sexual offences,,,0.878426912
2002,Male,,Robbery,,,1.951394708
2002,Male,,Drug offences,,,2.035196935
2002,Male,,Offence not recorded,,,1.266012211
2002,Male,,Burglary,,,2.864240393
2002,Male,,Theft and handling,,,2.524542081
2002,Male,,Fraud and forgery,,,0.285825452
2002,Male,,Motoring offences,,,0.577636777
2002,Male,,Other offences,,,2.090566264
2002,Male,21 and over,,,,17.05878461
2002,Male,21 and over,Violence against the person,,,3.446076161
2002,Male,21 and over,Sexual offences,,,0.889823567
2002,Male,21 and over,Robbery,,,1.503677996
2002,Male,21 and over,Drug offences,,,2.193600842
2002,Male,21 and over,Offence not recorded,,,1.302008242
2002,Male,21 and over,Burglary,,,2.644704241
2002,Male,21 and over,Theft and handling,,,2.280283456
2002,Male,21 and over,Fraud and forgery,,,0.316656896
2002,Male,21 and over,Motoring offences,,,0.511250519
2002,Male,21 and over,Other offences,,,1.972471725
2002,Male,18 to 20,,,,24.94004796
2002,Male,18 to 20,Violence against the person,,,4.885691447
2002,Male,18 to 20,Sexual offences,,,0.729016787
2002,Male,18 to 20,Robbery,,,4.131095124
2002,Male,18 to 20,Drug offences,,,1.432454037
2002,Male,18 to 20,Offence not recorded,,,1.189448441
2002,Male,18 to 20,Burglary,,,4.322941647
2002,Male,18 to 20,Theft and handling,,,4.233413269
2002,Male,18 to 20,Fraud and forgery,,,0.127897682
2002,Male,18 to 20,Motoring offences,,,1.138289369
2002,Male,18 to 20,Other offences,,,2.737010392
2002,Male,15 to 17,,,,19.78055692
2002,Male,15 to 17,Violence against the person,,,3.269847165
2002,Male,15 to 17,Sexual offences,,,1.089949055
2002,Male,15 to 17,Robbery,,,5.288271341
2002,Male,15 to 17,Drug offences,,,0.282579385
2002,Male,15 to 17,Offence not recorded,,,0.68626422
2002,Male,15 to 17,Burglary,,,3.269847165
2002,Male,15 to 17,Theft and handling,,,2.704688396
2002,Male,15 to 17,Fraud and forgery,,,0.080736967
2002,Male,15 to 17,Motoring offences,,,0.322947868
2002,Male,15 to 17,Other offences,,,2.745056879
2002,Female,,,,,22.71279017
2002,Female,,Violence against the person,,,3.004096495
2002,Female,,Sexual offences,,,0.06827492
2002,Female,,Robbery,,,2.366863905
2002,Female,,Drug offences,,,3.95994538
2002,Female,,Offence not recorded,,,1.593081475
2002,Female,,Burglary,,,1.957214383
2002,Female,,Theft and handling,,,6.281292672
2002,Female,,Fraud and forgery,,,0.546199363
2002,Female,,Motoring offences,,,0.159308147
2002,Female,,Other offences,,,2.776513427
2002,Female,21 and over,,,,22.19025222
2002,Female,21 and over,Violence against the person,,,2.893226664
2002,Female,21 and over,Sexual offences,,,0.079630092
2002,Female,21 and over,Robbery,,,2.096925748
2002,Female,21 and over,Drug offences,,,4.008047948
2002,Female,21 and over,Offence not recorded,,,1.645688561
2002,Female,21 and over,Burglary,,,1.831492109
2002,Female,21 and over,Theft and handling,,,6.025343604
2002,Female,21 and over,Fraud and forgery,,,0.61049737
2002,Female,21 and over,Motoring offences,,,0.185803547
2002,Female,21 and over,Other offences,,,2.866683301
2002,Female,18 to 20,,,,29.14824524
2002,Female,18 to 20,Violence against the person,,,3.912516139
2002,Female,18 to 20,Robbery,,,4.108141946
2002,Female,18 to 20,Drug offences,,,4.108141946
2002,Female,18 to 20,Offence not recorded,,,1.565006456
2002,Female,18 to 20,Burglary,,,3.325638718
2002,Female,18 to 20,Theft and handling,,,9.390038734
2002,Female,18 to 20,Fraud and forgery,,,0.195625807
2002,Female,18 to 20,Other offences,,,2.347509683
2002,Female,15 to 17,,,,11.26614091
2002,Female,15 to 17,Violence against the person,,,2.599878672
2002,Female,15 to 17,Robbery,,,3.466504896
2002,Female,15 to 17,Drug offences,,,1.733252448
2002,Female,15 to 17,Theft and handling,,,0.866626224
2002,Female,15 to 17,Other offences,,,1.733252448
2003,,,,,,17.74848283
2003,,,Violence against the person,,,3.449773952
2003,,,Sexual offences,,,0.758923117
2003,,,Robbery,,,1.728281087
2003,,,Drug offences,,,2.097560313
2003,,,Offence not recorded,,,1.441818157
2003,,,Burglary,,,2.650121509
2003,,,Theft and handling,,,2.519787664
2003,,,Fraud and forgery,,,0.325834612
2003,,,Motoring offences,,,0.571568215
2003,,,Other offences,,,2.204814206
2003,,21 and over,,,,16.98128907
2003,,21 and over,Violence against the person,,,3.282481916
2003,,21 and over,Sexual offences,,,0.772163293
2003,,21 and over,Robbery,,,1.42771417
2003,,21 and over,Drug offences,,,2.209332523
2003,,21 and over,Offence not recorded,,,1.474989473
