Year,Units,Domestic consumption category,Value
2000,Tonnes per capita,,14.4
2001,Tonnes per capita,,15.1
2002,Tonnes per capita,,13.9
2003,Tonnes per capita,,13.6
2004,Tonnes per capita,,13.7
2005,Tonnes per capita,,13.7
2006,Tonnes per capita,,13.1
2007,Tonnes per capita,,13
2008,Tonnes per capita,,12
2009,Tonnes per capita,,10.5
2010,Tonnes per capita,,10.4
2011,Tonnes per capita,,10.1
2012,Tonnes per capita,,10.1
2013,Tonnes per capita,,10.3
2000,Tonnes per capita,Biomass,3.196000414
2001,Tonnes per capita,Biomass,2.980731819
2002,Tonnes per capita,Biomass,3.124699953
2003,Tonnes per capita,Biomass,3.033367037
2004,Tonnes per capita,Biomass,3.057527556
2005,Tonnes per capita,Biomass,3.022513255
2006,Tonnes per capita,Biomass,2.914819217
2007,Tonnes per capita,Biomass,2.89632431
2008,Tonnes per capita,Biomass,2.947085103
2009,Tonnes per capita,Biomass,2.863773982
2010,Tonnes per capita,Biomass,2.715126794
2011,Tonnes per capita,Biomass,2.743141751
2012,Tonnes per capita,Biomass,2.663841143
2013,Tonnes per capita,Biomass,2.690868363
2000,Tonnes per capita,Metal ores,1.239834188
2001,Tonnes per capita,Metal ores,1.695177034
2002,Tonnes per capita,Metal ores,0.975411728
2003,Tonnes per capita,Metal ores,0.820065497
2004,Tonnes per capita,Metal ores,0.683982092
2005,Tonnes per capita,Metal ores,0.92866968
2006,Tonnes per capita,Metal ores,0.481758953
2007,Tonnes per capita,Metal ores,0.503970215
2008,Tonnes per capita,Metal ores,0.194148532
2009,Tonnes per capita,Metal ores,0.266685941
2010,Tonnes per capita,Metal ores,0.433464256
2011,Tonnes per capita,Metal ores,0.349276528
2012,Tonnes per capita,Metal ores,0.510179735
2013,Tonnes per capita,Metal ores,0.396236216
2000,Tonnes per capita,Non-metal minerals,5.459692525
2001,Tonnes per capita,Non-metal minerals,5.589295079
2002,Tonnes per capita,Non-metal minerals,5.324623478
2003,Tonnes per capita,Non-metal minerals,5.240061908
2004,Tonnes per capita,Non-metal minerals,5.382783101
2005,Tonnes per capita,Non-metal minerals,5.169391508
2006,Tonnes per capita,Non-metal minerals,5.124360688
2007,Tonnes per capita,Non-metal minerals,5.259372691
2008,Tonnes per capita,Non-metal minerals,4.55973266
2009,Tonnes per capita,Non-metal minerals,3.626697505
2010,Tonnes per capita,Non-metal minerals,3.55006015
2011,Tonnes per capita,Non-metal minerals,3.518995783
2012,Tonnes per capita,Non-metal minerals,3.26818931
2013,Tonnes per capita,Non-metal minerals,3.313277914
2000,Tonnes per capita,Fossil energy materials,4.53587519
2001,Tonnes per capita,Fossil energy materials,4.787441003
2002,Tonnes per capita,Fossil energy materials,4.452065755
2003,Tonnes per capita,Fossil energy materials,4.480462534
2004,Tonnes per capita,Fossil energy materials,4.602137767
2005,Tonnes per capita,Fossil energy materials,4.56521991
2006,Tonnes per capita,Fossil energy materials,4.578551336
2007,Tonnes per capita,Fossil energy materials,4.324916706
2008,Tonnes per capita,Fossil energy materials,4.254025149
2009,Tonnes per capita,Fossil energy materials,3.753583733
2010,Tonnes per capita,Fossil energy materials,3.672750739
2011,Tonnes per capita,Fossil energy materials,3.53321714
2012,Tonnes per capita,Fossil energy materials,3.651204772
2013,Tonnes per capita,Fossil energy materials,3.881090137
2000,Tonnes per gross domestic product (£m),,599.2909202
2001,Tonnes per gross domestic product (£m),,610.8439036
2002,Tonnes per gross domestic product (£m),,552.3002679
2003,Tonnes per gross domestic product (£m),,524.4682753
2004,Tonnes per gross domestic product (£m),,520.0677921
2005,Tonnes per gross domestic product (£m),,507.4503581
2006,Tonnes per gross domestic product (£m),,477.0982084
2007,Tonnes per gross domestic product (£m),,464.741307
2008,Tonnes per gross domestic product (£m),,434.1895325
2009,Tonnes per gross domestic product (£m),,401.8831094
2010,Tonnes per gross domestic product (£m),,392.162297
2011,Tonnes per gross domestic product (£m),,380.9902542
2012,Tonnes per gross domestic product (£m),,376.6970407
2013,Tonnes per gross domestic product (£m),,378.8307753
2000,Tonnes per gross domestic product (£m),Biomass,132.7056726
2001,Tonnes per gross domestic product (£m),Biomass,120.9469556
2002,Tonnes per gross domestic product (£m),Biomass,124.349678
2003,Tonnes per gross domestic product (£m),Biomass,117.2035961
2004,Tonnes per gross domestic product (£m),Biomass,115.8304086
2005,Tonnes per gross domestic product (£m),Biomass,112.0576072
2006,Tonnes per gross domestic product (£m),Biomass,106.1482148
2007,Tonnes per gross domestic product (£m),Biomass,103.6780004
2008,Tonnes per gross domestic product (£m),Biomass,107.0346811
2009,Tonnes per gross domestic product (£m),Biomass,109.4816782
2010,Tonnes per gross domestic product (£m),Biomass,102.6647033
2011,Tonnes per gross domestic product (£m),Biomass,103.0377132
2012,Tonnes per gross domestic product (£m),Biomass,99.4175549
2013,Tonnes per gross domestic product (£m),Biomass,99.16283572
2000,Tonnes per gross domestic product (£m),Metal ores,51.48091633
2001,Tonnes per gross domestic product (£m),Metal ores,68.78394769
2002,Tonnes per gross domestic product (£m),Metal ores,38.81721
2003,Tonnes per gross domestic product (£m),Metal ores,31.68578811
2004,Tonnes per gross domestic product (£m),Metal ores,25.91176162
2005,Tonnes per gross domestic product (£m),Metal ores,34.42979186
2006,Tonnes per gross domestic product (£m),Metal ores,17.54409072
2007,Tonnes per gross domestic product (£m),Metal ores,18.04032234
2008,Tonnes per gross domestic product (£m),Metal ores,7.051247406
2009,Tonnes per gross domestic product (£m),Metal ores,10.19536616
2010,Tonnes per gross domestic product (£m),Metal ores,16.39020299
2011,Tonnes per gross domestic product (£m),Metal ores,13.11950238
2012,Tonnes per gross domestic product (£m),Metal ores,19.04048292
2013,Tonnes per gross domestic product (£m),Metal ores,14.60194313
2000,Tonnes per gross domestic product (£m),Non-metal minerals,226.699648
2001,Tonnes per gross domestic product (£m),Non-metal minerals,226.7927023
2002,Tonnes per gross domestic product (£m),Non-metal minerals,211.8972141
2003,Tonnes per gross domestic product (£m),Non-metal minerals,202.4661347
2004,Tonnes per gross domestic product (£m),Non-metal minerals,203.9196555
2005,Tonnes per gross domestic product (£m),Non-metal minerals,191.6516469
2006,Tonnes per gross domestic product (£m),Non-metal minerals,186.6125129
2007,Tonnes per gross domestic product (£m),Non-metal minerals,188.2666393
2008,Tonnes per gross domestic product (£m),Non-metal minerals,165.6041526
2009,Tonnes per gross domestic product (£m),Non-metal minerals,138.6481377
2010,Tonnes per gross domestic product (£m),Non-metal minerals,134.2353046
2011,Tonnes per gross domestic product (£m),Non-metal minerals,132.1802923
2012,Tonnes per gross domestic product (£m),Non-metal minerals,121.9725099
2013,Tonnes per gross domestic product (£m),Non-metal minerals,122.0996308
2000,Tonnes per gross domestic product (£m),Fossil energy materials,188.3405163
2001,Tonnes per gross domestic product (£m),Fossil energy materials,194.2564611
2002,Tonnes per gross domestic product (£m),Fossil energy materials,177.1731531
2003,Tonnes per gross domestic product (£m),Fossil energy materials,173.1166438
2004,Tonnes per gross domestic product (£m),Fossil energy materials,174.3459342
2005,Tonnes per gross domestic product (£m),Fossil energy materials,169.252399
2006,Tonnes per gross domestic product (£m),Fossil energy materials,166.7359155
2007,Tonnes per gross domestic product (£m),Fossil energy materials,154.8164736
2008,Tonnes per gross domestic product (£m),Fossil energy materials,154.5012137
2009,Tonnes per gross domestic product (£m),Fossil energy materials,143.4989804
2010,Tonnes per gross domestic product (£m),Fossil energy materials,138.874496
2011,Tonnes per gross domestic product (£m),Fossil energy materials,132.7144739
2012,Tonnes per gross domestic product (£m),Fossil energy materials,136.2670788
2013,Tonnes per gross domestic product (£m),Fossil energy materials,143.0244262
