Year,GeoCode,Region,Local Authority,Deprivation Decile,Value
2010,E92000001,,,,5.6
2011,E92000001,,,,5.4
2012,E92000001,,,,5.1
2013,E92000001,,,,5.325149221
2014,E92000001,,,,5.141273623
2015,E92000001,,,,4.721398783
2013,E92000001,,,1. Most deprived,5.943771561
2013,E92000001,,,2. Second most deprived,5.789651222
2013,E92000001,,,3. Third most deprived,5.192285494
2013,E92000001,,,4. Fourth most deprived,5.185484335
2013,E92000001,,,5. Fifth most deprived,5.495265747
2013,E92000001,,,6. Fifth least deprived,5.471314943
2013,E92000001,,,7. Fourth least deprived,5.032616701
2013,E92000001,,,8. Third least deprived,5.501497192
2013,E92000001,,,9. Second least deprived,5.091352433
2013,E92000001,,,10. Least deprived,5.490158192
2013,E92000001,,,1. Most deprived,5.781138654
2013,E92000001,,,2. Second most deprived,5.22134669
2013,E92000001,,,3. Third most deprived,5.407883004
2013,E92000001,,,4. Fourth most deprived,5.194188465
2013,E92000001,,,5. Fifth most deprived,5.144915469
2013,E92000001,,,6. Fifth least deprived,5.270123591
2013,E92000001,,,7. Fourth least deprived,5.20542915
2013,E92000001,,,8. Third least deprived,5.073647166
2013,E92000001,,,9. Second least deprived,5.275355441
2013,E92000001,,,10. Least deprived,5.28103247
2014,E92000001,,,1. Most deprived,5.545664915
2014,E92000001,,,2. Second most deprived,5.496937525
2014,E92000001,,,3. Third most deprived,5.619163148
2014,E92000001,,,4. Fourth most deprived,5.094865506
2014,E92000001,,,5. Fifth most deprived,5.198436347
2014,E92000001,,,6. Fifth least deprived,5.187433125
2014,E92000001,,,7. Fourth least deprived,5.303970538
2014,E92000001,,,8. Third least deprived,5.115147699
2014,E92000001,,,9. Second least deprived,5.183452656
2014,E92000001,,,10. Least deprived,5.007480999
2014,E92000001,,,1. Most deprived,5.487271259
2014,E92000001,,,2. Second most deprived,5.353540909
2014,E92000001,,,3. Third most deprived,4.992449836
2014,E92000001,,,4. Fourth most deprived,5.014071669
2014,E92000001,,,5. Fifth most deprived,5.031360508
2014,E92000001,,,6. Fifth least deprived,5.175871183
2014,E92000001,,,7. Fourth least deprived,4.870215018
2014,E92000001,,,8. Third least deprived,4.966948183
2014,E92000001,,,9. Second least deprived,5.021308719
2014,E92000001,,,10. Least deprived,5.084892879
2015,E92000001,,,1. Most deprived,4.932636927
2015,E92000001,,,2. Second most deprived,4.918628753
2015,E92000001,,,3. Third most deprived,4.878618453
2015,E92000001,,,4. Fourth most deprived,4.527771233
2015,E92000001,,,5. Fifth most deprived,4.7009459
2015,E92000001,,,6. Fifth least deprived,4.736432349
2015,E92000001,,,7. Fourth least deprived,4.617631529
2015,E92000001,,,8. Third least deprived,4.716714528
2015,E92000001,,,9. Second least deprived,4.568584954
2015,E92000001,,,10. Least deprived,4.648777498
2015,E92000001,,,1. Most deprived,4.992414814
2015,E92000001,,,2. Second most deprived,4.702504977
2015,E92000001,,,3. Third most deprived,4.6683444
2015,E92000001,,,4. Fourth most deprived,4.812388016
2015,E92000001,,,5. Fifth most deprived,4.607166896
2015,E92000001,,,6. Fifth least deprived,4.696671
2015,E92000001,,,7. Fourth least deprived,4.710494366
2015,E92000001,,,8. Third least deprived,4.569696016
2015,E92000001,,,9. Second least deprived,4.634965547
2015,E92000001,,,10. Least deprived,4.598920879
