Year,Tourism sector,Tourism subsector (upper),Tourism subsector (middle),Tourism subsector (lower),Value
2009,,,,,3099.8
2009,Accommodation,,,,860.2
2009,Accommodation,Accommodation,,,379.7
2009,Accommodation,Accommodation,Hotels and similar accommodation,,311.8
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,,33.5
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,20.6
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.3
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,10.7
2009,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,26.5
2009,Accommodation,Accommodation,Other accommodation,,7.8
2009,Accommodation,Real estate activities,,,480.5
2009,Accommodation,Real estate activities,Buying and selling of own real estate,,8.6
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,247.8
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,93.6
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,8.9
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,145.3
2009,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,224.1
2009,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,133.9
2009,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,90.2
2009,food and beverage serving activities,,,,1302.6
2009,food and beverage serving activities,Restaurants and mobile food service activities,,,721
2009,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,361.9
2009,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,201.8
2009,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,157.3
2009,food and beverage serving activities,Other food services activities,,,18
2009,food and beverage serving activities,Beverage serving activities,,,563.6
2009,food and beverage serving activities,Beverage serving activities,Licensed clubs,,118
2009,food and beverage serving activities,Beverage serving activities,Public houses and bars,,445.6
2009,Railway passenger transport,,,,58.2
2009,Railway passenger transport,Passenger rail transport; interurban,,,45.2
2009,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,13
2009,Road passenger transport,,,,223.9
2009,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,121.2
2009,Road passenger transport,Taxi operation,,,37.6
2009,Road passenger transport,Other passenger land transport,,,65.1
2009,Water passenger transport,,,,8.9
2009,Water passenger transport,Sea and coastal passenger water transport,,,7.9
2009,Water passenger transport,Inland passenger water transport,,,1
2009,Air passenger transport,,,,72.3
2009,Air passenger transport,Scheduled passenger air transport,,,60.1
2009,Air passenger transport,Non-scheduled passenger air transport,,,12.2
2009,Renting and leasing of motor vehicles,,,,44
2009,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,35.6
2009,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,8.4
2009,Travel agencies and other reservation service activities,,,,78.1
2009,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,77.7
2009,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,53.4
2009,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,24.2
2009,Travel agencies and other reservation service activities,Activities of tourist guides,,,0.4
2009,Cultural activities,,,,144.8
2009,Cultural activities,Creative; arts and entertainment activities,,,88.5
2009,Cultural activities,Creative; arts and entertainment activities,Performing arts,,40.9
2009,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,2.9
2009,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,31.2
2009,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,13.4
2009,Cultural activities,Museums activities,,,26.7
2009,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,11.1
2009,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,18.5
2009,Sport and recreational activities,,,,306.8
2009,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,4.1
2009,Sport and recreational activities,Gambling and betting activities,,,84.1
2009,Sport and recreational activities,Operation of sports facilities,,,145.3
2009,Sport and recreational activities,Activities of racehorse owners,,,2
2009,Sport and recreational activities,Other sports activities,,,20.8
2009,Sport and recreational activities,Amusement and recreation activities,,,50.5
2009,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,14.3
2009,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,36.2
2010,,,,,3034.3
2010,Accommodation,,,,826.9
2010,Accommodation,Accommodation,,,381.1
2010,Accommodation,Accommodation,Hotels and similar accommodation,,312.7
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,,34.9
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,22.7
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.3
2010,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,10
2010,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,27
2010,Accommodation,Accommodation,Other accommodation,,6.4
2010,Accommodation,Real estate activities,,,445.8
2010,Accommodation,Real estate activities,Buying and selling of own real estate,,6.3
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,215.6
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,84.4
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,7.9
2010,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,123.3
2010,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,223.8
2010,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,134.3
2010,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,89.6
2010,food and beverage serving activities,,,,1247.7
2010,food and beverage serving activities,Restaurants and mobile food service activities,,,691.6
2010,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,344.4
2010,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,199.6
2010,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,147.6
2010,food and beverage serving activities,Other food services activities,,,22.3
2010,food and beverage serving activities,Beverage serving activities,,,533.8
2010,food and beverage serving activities,Beverage serving activities,Licensed clubs,,110.6
2010,food and beverage serving activities,Beverage serving activities,Public houses and bars,,423.1
2010,Railway passenger transport,,,,59.8
2010,Railway passenger transport,Passenger rail transport; interurban,,,45.5
2010,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,14.3
2010,Road passenger transport,,,,223.4
2010,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,117.7
2010,Road passenger transport,Taxi operation,,,38.7
2010,Road passenger transport,Other passenger land transport,,,67
2010,Water passenger transport,,,,9.1
2010,Water passenger transport,Sea and coastal passenger water transport,,,7.9
2010,Water passenger transport,Inland passenger water transport,,,1.2
2010,Air passenger transport,,,,67.2
2010,Air passenger transport,Scheduled passenger air transport,,,55.1
2010,Air passenger transport,Non-scheduled passenger air transport,,,12.1
2010,Renting and leasing of motor vehicles,,,,35.6
2010,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,29.4
2010,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,6.2
2010,Travel agencies and other reservation service activities,,,,83
2010,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,82.5
2010,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,58.1
2010,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,24.4
2010,Travel agencies and other reservation service activities,Activities of tourist guides,,,0.5
2010,Cultural activities,,,,148.9
2010,Cultural activities,Creative; arts and entertainment activities,,,89
2010,Cultural activities,Creative; arts and entertainment activities,Performing arts,,41.5
2010,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,3.6
2010,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,30.5
2010,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,13.4
2010,Cultural activities,Museums activities,,,28.4
2010,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,11.8
2010,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,19.7
2010,Sport and recreational activities,,,,332.7
2010,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,5.3
2010,Sport and recreational activities,Gambling and betting activities,,,100.2
2010,Sport and recreational activities,Operation of sports facilities,,,141.5
2010,Sport and recreational activities,Activities of racehorse owners,,,2
2010,Sport and recreational activities,Other sports activities,,,23.6
2010,Sport and recreational activities,Amusement and recreation activities,,,60.1
2010,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,14.6
2010,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,45.6
2011,,,,,3094.2
2011,Accommodation,,,,879.9
2011,Accommodation,Accommodation,,,420.5
2011,Accommodation,Accommodation,Hotels and similar accommodation,,349.5
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,,35.8
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,21.9
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.3
2011,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,11.6
2011,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,28.7
2011,Accommodation,Accommodation,Other accommodation,,6.6
