Year,Units,Employment status,Industry,Sex,Age group,Value
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,1.1
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.9
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.8
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.8
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.8
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.7
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.8
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.8
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.6
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.6
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.6
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,0.58
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,704.5
2013,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,182.45
2014,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,345.46
2015,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,488.47
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,,263.43
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,10.2
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1.2
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,6
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.9
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,4.7
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.2
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,6.5
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,2.4
