Year,Units,Country,Region,GeoCode,Value
2006/07,Male percentage (%),,,,82.888776007381
2007/08,Male percentage (%),,,,83.0683582764041
2008/09,Male percentage (%),,,,83.4413091716884
2009/10,Male percentage (%),,,,84.8068828580668
2010/11,Male percentage (%),,,,86.0594510503128
2011/12,Male percentage (%),,,,87.0306434381821
2012/13,Male percentage (%),,,,84.7609162704954
2006/07,Female percentage (%),,,,56.0446589440884
Geographical coverage,,,,,
2007/08,Female percentage (%),,,,56.3303028138662
2008/09,Female percentage (%),,,,57.3702003960926
2009/10,Female percentage (%),,,,61.0407597658368
2010/11,Female percentage (%),,,,63.5222279636069
2011/12,Female percentage (%),,,,64.5796639703205
2012/13,Female percentage (%),,,,56.7539349944713
2013/14,Male percentage (%),England,North East,E12000001,85.19
2013/14,Male percentage (%),England,North West,E12000002,85.78
2013/14,Male percentage (%),England,Yorkshire and The Humber,E12000003,87.42
2013/14,Male percentage (%),England,East Midlands,E12000004,85.8
2013/14,Male percentage (%),England,West Midlands,E12000005,77.23
2013/14,Male percentage (%),England,East,E12000007,87.78
2013/14,Male percentage (%),England,London,E12000007,76.09
2013/14,Male percentage (%),England,South East,E12000008,89.32
2013/14,Male percentage (%),England,South West,E12000009,91.23
2013/14,Male percentage (%),England,,E92000001,84.75
2013/14,Male percentage (%),Wales,,W92000004,91.1
2013/14,Male percentage (%),,,,85.08
2013/14,Female percentage (%),England,North East,E12000001,54.89
2013/14,Female percentage (%),England,North West,E12000002,59.15
2013/14,Female percentage (%),England,Yorkshire and The Humber,E12000003,56.5
2013/14,Female percentage (%),England,East Midlands,E12000004,57.08
2013/14,Female percentage (%),England,West Midlands,E12000005,52.6
2013/14,Female percentage (%),England,East,E12000007,57.23
2013/14,Female percentage (%),England,London,E12000007,54.96
2013/14,Female percentage (%),England,South East,E12000008,60.98
2013/14,Female percentage (%),England,South West,E12000009,66.1
2013/14,Female percentage (%),England,,E92000001,58.02
2013/14,Female percentage (%),Wales,,W92000004,56.88
2013/14,Female percentage (%),,,,57.95
2014/15,Male percentage (%),England,North East,E12000001,82.0
2014/15,Male percentage (%),England,North West,E12000002,84.7
2014/15,Male percentage (%),England,Yorkshire and The Humber,E12000003,83.7
2014/15,Male percentage (%),England,East Midlands,E12000004,84.8
2014/15,Male percentage (%),England,West Midlands,E12000005,81.3
2014/15,Male percentage (%),England,East,E12000007,88.2
2014/15,Male percentage (%),England,London,E12000007,83.1
2014/15,Male percentage (%),England,South East,E12000008,88.1
2014/15,Male percentage (%),England,South West,E12000009,91.0
2014/15,Male percentage (%),England,,E92000001,85.5
2014/15,Male percentage (%),Wales,,W92000004,90.1
2014/15,Male percentage (%),,,,85.8
2014/15,Female percentage (%),England,North East,E12000001,58.9
2014/15,Female percentage (%),England,North West,E12000002,62.2
2014/15,Female percentage (%),England,Yorkshire and The Humber,E12000003,63.0
2014/15,Female percentage (%),England,East Midlands,E12000004,59.0
2014/15,Female percentage (%),England,West Midlands,E12000005,57.7
2014/15,Female percentage (%),England,East,E12000007,58.1
2014/15,Female percentage (%),England,London,E12000007,60.9
2014/15,Female percentage (%),England,South East,E12000008,63.1
2014/15,Female percentage (%),England,South West,E12000009,69.4
2014/15,Female percentage (%),England,,E92000001,61.6
2014/15,Female percentage (%),Wales,,W92000004,64.2
2014/15,Female percentage (%),,,,61.7
2015/16,Male percentage (%),England,North East,E12000001,86.7
2015/16,Male percentage (%),England,North West,E12000002,86.3
2015/16,Male percentage (%),England,Yorkshire and The Humber,E12000003,85.5
2015/16,Male percentage (%),England,East Midlands,E12000004,89.7
2015/16,Male percentage (%),England,West Midlands,E12000005,83.8
2015/16,Male percentage (%),England,East,E12000007,87.8
2015/16,Male percentage (%),England,London,E12000007,87.0
2015/16,Male percentage (%),England,South East,E12000008,88.9
2015/16,Male percentage (%),England,South West,E12000009,94.5
2015/16,Male percentage (%),England,,E92000001,87.7
2015/16,Male percentage (%),Wales,,W92000004,91.0
2015/16,Male percentage (%),,,,87.9
2015/16,Female percentage (%),England,North East,E12000001,60.1
2015/16,Female percentage (%),England,North West,E12000002,58.8
2015/16,Female percentage (%),England,Yorkshire and The Humber,E12000003,62.6
2015/16,Female percentage (%),England,East Midlands,E12000004,63.7
2015/16,Female percentage (%),England,West Midlands,E12000005,54.0
2015/16,Female percentage (%),England,East,E12000007,61.3
2015/16,Female percentage (%),England,London,E12000007,62.6
2015/16,Female percentage (%),England,South East,E12000008,62.4
2015/16,Female percentage (%),England,South West,E12000009,66.7
2015/16,Female percentage (%),England,,E92000001,61.4
2015/16,Female percentage (%),Wales,,W92000004,66.7
2015/16,Female percentage (%),,,,61.7
