Year,Flow of offical development assistance,Aid subcategory description (DAC 5 code),Aid description (CRS code),Value
2015,,,,547970.3644
2015,,"Energy generation, distribution and efficiency – general (231)",,147851.9398
2015,,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),136098.6048
2015,,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),2716.81861
2015,,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),8559.367423
2015,,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),477.1489573
2015,,"Energy generation, renewable sources (232)",,284422.8002
2015,,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",65233.52656
2015,,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.88405
2015,,"Energy generation, renewable sources (232)",Solar energy (23230),171469.2528
2015,,"Energy generation, renewable sources (232)",Wind energy (23240),5774.362501
2015,,"Energy generation, renewable sources (232)",Marine energy (23250),0
2015,,"Energy generation, renewable sources (232)",Geothermal energy (23260),20780.65557
2015,,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1208.118761
2015,,"Energy generation, non-renewable sources (233)",,16396.29863
2015,,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",2733.749501
2015,,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),4.280117534
2015,,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.907294337
2015,,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7995.967465
2015,,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),1207.794094
2015,,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),4453.60016
2015,,Hybrid energy electric power plants (234),,0
2015,,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2015,,Nuclear energy electric power plants (235),,3621.606004
2015,,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.606004
2015,,"Heating, cooling and energy distribution (236)",,95677.71974
2015,,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2015,,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.783074332
2015,,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),95449.00477
2015,,"Heating, cooling and energy distribution (236)",Gas distribution (23640),225.9318918
2014,,,,569230.6278
