Year,Sex,Age,Unintentional poisoning category,Value
2015,,,,11.38456074
2015,,Under 1,,0
2015,,1 to 4,,0.68632225
2015,,5 to 9,,0.282704213
2015,,10 to 14,,0
2015,,15 to 19,,4.118519216
2015,,20 to 24,,8.406736844
2015,,25 to 29,,12.1426058
2015,,30 to 34,,19.18162002
2015,,35 to 39,,23.61603837
2015,,40 to 44,,27.44139563
2015,,45 to 49,,22.42010947
2015,,50 to 54,,15.13400917
2015,,55 to 59,,8.919587616
2015,,60 to 64,,9.709859683
2015,,65 to 69,,6.847564804
2015,,70 to 74,,5.374052668
2015,,75 to 79,,7.813847075
2015,,80 to 84,,9.927430483
2015,,85 to 89,,17.23028855
2015,,90 and over,,5.952026665
2015,Male,,,15.51400363
2015,Male,Under 1,,0
2015,Male,1 to 4,,0.669754234
2015,Male,5 to 9,,0.552162517
2015,Male,10 to 14,,0
2015,Male,15 to 19,,4.008335046
2015,Male,20 to 24,,12.35154345
2015,Male,25 to 29,,16.10712851
2015,Male,30 to 34,,29.76503583
2015,Male,35 to 39,,32.50099569
2015,Male,40 to 44,,36.87678885
2015,Male,45 to 49,,32.5692071
2015,Male,50 to 54,,23.60608575
2015,Male,55 to 59,,9.312872951
2015,Male,60 to 64,,9.914418737
2015,Male,65 to 69,,7.689616327
2015,Male,70 to 74,,6.067840187
2015,Male,75 to 79,,10.17511371
2015,Male,80 to 84,,16.45172488
2015,Male,85 to 89,,27.15423606
2015,Male,90 and over,,0
2015,Female,,,7.364331121
2015,Female,Under 1,,0
2015,Female,1 to 4,,0.703730758
2015,Female,5 to 9,,0
2015,Female,10 to 14,,0
2015,Female,15 to 19,,4.234932262
2015,Female,20 to 24,,4.293241258
2015,Female,25 to 29,,8.137006853
2015,Female,30 to 34,,8.667287312
2015,Female,35 to 39,,14.78428091
2015,Female,40 to 44,,18.15236891
2015,Female,45 to 49,,12.51802475
2015,Female,50 to 54,,6.863939558
2015,Female,55 to 59,,8.535117742
2015,Female,60 to 64,,9.513571109
2015,Female,65 to 69,,6.052261276
2015,Female,70 to 74,,4.741553712
2015,Female,75 to 79,,5.796216616
2015,Female,80 to 84,,4.985075929
2015,Female,85 to 89,,11.12924766
2015,Female,90 and over,,8.441193022
2015,,,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",1.140183624
2015,,Under 1,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0
2015,,1 to 4,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0
2015,,5 to 9,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0
2015,,10 to 14,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0
2015,,15 to 19,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0.588359888
2015,,20 to 24,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0.262710526
2015,,25 to 29,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0.758912862
2015,,30 to 34,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0.511509867
2015,,35 to 39,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0.823815292
2015,,40 to 44,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",1.0453865
2015,,45 to 49,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",2.436968421
2015,,50 to 54,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",2.232886599
2015,,55 to 59,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",2.301829062
2015,,60 to 64,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",2.589295915
2015,,65 to 69,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",1.867517674
2015,,70 to 74,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",1.653554667
2015,,75 to 79,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",1.562769415
2015,,80 to 84,"Exposure to nonopioid analgesics, antipyretics and antirheumatics",0.709102177
