Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2010,,,,,,,,Administrative costs not included elsewhere (G01),237810.9332
2010,,,,,,,,Basket funds/pooled funding (B04),112567.9226
2010,,,,,,,,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO) (B03)",1597267.533
2010,,,,,,,,Core contributions to multilateral institutions (B02),3339146.532
2010,,,,,,,,"Core support to NGOs, other private bodies, PPPs and research institutes (B01)",263404.6311
2010,,,,,,,,Debt relief (F01),104923.5595
2010,,,,,,,,Development awareness (H01),23991.61276
2010,,,,,,,,Donor country personnel (D01),10474.48083
2010,,,,,,,,General budget support (A01),420637.1646
2010,,,,,,,,Imputed student costs (E02),0
2010,,,,,,,,Other technical assistance (D02),295139.0061
2010,,,,,,,,Project-type interventions (C01),1889328.807
2010,,,,,,,,Refugees in donor countries (H02),11700
2010,,,,,,,,Scholarships/training in donor country (E01),12554.13743
2010,,,,,,,,Sector budget support (A02),209834.723
2011,,,,,,,,Administrative costs not included elsewhere (G01),286165.8137
2011,,,,,,,,Basket funds/pooled funding (B04),70927.28008
2011,,,,,,,,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO) (B03)",1472371.101
2011,,,,,,,,Core contributions to multilateral institutions (B02),3368791.001
2011,,,,,,,,"Core support to NGOs, other private bodies, PPPs and research institutes (B01)",358189.4396
2011,,,,,,,,Debt relief (F01),113280.6615
2011,,,,,,,,Development awareness (H01),16374.44134
2011,,,,,,,,Donor country personnel (D01),9934.074194
2011,,,,,,,,General budget support (A01),278752.1947
2011,,,,,,,,Imputed student costs (E02),0
2011,,,,,,,,Other technical assistance (D02),313557.2303
2011,,,,,,,,Project-type interventions (C01),2037653.613
2011,,,,,,,,Refugees in donor countries (H02),19527.1404
2011,,,,,,,,Scholarships/training in donor country (E01),8557.199422
2011,,,,,,,,Sector budget support (A02),274541.8973
2012,,,,,,,,Administrative costs not included elsewhere (G01),333310.9036
2012,,,,,,,,Basket funds/pooled funding (B04),211418.6312
2012,,,,,,,,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO) (B03)",1411920.563
2012,,,,,,,,Core contributions to multilateral institutions (B02),3242212.195
2012,,,,,,,,"Core support to NGOs, other private bodies, PPPs and research institutes (B01)",355567.8117
2012,,,,,,,,Debt relief (F01),70957.63781
2012,,,,,,,,Development awareness (H01),12005.97792
2012,,,,,,,,Donor country personnel (D01),12345.42605
2012,,,,,,,,General budget support (A01),220033
2012,,,,,,,,Imputed student costs (E02),0
2012,,,,,,,,Other technical assistance (D02),320022.6983
2012,,,,,,,,Project-type interventions (C01),2348017.978
2012,,,,,,,,Refugees in donor countries (H02),28369.752
2012,,,,,,,,Scholarships/training in donor country (E01),21928.57705
2012,,,,,,,,Sector budget support (A02),213807.896
2013,,,,,,,,Administrative costs not included elsewhere (G01),231125.1286
2013,,,,,,,,Basket funds/pooled funding (B04),149927.1645
2013,,,,,,,,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO) (B03)",1828410.191
2013,,,,,,,,Core contributions to multilateral institutions (B02),4685995.492
2013,,,,,,,,"Core support to NGOs, other private bodies, PPPs and research institutes (B01)",407498.918
2013,,,,,,,,Debt relief (F01),41363.76458
2013,,,,,,,,Development awareness (H01),5621.69267
2013,,,,,,,,Donor country personnel (D01),15162.4454
2013,,,,,,,,General budget support (A01),133262
2013,,,,,,,,Imputed student costs (E02),0
2013,,,,,,,,Other technical assistance (D02),342395.005
2013,,,,,,,,Project-type interventions (C01),3061387.275
2013,,,,,,,,Refugees in donor countries (H02),32324.84
2013,,,,,,,,Scholarships/training in donor country (E01),16571.75442
2013,,,,,,,,Sector budget support (A02),455814.7784
2014,,,,,,,,Administrative costs not included elsewhere (G01),374764.4372
2014,,,,,,,,Basket funds/pooled funding (B04),21309.59145
2014,,,,,,,,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO) (B03)",1775692.254
2014,,,,,,,,Core contributions to multilateral institutions (B02),4877981.307
2014,,,,,,,,"Core support to NGOs, other private bodies, PPPs and research institutes (B01)",433397.3268
2014,,,,,,,,Debt relief (F01),3232.483278
2014,,,,,,,,Development awareness (H01),2298.73434
2014,,,,,,,,Donor country personnel (D01),17716.33401
2014,,,,,,,,General budget support (A01),52635.294
2014,,,,,,,,Imputed student costs (E02),0
2014,,,,,,,,Other technical assistance (D02),355821.5701
2014,,,,,,,,Project-type interventions (C01),3218764.791
2014,,,,,,,,Refugees in donor countries (H02),134791.202
2014,,,,,,,,Scholarships/training in donor country (E01),17590.2991
2014,,,,,,,,Sector budget support (A02),414476.3618
2015,,,,,,,,Administrative costs not included elsewhere (G01),403128.8826
2015,,,,,,,,Basket funds/pooled funding (B04),118695.4499
2015,,,,,,,,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO) (B03)",1610839.417
