Year,Units,Domestic consumption category,Value
2000,Tonnes per capita,,12.54356291
2001,Tonnes per capita,,12.57532522
2002,Tonnes per capita,,12.16273538
2003,Tonnes per capita,,12.12291089
2004,Tonnes per capita,,12.54444674
2005,Tonnes per capita,,12.12691742
2006,Tonnes per capita,,11.90200749
2007,Tonnes per capita,,11.72258073
2008,Tonnes per capita,,10.91887105
2009,Tonnes per capita,,9.52343942
2010,Tonnes per capita,,9.192942901
2011,Tonnes per capita,,9.198323144
2012,Tonnes per capita,,8.844401538
2013,Tonnes per capita,,8.894198176
2014,Tonnes per capita,,9.155023159
2015,Tonnes per capita,,8.850832437
2000,Tonnes per capita,Biomass,3.008888345
2001,Tonnes per capita,Biomass,2.888048314
2002,Tonnes per capita,Biomass,2.979528583
2003,Tonnes per capita,Biomass,2.888853676
2004,Tonnes per capita,Biomass,2.937561718
2005,Tonnes per capita,Biomass,2.882360341
2006,Tonnes per capita,Biomass,2.789559259
2007,Tonnes per capita,Biomass,2.668992206
2008,Tonnes per capita,Biomass,2.768044022
2009,Tonnes per capita,Biomass,2.659779475
2010,Tonnes per capita,Biomass,2.592780376
2011,Tonnes per capita,Biomass,2.637799419
2012,Tonnes per capita,Biomass,2.526933522
2013,Tonnes per capita,Biomass,2.684110773
2014,Tonnes per capita,Biomass,2.835425284
2015,Tonnes per capita,Biomass,2.660704961
2000,Tonnes per capita,Metal ores,0.291260586
2001,Tonnes per capita,Metal ores,0.347226498
2002,Tonnes per capita,Metal ores,0.321064184
2003,Tonnes per capita,Metal ores,0.294603826
2004,Tonnes per capita,Metal ores,0.325956124
2005,Tonnes per capita,Metal ores,0.288840371
2006,Tonnes per capita,Metal ores,0.300816577
2007,Tonnes per capita,Metal ores,0.338338299
2008,Tonnes per capita,Metal ores,0.252588809
2009,Tonnes per capita,Metal ores,0.101679235
2010,Tonnes per capita,Metal ores,0.152721102
2011,Tonnes per capita,Metal ores,0.143801622
2012,Tonnes per capita,Metal ores,0.156712974
2013,Tonnes per capita,Metal ores,0.200294202
2014,Tonnes per capita,Metal ores,0.233683402
2015,Tonnes per capita,Metal ores,0.212222393
2000,Tonnes per capita,Non-metal minerals,5.11667779
2001,Tonnes per capita,Non-metal minerals,5.196237714
2002,Tonnes per capita,Non-metal minerals,4.925296931
2003,Tonnes per capita,Non-metal minerals,4.804601864
2004,Tonnes per capita,Non-metal minerals,4.985506352
2005,Tonnes per capita,Non-metal minerals,4.761552506
2006,Tonnes per capita,Non-metal minerals,4.728295447
2007,Tonnes per capita,Non-metal minerals,4.77165353
2008,Tonnes per capita,Non-metal minerals,4.193373749
2009,Tonnes per capita,Non-metal minerals,3.347117354
2010,Tonnes per capita,Non-metal minerals,3.28747361
2011,Tonnes per capita,Non-metal minerals,3.308979523
2012,Tonnes per capita,Non-metal minerals,3.048297622
2013,Tonnes per capita,Non-metal minerals,3.094947875
2014,Tonnes per capita,Non-metal minerals,3.376853033
2015,Tonnes per capita,Non-metal minerals,3.538855783
2000,Tonnes per capita,Fossil energy materials,4.126736191
2001,Tonnes per capita,Fossil energy materials,4.143812698
2002,Tonnes per capita,Fossil energy materials,3.936845687
2003,Tonnes per capita,Fossil energy materials,4.134851526
2004,Tonnes per capita,Fossil energy materials,4.295422549
2005,Tonnes per capita,Fossil energy materials,4.194164199
2006,Tonnes per capita,Fossil energy materials,4.08333621
2007,Tonnes per capita,Fossil energy materials,3.943596693
2008,Tonnes per capita,Fossil energy materials,3.70486447
2009,Tonnes per capita,Fossil energy materials,3.414863356
2010,Tonnes per capita,Fossil energy materials,3.159967814
2011,Tonnes per capita,Fossil energy materials,3.107742581
2012,Tonnes per capita,Fossil energy materials,3.112457421
2013,Tonnes per capita,Fossil energy materials,2.914845326
2014,Tonnes per capita,Fossil energy materials,2.70906144
2015,Tonnes per capita,Fossil energy materials,2.439049301
2000,Tonnes per gross domestic product (£m),,520.8390919
2001,Tonnes per gross domestic product (£m),,510.2596927
2002,Tonnes per gross domestic product (£m),,484.0247868
2003,Tonnes per gross domestic product (£m),,468.4064717
2004,Tonnes per gross domestic product (£m),,475.2298599
2005,Tonnes per gross domestic product (£m),,449.5971511
2006,Tonnes per gross domestic product (£m),,433.4323172
2007,Tonnes per gross domestic product (£m),,419.6262572
2008,Tonnes per gross domestic product (£m),,396.560615
2009,Tonnes per gross domestic product (£m),,364.0797552
2010,Tonnes per gross domestic product (£m),,347.604671
2011,Tonnes per gross domestic product (£m),,345.5068197
2012,Tonnes per gross domestic product (£m),,330.0830374
2013,Tonnes per gross domestic product (£m),,327.7655365
2014,Tonnes per gross domestic product (£m),,329.8344205
2015,Tonnes per gross domestic product (£m),,314.5074709
2000,Tonnes per gross domestic product (£m),Biomass,124.9363267
2001,Tonnes per gross domestic product (£m),Biomass,117.1862055
2002,Tonnes per gross domestic product (£m),Biomass,118.5724791
2003,Tonnes per gross domestic product (£m),Biomass,111.6198716
2004,Tonnes per gross domestic product (£m),Biomass,111.2856607
2005,Tonnes per gross domestic product (£m),Biomass,106.861534
2006,Tonnes per gross domestic product (£m),Biomass,101.5866554
2007,Tonnes per gross domestic product (£m),Biomass,95.54032817
2008,Tonnes per gross domestic product (£m),Biomass,100.5321186
2009,Tonnes per gross domestic product (£m),Biomass,101.6829968
2010,Tonnes per gross domestic product (£m),Biomass,98.03852577
2011,Tonnes per gross domestic product (£m),Biomass,99.08085137
2012,Tonnes per gross domestic product (£m),Biomass,94.30800812
2013,Tonnes per gross domestic product (£m),Biomass,98.91380766
2014,Tonnes per gross domestic product (£m),Biomass,102.1538492
2015,Tonnes per gross domestic product (£m),Biomass,94.54608862
2000,Tonnes per gross domestic product (£m),Metal ores,12.09384449
2001,Tonnes per gross domestic product (£m),Metal ores,14.08915342
2002,Tonnes per gross domestic product (£m),Metal ores,12.77697969
2003,Tonnes per gross domestic product (£m),Metal ores,11.38293764
2004,Tonnes per gross domestic product (£m),Metal ores,12.34841888
2005,Tonnes per gross domestic product (£m),Metal ores,10.70855878
2006,Tonnes per gross domestic product (£m),Metal ores,10.95475919
2007,Tonnes per gross domestic product (£m),Metal ores,12.11129506
2008,Tonnes per gross domestic product (£m),Metal ores,9.173729859
2009,Tonnes per gross domestic product (£m),Metal ores,3.887182907
2010,Tonnes per gross domestic product (£m),Metal ores,5.774708815
2011,Tonnes per gross domestic product (£m),Metal ores,5.401467219
2012,Tonnes per gross domestic product (£m),Metal ores,5.848704877
2013,Tonnes per gross domestic product (£m),Metal ores,7.38116412
2014,Tonnes per gross domestic product (£m),Metal ores,8.419075325
2015,Tonnes per gross domestic product (£m),Metal ores,7.541158249
2000,Tonnes per gross domestic product (£m),Non-metal minerals,212.456846
2001,Tonnes per gross domestic product (£m),Non-metal minerals,210.8439036
2002,Tonnes per gross domestic product (£m),Non-metal minerals,196.0057275
2003,Tonnes per gross domestic product (£m),Non-metal minerals,185.6407778
2004,Tonnes per gross domestic product (£m),Non-metal minerals,188.8693486
2005,Tonnes per gross domestic product (£m),Non-metal minerals,176.5312954
2006,Tonnes per gross domestic product (£m),Non-metal minerals,172.1891079
2007,Tonnes per gross domestic product (£m),Non-metal minerals,170.8080463
2008,Tonnes per gross domestic product (£m),Non-metal minerals,152.2984258
2009,Tonnes per gross domestic product (£m),Non-metal minerals,127.9598277
2010,Tonnes per gross domestic product (£m),Non-metal minerals,124.3063505
2011,Tonnes per gross domestic product (£m),Non-metal minerals,124.2916751
2012,Tonnes per gross domestic product (£m),Non-metal minerals,113.7659042
2013,Tonnes per gross domestic product (£m),Non-metal minerals,114.053817
2014,Tonnes per gross domestic product (£m),Non-metal minerals,121.6602453
2015,Tonnes per gross domestic product (£m),Non-metal minerals,125.7504975
2000,Tonnes per gross domestic product (£m),Fossil energy materials,171.3520748
2001,Tonnes per gross domestic product (£m),Fossil energy materials,168.1404303
2002,Tonnes per gross domestic product (£m),Fossil energy materials,156.6696006
2003,Tonnes per gross domestic product (£m),Fossil energy materials,159.7628846
2004,Tonnes per gross domestic product (£m),Fossil energy materials,162.7264317
2005,Tonnes per gross domestic product (£m),Fossil energy materials,155.4957629
2006,Tonnes per gross domestic product (£m),Fossil energy materials,148.7017948
2007,Tonnes per gross domestic product (£m),Fossil energy materials,141.1665877
2008,Tonnes per gross domestic product (£m),Fossil energy materials,134.5563407
2009,Tonnes per gross domestic product (£m),Fossil energy materials,130.5497478
2010,Tonnes per gross domestic product (£m),Fossil energy materials,119.4850859
2011,Tonnes per gross domestic product (£m),Fossil energy materials,116.7328261
2012,Tonnes per gross domestic product (£m),Fossil energy materials,116.1604202
2013,Tonnes per gross domestic product (£m),Fossil energy materials,107.4167478
2014,Tonnes per gross domestic product (£m),Fossil energy materials,97.60125066
2015,Tonnes per gross domestic product (£m),Fossil energy materials,86.66972654
