Year,Sex,Abuse type,Sexual assult type,Value
2016,,,,15.97586453
2016,,Sexual assault,,3.88584624
2016,,Sexual assault,Sexual assault by rape or penetration (including attempts),1.4367751
2016,,Sexual assault,Other sexual assault,3.69012789
2016,Male,,,11.75785728
2016,Male,Sexual assault,,1.23445173
2016,Male,Sexual assault,Sexual assault by rape or penetration (including attempts),0.48569104
2016,Male,Sexual assault,Other sexual assault,1.12624728
2016,Female,,,20.37083573
2016,Female,Sexual assault,,6.64054995
2016,Female,Sexual assault,Sexual assault by rape or penetration (including attempts),2.42058424
2016,Female,Sexual assault,Other sexual assault,6.35016776
