year,avg_hrs_per_day_hsehold_act_15_over_men,avg_hrs_per_day_hsehold_act_15_over_women,avg_hrs_per_day_hsehold_act_15_24_yrs_men,avg_hrs_per_day_hsehold_act_15_24_yrs_women,avg_hrs_per_day_hsehold_act_25_34_yrs_men,avg_hrs_per_day_hsehold_act_25_34_yrs_women,avg_hrs_per_day_hsehold_act_25_54_yrs_men,avg_hrs_per_day_hsehold_act_25_54_yrs_women,avg_hrs_per_day_hsehold_act_35_44_yrs_men,avg_hrs_per_day_hsehold_act_35_44_yrs_women,avg_hrs_per_day_hsehold_act_45_54_yrs_men,avg_hrs_per_day_hsehold_act_45_54_yrs_women,avg_hrs_per_day_hsehold_act_55_64_yrs_men,avg_hrs_per_day_hsehold_act_55_64_yrs_women,avg_hrs_per_day_hsehold_act_65_over_men,avg_hrs_per_day_hsehold_act_65_over_women,avg_hrs_per_day_care_help_hsehold_members_15_over_men,avg_hrs_per_day_care_help_hsehold_members_15_over_women,avg_hrs_per_day_care_help_hsehold_members_15_24_yrs_men,avg_hrs_per_day_care_help_hsehold_members_15_24_yrs_women,avg_hrs_per_day_care_help_hsehold_members_25_34_yrs_men,avg_hrs_per_day_care_help_hsehold_members_25_34_yrs_women,avg_hrs_per_day_care_help_hsehold_members_25_54_yrs_men,avg_hrs_per_day_care_help_hsehold_members_25_54_yrs_women,avg_hrs_per_day_care_help_hsehold_members_35_44_yrs_men,avg_hrs_per_day_care_help_hsehold_members_35_44_yrs_women,avg_hrs_per_day_care_help_hsehold_members_45_54_yrs_men,avg_hrs_per_day_care_help_hsehold_members_45_54_yrs_women,avg_hrs_per_day_care_help_hsehold_members_55_64_yrs_men,avg_hrs_per_day_care_help_hsehold_members_55_64_yrs_women,avg_hrs_per_day_care_help_hsehold_members_65_over_men,avg_hrs_per_day_care_help_hsehold_members_65_over_women,avg_hrs_per_day_care_help_nonhsehold_members_15_over_men,avg_hrs_per_day_care_help_nonhsehold_members_15_over_women,avg_hrs_per_day_care_help_nonhsehold_members_15_24_yrs_men,avg_hrs_per_day_care_help_nonhsehold_members_15_24_yrs_women,avg_hrs_per_day_care_help_nonhsehold_members_25_34_yrs_men,avg_hrs_per_day_care_help_nonhsehold_members_25_34_yrs_women,avg_hrs_per_day_care_help_nonhsehold_members_25_54_yrs_men,avg_hrs_per_day_care_help_nonhsehold_members_25_54_yrs_women,avg_hrs_per_day_care_help_nonhsehold_members_35_44_yrs_men,avg_hrs_per_day_care_help_nonhsehold_members_35_44_yrs_women,avg_hrs_per_day_care_help_nonhsehold_members_45_54_yrs_men,avg_hrs_per_day_care_help_nonhsehold_members_45_54_yrs_women,avg_hrs_per_day_care_help_nonhsehold_members_55_64_yrs_men,avg_hrs_per_day_care_help_nonhsehold_members_55_64_yrs_women,avg_hrs_per_day_care_help_nonhsehold_members_65_over_men,avg_hrs_per_day_care_help_nonhsehold_members_65_over_women,avg_hrs_per_day_volunteering_15_over_men,avg_hrs_per_day_volunteering_15_over_women,avg_hrs_per_day_volunteering_15_24_yrs_men,avg_hrs_per_day_volunteering_15_24_yrs_women,avg_hrs_per_day_volunteering_25_34_yrs_men,avg_hrs_per_day_volunteering_25_34_yrs_women,avg_hrs_per_day_volunteering_25_54_yrs_men,avg_hrs_per_day_volunteering_25_54_yrs_women,avg_hrs_per_day_volunteering_35_44_yrs_men,avg_hrs_per_day_volunteering_35_44_yrs_women,avg_hrs_per_day_volunteering_45_54_yrs_men,avg_hrs_per_day_volunteering_45_54_yrs_women,avg_hrs_per_day_volunteering_55_64_yrs_men,avg_hrs_per_day_volunteering_55_64_yrs_women,avg_hrs_per_day_volunteering_65_over_men,avg_hrs_per_day_volunteering_65_over_women
2003,1.33,2.29,0.65,1.02,1.12,2.08,1.33,2.38,1.39,2.57,1.47,2.47,1.77,2.66,1.89,3.03,0.35,0.75,0.10,0.47,0.60,1.63,0.53,1.17,0.70,1.41,0.29,0.48,0.09,0.20,0.15,0.11,0.25,0.31,0.33,0.27,0.24,0.21,0.21,0.27,0.16,0.21,0.23,0.38,0.28,0.52,0.30,0.31,0.13,0.15,0.13,0.09,0.07,0.09,0.12,0.15,0.14,0.17,0.14,0.19,0.13,0.16,0.20,0.18
2004,1.33,2.26,0.62,1.10,1.02,2.03,1.32,2.34,1.33,2.47,1.59,2.49,1.69,2.66,2.00,2.88,0.36,0.76,0.13,0.53,0.53,1.74,0.54,1.17,0.76,1.32,0.33,0.48,0.14,0.21,0.13,0.10,0.25,0.30,0.23,0.26,0.24,0.25,0.24,0.27,0.25,0.19,0.23,0.36,0.28,0.49,0.29,0.28,0.12,0.17,0.10,0.15,0.08,0.08,0.12,0.16,0.12,0.17,0.14,0.23,0.15,0.17,0.16,0.21
2005,1.35,2.27,0.75,1.13,1.08,2.02,1.34,2.37,1.35,2.45,1.58,2.62,1.81,2.64,1.80,2.82,0.34,0.73,0.15,0.59,0.61,1.57,0.52,1.12,0.65,1.36,0.30,0.46,0.13,0.18,0.09,0.09,0.22,0.25,0.23,0.22,0.24,0.17,0.19,0.21,0.16,0.18,0.18,0.27,0.29,0.42,0.25,0.27,0.14,0.15,0.18,0.13,0.10,0.07,0.12,0.14,0.13,0.16,0.12,0.17,0.10,0.14,0.21,0.22
2006,1.33,2.23,0.72,1.09,1.03,2.08,1.28,2.32,1.28,2.45,1.50,2.42,1.70,2.49,2.02,2.84,0.33,0.71,0.11,0.55,0.50,1.64,0.49,1.09,0.66,1.30,0.32,0.40,0.13,0.19,0.15,0.12,0.18,0.24,0.21,0.20,0.11,0.14,0.15,0.22,0.14,0.24,0.21,0.27,0.21,0.35,0.25,0.26,0.13,0.13,0.13,0.11,0.06,0.06,0.12,0.12,0.13,0.15,0.17,0.14,0.17,0.17,0.16,0.17
2007,1.43,2.22,0.77,1.00,1.25,1.92,1.40,2.30,1.33,2.43,1.60,2.52,2.01,2.74,1.89,2.79,0.33,0.72,0.11,0.38,0.57,1.68,0.51,1.17,0.67,1.46,0.31,0.43,0.14,0.18,0.08,0.12,0.17,0.23,0.20,0.18,0.13,0.16,0.16,0.17,0.18,0.14,0.17,0.19,0.20,0.44,0.14,0.30,0.13,0.18,0.10,0.19,0.11,0.10,0.12,0.14,0.11,0.14,0.15,0.17,0.19,0.24,0.16,0.27
2008,1.30,2.13,0.73,1.00,1.06,1.89,1.29,2.19,1.33,2.37,1.48,2.29,1.63,2.52,1.74,2.72,0.36,0.70,0.13,0.52,0.62,1.52,0.56,1.08,0.72,1.34,0.35,0.45,0.15,0.24,0.08,0.09,0.18,0.27,0.16,0.30,0.12,0.16,0.15,0.20,0.18,0.15,0.15,0.29,0.30,0.49,0.22,0.24,0.14,0.16,0.09,0.08,0.06,0.11,0.13,0.15,0.12,0.18,0.19,0.16,0.16,0.21,0.26,0.21
2009,1.33,2.24,0.69,1.14,1.04,1.88,1.28,2.26,1.27,2.39,1.52,2.47,1.67,2.62,1.98,2.90,0.37,0.70,0.18,0.41,0.65,1.68,0.58,1.16,0.77,1.46,0.34,0.43,0.09,0.15,0.07,0.07,0.19,0.22,0.23,0.20,0.16,0.16,0.18,0.19,0.19,0.17,0.18,0.25,0.20,0.35,0.21,0.21,0.15,0.15,0.14,0.08,0.09,0.08,0.14,0.15,0.15,0.18,0.19,0.17,0.15,0.16,0.22,0.21
2010,1.42,2.14,0.85,1.19,1.08,1.80,1.40,2.20,1.47,2.38,1.64,2.40,1.68,2.43,1.96,2.66,0.33,0.67,0.10,0.60,0.58,1.43,0.55,1.06,0.79,1.35,0.29,0.46,0.11,0.13,0.07,0.08,0.19,0.23,0.19,0.19,0.18,0.16,0.19,0.21,0.18,0.13,0.21,0.34,0.22,0.31,0.21,0.24,0.13,0.18,0.10,0.12,0.09,0.15,0.12,0.15,0.11,0.17,0.15,0.15,0.12,0.20,0.20,0.29
2011,1.37,2.16,0.73,1.15,1.03,1.91,1.30,2.25,1.29,2.52,1.56,2.32,1.61,2.40,2.16,2.63,0.33,0.67,0.12,0.51,0.51,1.51,0.53,1.10,0.70,1.39,0.39,0.48,0.15,0.14,0.08,0.06,0.19,0.22,0.16,0.14,0.21,0.13,0.20,0.22,0.21,0.19,0.17,0.34,0.18,0.36,0.21,0.19,0.14,0.16,0.15,0.15,0.06,0.15,0.11,0.15,0.13,0.14,0.13,0.15,0.14,0.14,0.24,0.23
2012,1.29,2.17,0.61,0.91,1.06,1.92,1.20,2.23,1.20,2.40,1.34,2.37,1.65,2.46,1.99,2.87,0.35,0.66,0.20,0.53,0.62,1.42,0.56,1.05,0.74,1.34,0.34,0.44,0.11,0.18,0.10,0.13,0.16,0.20,0.17,0.15,0.13,0.12,0.12,0.18,0.09,0.15,0.15,0.25,0.23,0.31,0.20,0.23,0.11,0.15,0.09,0.06,0.07,0.07,0.08,0.15,0.09,0.19,0.09,0.19,0.10,0.18,0.22,0.19
2013,1.34,2.19,0.71,0.99,1.08,1.97,1.29,2.27,1.33,2.35,1.45,2.47,1.69,2.55,1.88,2.74,0.36,0.69,0.11,0.45,0.54,1.53,0.60,1.15,0.88,1.41,0.38,0.54,0.14,0.23,0.10,0.10,0.17,0.22,0.14,0.22,0.13,0.15,0.16,0.17,0.17,0.09,0.19,0.25,0.14,0.33,0.24,0.26,0.13,0.15,0.10,0.12,0.07,0.11,0.10,0.14,0.08,0.14,0.15,0.16,0.11,0.13,0.31,0.23
