Year,Country,Cause of death,Sex,Age,GeoCode,Value
2013,,,,,,270.1537182
2013,England,,,30 to 34,E92000001,19.63593403
2013,England,Malignant neoplasms (C00-C97),,30 to 34,E92000001,11.51540253
2013,England,Diabetes mellitus (E10-E14),,30 to 34,E92000001,0.543179365
2013,England,IX diseases of the circulatory system (I00-I99),,30 to 34,E92000001,6.681106185
2013,England,Other diseases of upper respiratory tract (J30-J39),,30 to 34,E92000001,0.054317936
2013,England,Chronic lower respiratory diseases (J40-J47),,30 to 34,E92000001,0.46170246
2013,England,Lung diseases due to external agents (J60-J70),,30 to 34,E92000001,0.108635873
2013,England,Other respiratory diseases principally affecting the interstitium (J80-J84),,30 to 34,E92000001,0.081476905
2013,England,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),,30 to 34,E92000001,0.027158968
2013,England,Other diseases of pleura (J90-J94),,30 to 34,E92000001,0.027158968
2013,England,"Postprocedural respiratory disorders, not elsewhere classified (J95)",,30 to 34,E92000001,0.0
2013,England,"Respiratory failure, not elsewhere classified (J96)",,30 to 34,E92000001,0.0
2013,England,Other respiratory disorders (J98),,30 to 34,E92000001,0.135794841
2013,England,,Male,30 to 34,E92000001,20.85429454
2013,England,Malignant neoplasms (C00-C97),Male,30 to 34,E92000001,9.88122332799999
2013,England,Diabetes mellitus (E10-E14),Male,30 to 34,E92000001,0.709701123
2013,England,IX diseases of the circulatory system (I00-I99),Male,30 to 34,E92000001,9.226114599
2013,England,Other diseases of upper respiratory tract (J30-J39),Male,30 to 34,E92000001,0.054592394
2013,England,Chronic lower respiratory diseases (J40-J47),Male,30 to 34,E92000001,0.655108729
2013,England,Lung diseases due to external agents (J60-J70),Male,30 to 34,E92000001,0.109184788
2013,England,Other respiratory diseases principally affecting the interstitium (J80-J84),Male,30 to 34,E92000001,0.0
2013,England,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),Male,30 to 34,E92000001,0.0
2013,England,Other diseases of pleura (J90-J94),Male,30 to 34,E92000001,0.054592394
2013,England,"Postprocedural respiratory disorders, not elsewhere classified (J95)",Male,30 to 34,E92000001,0.0
2013,England,"Respiratory failure, not elsewhere classified (J96)",Male,30 to 34,E92000001,0.0
2013,England,Other respiratory disorders (J98),Male,30 to 34,E92000001,0.163777182
2013,England,,Female,30 to 34,E92000001,18.42976261
2013,England,Malignant neoplasms (C00-C97),Female,30 to 34,E92000001,13.13323259
2013,England,Diabetes mellitus (E10-E14),Female,30 to 34,E92000001,0.378323572999999
2013,England,IX diseases of the circulatory system (I00-I99),Female,30 to 34,E92000001,4.161559298
2013,England,Other diseases of upper respiratory tract (J30-J39),Female,30 to 34,E92000001,0.054046225
2013,England,Chronic lower respiratory diseases (J40-J47),Female,30 to 34,E92000001,0.270231123
2013,England,Lung diseases due to external agents (J60-J70),Female,30 to 34,E92000001,0.108092449
2013,England,Other respiratory diseases principally affecting the interstitium (J80-J84),Female,30 to 34,E92000001,0.162138674
2013,England,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),Female,30 to 34,E92000001,0.054046225
2013,England,Other diseases of pleura (J90-J94),Female,30 to 34,E92000001,0.0
2013,England,"Postprocedural respiratory disorders, not elsewhere classified (J95)",Female,30 to 34,E92000001,0.0
2013,England,"Respiratory failure, not elsewhere classified (J96)",Female,30 to 34,E92000001,0.0
2013,England,Other respiratory disorders (J98),Female,30 to 34,E92000001,0.108092449
2013,,,,30 to 34,,19.74871763
2013,,Malignant neoplasms (C00-C97),,30 to 34,,11.64734329
2013,,Diabetes mellitus (E10-E14),,30 to 34,,0.517659702
2013,,IX diseases of the circulatory system (I00-I99),,30 to 34,,6.677810155
2013,,Other diseases of upper respiratory tract (J30-J39),,30 to 34,,0.05176597
2013,,Chronic lower respiratory diseases (J40-J47),,30 to 34,,0.491776717
2013,,Lung diseases due to external agents (J60-J70),,30 to 34,,0.10353194
2013,,Other respiratory diseases principally affecting the interstitium (J80-J84),,30 to 34,,0.077648955
2013,,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),,30 to 34,,0.025882985
2013,,Other diseases of pleura (J90-J94),,30 to 34,,0.025882985
2013,,"Postprocedural respiratory disorders, not elsewhere classified (J95)",,30 to 34,,0.0
2013,,"Respiratory failure, not elsewhere classified (J96)",,30 to 34,,0.0
2013,,Other respiratory disorders (J98),,30 to 34,,0.129414925
2013,,,Male,30 to 34,,20.85999355
2013,,Malignant neoplasms (C00-C97),Male,30 to 34,,9.935807401
2013,,Diabetes mellitus (E10-E14),Male,30 to 34,,0.676259143
2013,,IX diseases of the circulatory system (I00-I99),Male,30 to 34,,9.155508391
2013,,Other diseases of upper respiratory tract (J30-J39),Male,30 to 34,,0.052019934
2013,,Chronic lower respiratory diseases (J40-J47),Male,30 to 34,,0.728279077
2013,,Lung diseases due to external agents (J60-J70),Male,30 to 34,,0.104039868
2013,,Other respiratory diseases principally affecting the interstitium (J80-J84),Male,30 to 34,,0.0
2013,,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),Male,30 to 34,,0.0
2013,,Other diseases of pleura (J90-J94),Male,30 to 34,,0.052019934
2013,,"Postprocedural respiratory disorders, not elsewhere classified (J95)",Male,30 to 34,,0.0
2013,,"Respiratory failure, not elsewhere classified (J96)",Male,30 to 34,,0.0
2013,,Other respiratory disorders (J98),Male,30 to 34,,0.156059802
2013,,,Female,30 to 34,,18.6482396
2013,,Malignant neoplasms (C00-C97),Female,30 to 34,,13.34224877
2013,,Diabetes mellitus (E10-E14),Female,30 to 34,,0.360601317999999
2013,,IX diseases of the circulatory system (I00-I99),Female,30 to 34,,4.22418687
2013,,Other diseases of upper respiratory tract (J30-J39),Female,30 to 34,,0.051514474
2013,,Chronic lower respiratory diseases (J40-J47),Female,30 to 34,,0.25757237
2013,,Lung diseases due to external agents (J60-J70),Female,30 to 34,,0.103028948
2013,,Other respiratory diseases principally affecting the interstitium (J80-J84),Female,30 to 34,,0.154543421999999
2013,,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),Female,30 to 34,,0.051514474
2013,,Other diseases of pleura (J90-J94),Female,30 to 34,,0.0
2013,,"Postprocedural respiratory disorders, not elsewhere classified (J95)",Female,30 to 34,,0.0
2013,,"Respiratory failure, not elsewhere classified (J96)",Female,30 to 34,,0.0
2013,,Other respiratory disorders (J98),Female,30 to 34,,0.103028948
2013,Wales,,,30 to 34,W92000004,22.03650347
2013,Wales,Malignant neoplasms (C00-C97),,30 to 34,W92000004,14.32372725
2013,Wales,Diabetes mellitus (E10-E14),,30 to 34,W92000004,0.0
2013,Wales,IX diseases of the circulatory system (I00-I99),,30 to 34,W92000004,6.61095104
2013,Wales,Other diseases of upper respiratory tract (J30-J39),,30 to 34,W92000004,0.0
2013,Wales,Chronic lower respiratory diseases (J40-J47),,30 to 34,W92000004,1.101825173
2013,Wales,Lung diseases due to external agents (J60-J70),,30 to 34,W92000004,0.0
2013,Wales,Other respiratory diseases principally affecting the interstitium (J80-J84),,30 to 34,W92000004,0.0
2013,Wales,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),,30 to 34,W92000004,0.0
2013,Wales,Other diseases of pleura (J90-J94),,30 to 34,W92000004,0.0
2013,Wales,"Postprocedural respiratory disorders, not elsewhere classified (J95)",,30 to 34,W92000004,0.0
2013,Wales,"Respiratory failure, not elsewhere classified (J96)",,30 to 34,W92000004,0.0
2013,Wales,Other respiratory disorders (J98),,30 to 34,W92000004,0.0
2013,Wales,,Male,30 to 34,W92000004,20.97523818
2013,Wales,Malignant neoplasms (C00-C97),Male,30 to 34,W92000004,11.03959904
2013,Wales,Diabetes mellitus (E10-E14),Male,30 to 34,W92000004,0.0
2013,Wales,IX diseases of the circulatory system (I00-I99),Male,30 to 34,W92000004,7.727719329
2013,Wales,Other diseases of upper respiratory tract (J30-J39),Male,30 to 34,W92000004,0.0
2013,Wales,Chronic lower respiratory diseases (J40-J47),Male,30 to 34,W92000004,2.207919808
2013,Wales,Lung diseases due to external agents (J60-J70),Male,30 to 34,W92000004,0.0
2013,Wales,Other respiratory diseases principally affecting the interstitium (J80-J84),Male,30 to 34,W92000004,0.0
2013,Wales,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),Male,30 to 34,W92000004,0.0
2013,Wales,Other diseases of pleura (J90-J94),Male,30 to 34,W92000004,0.0
