Year,Country,Region,Police force area,Monitored hate crime strand,Value
2016/17,England,North East,Cleveland,Race,1.118199539
2016/17,England,North East,Durham,Race,0.543176131
2016/17,England,North East,Northumbria,Race,1.113680552
2016/17,England,North East,,Race,0.978820167
2016/17,England,North West,Cheshire,Race,0.803368423
2016/17,England,North West,Cumbria,Race,0.397665423
2016/17,England,North West,Greater Manchester,Race,1.578280899
2016/17,England,North West,Lancashire,Race,0.55015279
2016/17,England,North West,Merseyside,Race,1.536495865
2016/17,England,North West,,Race,1.164742259
2016/17,England,Yorkshire and The Humber,North Yorkshire,Race,0.788211988
2016/17,England,Yorkshire and The Humber,South Yorkshire,Race,0.169678888
2016/17,England,Yorkshire and The Humber,West Yorkshire,Race,0.560079629
2016/17,England,Yorkshire and The Humber,Humberside,Race,4.430596659
2016/17,England,Yorkshire and The Humber,,Race,1.156524058
2016/17,England,East Midlands,Derbyshire,Race,0.450096833
2016/17,England,East Midlands,Leicestershire,Race,0.824371487
2016/17,England,East Midlands,Lincolnshire,Race,0.344357712
2016/17,England,East Midlands,Northamptonshire,Race,0.579707773
2016/17,England,East Midlands,Nottinghamshire,Race,0.862682132
2016/17,England,East Midlands,,Race,0.637536282
2016/17,England,West Midlands,Staffordshire,Race,0.978267467
2016/17,England,West Midlands,Warwickshire,Race,0.80466996
2016/17,England,West Midlands,West Mercia,Race,0.717400579
2016/17,England,West Midlands,West Midlands,Race,1.341396372
2016/17,England,West Midlands,,Race,2.195519953
2016/17,England,East of England,Bedfordshire,Race,0.776548243
2016/17,England,East of England,Cambridgeshire,Race,0.924579081
2016/17,England,East of England,Essex,Race,0.799039377
2016/17,England,East of England,Hertfordshire,Race,0.960296417
2016/17,England,East of England,Norfolk,Race,0.579031662
2016/17,England,East of England,Suffolk,Race,0.613197294
2016/17,England,East of England,,Race,0.790305327
2016/17,England,London,"London, City of",Race,9.892564621
2016/17,England,London,Metropolitan Police,Race,1.813865276
2016/17,England,London,,Race,1.822507605
2016/17,England,South East,Hampshire,Race,0.835816833
2016/17,England,South East,Kent,Race,0.805302029
2016/17,England,South East,Surrey,Race,0.896690236
2016/17,England,South East,Sussex,Race,0.854954602
2016/17,England,South East,Thames Valley,Race,0.619538322
2016/17,England,South East,,Race,0.784153236
2016/17,England,South West,Avon and Somerset,Race,1.232213671
2016/17,England,South West,Dorset,Race,0.958693275
2016/17,England,South West,Gloucestershire,Race,0.513537325
2016/17,England,South West,Wiltshire,Race,0.538483116
2016/17,England,South West,Devon & Cornwall,Race,0.254338314
2016/17,England,South West,,Race,0.695256105
2016/17,Wales,,Dyfed-Powys,Race,0.207416597
2016/17,Wales,,Gwent,Race,0.482766767
2016/17,Wales,,North Wales,Race,0.482882116
2016/17,Wales,,South Wales,Race,1.028599624
2016/17,Wales,,,Race,0.668133562
2016/17,England,,,Race,1.055600515
2016/17,,,,Race,1.073718624
2016/17,England,North East,Cleveland,Religion,0.028353713
2016/17,England,North East,Durham,Religion,0.071680135
2016/17,England,North East,Northumbria,Religion,0.111437271
2016/17,England,North East,,Religion,0.084191429
2016/17,England,North West,Cheshire,Religion,0.047705963
2016/17,England,North West,Cumbria,Religion,0.020084112
2016/17,England,North West,Greater Manchester,Religion,0.274968091
2016/17,England,North West,Lancashire,Religion,0.045789951
2016/17,England,North West,Merseyside,Religion,0.076078231
2016/17,England,North West,,Religion,0.138511388
2016/17,England,Yorkshire and The Humber,North Yorkshire,Religion,0.036889797
2016/17,England,Yorkshire and The Humber,South Yorkshire,Religion,0.014440756
2016/17,England,Yorkshire and The Humber,West Yorkshire,Religion,0.016958933
2016/17,England,Yorkshire and The Humber,Humberside,Religion,0.301767712
2016/17,England,Yorkshire and The Humber,,Religion,0.068009144
2016/17,England,East Midlands,Derbyshire,Religion,0.031669926
2016/17,England,East Midlands,Leicestershire,Religion,0.119636678
2016/17,England,East Midlands,Lincolnshire,Religion,0.044389861
2016/17,England,East Midlands,Northamptonshire,Religion,0.051832695
2016/17,England,East Midlands,Nottinghamshire,Religion,0.059859576
2016/17,England,East Midlands,,Religion,0.06349963
2016/17,England,West Midlands,Staffordshire,Religion,0.026777394
2016/17,England,West Midlands,Warwickshire,Religion,0.026942075
2016/17,England,West Midlands,West Mercia,Religion,0.022244979
2016/17,England,West Midlands,West Midlands,Religion,0.084469925
2016/17,England,West Midlands,,Religion,0.109950522
2016/17,England,East of England,Bedfordshire,Religion,0.042138277
2016/17,England,East of England,Cambridgeshire,Religion,0.098935851
2016/17,England,East of England,Essex,Religion,0.069915945
2016/17,England,East of England,Hertfordshire,Religion,0.046740091
2016/17,England,East of England,Norfolk,Religion,0.052639242
2016/17,England,East of England,Suffolk,Religion,0.044279017
2016/17,England,East of England,,Religion,0.060842908
2016/17,England,London,Metropolitan Police,Religion,0.241043706
2016/17,England,London,,Religion,0.240785845
2016/17,England,South East,Hampshire,Religion,0.082261438
2016/17,England,South East,Kent,Religion,0.038452348
2016/17,England,South East,Surrey,Religion,0.076494902
2016/17,England,South East,Sussex,Religion,0.087458821
2016/17,England,South East,Thames Valley,Religion,0.034045186
2016/17,England,South East,,Religion,0.060933071
2016/17,England,South West,Avon and Somerset,Religion,0.135656551
2016/17,England,South West,Dorset,Religion,0.090687202
2016/17,England,South West,Gloucestershire,Religion,0.049748928
2016/17,England,South West,Wiltshire,Religion,0.042996751
2016/17,England,South West,Devon & Cornwall,Religion,0.012111348
2016/17,England,South West,,Religion,0.067259456
2016/17,Wales,,Dyfed-Powys,Religion,0.019384729
2016/17,Wales,,Gwent,Religion,0.011983572
2016/17,Wales,,North Wales,Religion,0.022994386
2016/17,Wales,,South Wales,Religion,0.06832027
2016/17,Wales,,,Religion,0.039509821
2016/17,England,,,Religion,0.101613831
2016/17,,,,Religion,0.101899212
2016/17,England,North East,Cleveland,Sexual orientation,0.11341485
2016/17,England,North East,Durham,Sexual orientation,0.144953161
2016/17,England,North East,Northumbria,Sexual orientation,0.168194142
2016/17,England,North East,,Sexual orientation,0.150937786
2016/17,England,North West,Cheshire,Sexual orientation,0.141209651
2016/17,England,North West,Cumbria,Sexual orientation,0.124521496
2016/17,England,North West,Greater Manchester,Sexual orientation,0.211348023
2016/17,England,North West,Lancashire,Sexual orientation,0.088886375
2016/17,England,North West,Merseyside,Sexual orientation,0.268051338
2016/17,England,North West,,Sexual orientation,0.181034384
2016/17,England,Yorkshire and The Humber,North Yorkshire,Sexual orientation,0.130343948
2016/17,England,Yorkshire and The Humber,South Yorkshire,Sexual orientation,0.028159475
2016/17,England,Yorkshire and The Humber,West Yorkshire,Sexual orientation,0.073053865
2016/17,England,Yorkshire and The Humber,Humberside,Sexual orientation,0.588447039
2016/17,England,Yorkshire and The Humber,,Sexual orientation,0.158319389
2016/17,England,East Midlands,Derbyshire,Sexual orientation,0.063339853
2016/17,England,East Midlands,Leicestershire,Sexual orientation,0.131787279
2016/17,England,East Midlands,Lincolnshire,Sexual orientation,0.044389861
2016/17,England,East Midlands,Northamptonshire,Sexual orientation,0.105029408
2016/17,England,East Midlands,Nottinghamshire,Sexual orientation,0.134684047
2016/17,England,East Midlands,,Sexual orientation,0.099482753
2016/17,England,West Midlands,Staffordshire,Sexual orientation,0.13924245
2016/17,England,West Midlands,Warwickshire,Sexual orientation,0.107768298
2016/17,England,West Midlands,West Mercia,Sexual orientation,0.122347386
2016/17,England,West Midlands,West Midlands,Sexual orientation,0.121469148
2016/17,England,West Midlands,,Sexual orientation,0.250617381
2016/17,England,East of England,Bedfordshire,Sexual orientation,0.052672846
2016/17,England,East of England,Cambridgeshire,Sexual orientation,0.100113658
2016/17,England,East of England,Essex,Sexual orientation,0.103209253
2016/17,England,East of England,Hertfordshire,Sexual orientation,0.100278741
2016/17,England,East of England,Norfolk,Sexual orientation,0.151197823
2016/17,England,East of England,Suffolk,Sexual orientation,0.12478632
2016/17,England,East of England,,Sexual orientation,0.10635275
2016/17,England,London,"London, City of",Sexual orientation,0.850973301
2016/17,England,London,Metropolitan Police,Sexual orientation,0.23306967
2016/17,England,London,,Sexual orientation,0.233730683
2016/17,England,South East,Hampshire,Sexual orientation,0.15487493
2016/17,England,South East,Kent,Sexual orientation,0.138977772
2016/17,England,South East,Surrey,Sexual orientation,0.141090596
2016/17,England,South East,Sussex,Sexual orientation,0.19931092
2016/17,England,South East,Thames Valley,Sexual orientation,0.070612238
2016/17,England,South East,,Sexual orientation,0.135936143
2016/17,England,South West,Avon and Somerset,Sexual orientation,0.219549418
2016/17,England,South West,Dorset,Sexual orientation,0.177487809
2016/17,England,South West,Gloucestershire,Sexual orientation,0.099497857
2016/17,England,South West,Wiltshire,Sexual orientation,0.071661251
2016/17,England,South West,Devon & Cornwall,Sexual orientation,0.038640968
2016/17,England,South West,,Sexual orientation,0.121465865
2016/17,Wales,,Dyfed-Powys,Sexual orientation,0.06784655
2016/17,Wales,,Gwent,Sexual orientation,0.10785215
2016/17,Wales,,North Wales,Sexual orientation,0.090540397
2016/17,Wales,,South Wales,Sexual orientation,0.227734234
2016/17,Wales,,,Sexual orientation,0.148081525
2016/17,England,,,Sexual orientation,0.151172285
2016/17,,,,Sexual orientation,0.156848392
2016/17,England,North East,Cleveland,Disability,0.069112174
2016/17,England,North East,Durham,Disability,0.097166405
2016/17,England,North East,Northumbria,Disability,0.150890218
2016/17,England,North East,,Disability,0.120598533
2016/17,England,North West,Cheshire,Disability,0.102090762
2016/17,England,North West,Cumbria,Disability,0.102428973
2016/17,England,North West,Greater Manchester,Disability,0.109268366
2016/17,England,North West,Lancashire,Disability,0.064644636
2016/17,England,North West,Merseyside,Disability,0.200505245
2016/17,England,North West,,Disability,0.116349566
2016/17,England,Yorkshire and The Humber,North Yorkshire,Disability,0.086076192
2016/17,England,Yorkshire and The Humber,South Yorkshire,Disability,0.020217059
2016/17,England,Yorkshire and The Humber,West Yorkshire,Disability,0.046528354
2016/17,England,Yorkshire and The Humber,Humberside,Disability,0.347032869
2016/17,England,Yorkshire and The Humber,,Disability,0.09712959
2016/17,England,East Midlands,Derbyshire,Disability,0.03838779
2016/17,England,East Midlands,Leicestershire,Disability,0.065426308
2016/17,England,East Midlands,Lincolnshire,Disability,0.076673397
2016/17,England,East Midlands,Northamptonshire,Disability,0.076385024
2016/17,England,East Midlands,Nottinghamshire,Disability,0.073944183
2016/17,England,East Midlands,,Disability,0.064981288
2016/17,England,West Midlands,Staffordshire,Disability,0.132994391
2016/17,England,West Midlands,Warwickshire,Disability,0.055680287
2016/17,England,West Midlands,West Mercia,Disability,0.061173693
2016/17,England,West Midlands,West Midlands,Disability,0.01431102
2016/17,England,West Midlands,,Disability,0.104016685
2016/17,England,East of England,Bedfordshire,Disability,0.064712354
2016/17,England,East of England,Cambridgeshire,Disability,0.038867656
2016/17,England,East of England,Essex,Disability,0.103764141
2016/17,England,East of England,Hertfordshire,Disability,0.084132164
2016/17,England,East of England,Norfolk,Disability,0.390874371
2016/17,England,East of England,Suffolk,Disability,0.268357678
2016/17,England,East of England,,Disability,0.148600238
2016/17,England,London,Metropolitan Police,Disability,0.075867253
2016/17,England,London,,Disability,0.075899886
