Year,Units,Country,Region,Sector performing research and development,Product groups of UK business performing research and development,Sector funding research and development,Sector funding research and development for business,GeoCode,Value
2001,Performing research and development,,North West,Government,,,,E12000002,0.00439990026892724
2001,Performing research and development,,North West,Higher education,,,,E12000002,0.022066166500226
2001,Performing research and development,,North West,Business,,,,E12000002,0.105464276143073
2001,Performing research and development,,North East,Government,,,,E12000001,0.000266660622359226
2001,Performing research and development,,North East,Higher education,,,,E12000001,0.00973311271611177
2001,Performing research and development,,North East,Business,,,,E12000001,0.00833314444872583
2001,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00333325777949033
2001,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.021732840722277
2001,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0212661846331483
2001,Performing research and development,,East Midlands,Government,,,,E12000004,0.00453323058010685
2001,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0153329857856555
2001,Performing research and development,,East Midlands,Business,,,,E12000004,0.0605986264311342
2001,Performing research and development,,West Midlands,Government,,,,E12000005,0.00433323511333743
2001,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0141996781406288
2001,Performing research and development,,West Midlands,Business,,,,E12000005,0.050665518248253
2001,Performing research and development,,East of England,Government,,,,E12000006,0.0187995738763255
2001,Performing research and development,,East of England,Higher education,,,,E12000006,0.0250660985017673
2001,Performing research and development,,East of England,Business,,,,E12000006,0.186529105340279
2001,Performing research and development,,London,Government,,,,E12000007,0.0158663070303739
2001,Performing research and development,,London,Higher education,,,,E12000007,0.0671318116789353
2001,Performing research and development,,London,Business,,,,E12000007,0.0466656089128646
2001,Performing research and development,,South East,Government,,,,E12000008,0.0343325551287504
2001,Performing research and development,,South East,Higher education,,,,E12000008,0.0385324599309082
2001,Performing research and development,,South East,Business,,,,E12000008,0.214128479754459
2001,Performing research and development,,South West,Government,,,,E12000009,0.0169329495198109
2001,Performing research and development,,South West,Higher education,,,,E12000009,0.0121997234729346
2001,Performing research and development,,South West,Business,,,,E12000009,0.0670651465233455
2001,Performing research and development,England,,Government,,,,E92000001,0.102797669919482
2001,Performing research and development,England,,Higher education,,,,E92000001,0.225994877449443
2001,Performing research and development,England,,Business,,,,E92000001,0.760782755590872
2001,Performing research and development,Wales,,Government,,,,W92000004,0.00326659262390052
2001,Performing research and development,Wales,,Higher education,,,,W92000004,0.0105997597387793
2001,Performing research and development,Wales,,Business,,,,W92000004,0.0107330900499589
2001,Performing research and development,Scotland,,Government,,,,S92000003,0.0150663251632963
2001,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0349992066846485
2001,Performing research and development,Scotland,,Business,,,,S92000003,0.03446588543993
2001,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.0010666424894369
2001,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.0049998866692355
2001,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.00999977333847099
2002,Performing research and development,,North West,Government,,,,E12000002,0.00435941630668948
2002,Performing research and development,,North West,Higher education,,,,E12000002,0.02407438855933
2002,Performing research and development,,North West,Business,,,,E12000002,0.104365727700447
