Year,Housing tenure category,Housing tenure sub-category,Economic activity,Value
2000,,,,100
2000,,,Working  households,55.69125095
2000,,,Mixed households,25.82013404
2000,,,Workless households,18.48861501
2000,Owner occupied,,,70.93697653
2000,Owner occupied,,Working  households,43.97028302
2000,Owner occupied,,Mixed households,19.44527252
2000,Owner occupied,,Workless households,7.521420993
2000,Owner occupied,Owned outright,,19.04604829
2000,Owner occupied,Owned outright,Working  households,7.081562696
2000,Owner occupied,Owned outright,Mixed households,6.83444772
2000,Owner occupied,Owned outright,Workless households,5.130037876
2000,Owner occupied,Buying with mortgage,,51.89092824
2000,Owner occupied,Buying with mortgage,Working  households,36.88872032
2000,Owner occupied,Buying with mortgage,Mixed households,12.6108248
2000,Owner occupied,Buying with mortgage,Workless households,2.391383117
2000,Rented,,,29.01547108
2000,Rented,,Working  households,11.69718392
2000,Rented,,Mixed households,6.362187483
2000,Rented,,Workless households,10.95609967
2000,Rented,Council or housing association,,18.14485727
2000,Rented,Council or housing association,Working  households,5.60482145
2000,Rented,Council or housing association,Mixed households,4.092722206
2000,Rented,Council or housing association,Workless households,8.447313611
2000,Rented,Privately rented,,10.87061381
2000,Rented,Privately rented,Working  households,6.092362474
2000,Rented,Privately rented,Mixed households,2.269465277
2000,Rented,Privately rented,Workless households,2.508786061
2001,,,,100
2001,,,Working  households,55.97074297
2001,,,Mixed households,25.56885771
2001,,,Workless households,18.46039932
2001,Owner occupied,,,70.65035553
2001,Owner occupied,,Working  households,44.02494081
2001,Owner occupied,,Mixed households,19.18243106
2001,Owner occupied,,Workless households,7.442983654
2001,Owner occupied,Owned outright,,19.68652733
2001,Owner occupied,Owned outright,Working  households,7.5014314
2001,Owner occupied,Owned outright,Mixed households,6.927156388
2001,Owner occupied,Owned outright,Workless households,5.257939541
2001,Owner occupied,Buying with mortgage,,50.9638282
2001,Owner occupied,Buying with mortgage,Working  households,36.52350941
2001,Owner occupied,Buying with mortgage,Mixed households,12.25527468
2001,Owner occupied,Buying with mortgage,Workless households,2.185044113
2001,Rented,,,29.29958563
2001,Rented,,Working  households,11.93641839
2001,Rented,,Mixed households,6.358959319
2001,Rented,,Workless households,11.00420793
2001,Rented,Council or housing association,,18.32684518
2001,Rented,Council or housing association,Working  households,5.791451395
2001,Rented,Council or housing association,Mixed households,4.041273021
2001,Rented,Council or housing association,Workless households,8.494120768
2001,Rented,Privately rented,,10.97274045
2001,Rented,Privately rented,Working  households,6.144966991
2001,Rented,Privately rented,Mixed households,2.317686298
2001,Rented,Privately rented,Workless households,2.510087159
2002,,,,100
2002,,,Working  households,55.99310705
2002,,,Mixed households,25.63988177
2002,,,Workless households,18.36701118
2002,Owner occupied,,,70.74774634
2002,Owner occupied,,Working  households,44.01056269
2002,Owner occupied,,Mixed households,19.45303222
2002,Owner occupied,,Workless households,7.284151442
2002,Owner occupied,Owned outright,,19.70887832
2002,Owner occupied,Owned outright,Working  households,7.640018312
2002,Owner occupied,Owned outright,Mixed households,6.961184049
2002,Owner occupied,Owned outright,Workless households,5.107675957
2002,Owner occupied,Buying with mortgage,,51.03886802
2002,Owner occupied,Buying with mortgage,Working  households,36.37054437
2002,Owner occupied,Buying with mortgage,Mixed households,12.49184817
2002,Owner occupied,Buying with mortgage,Workless households,2.176475484
2002,Rented,,,29.19225145
2002,Rented,,Working  households,11.96442121
2002,Rented,,Mixed households,6.166958161
2002,Rented,,Workless households,11.06087208
2002,Rented,Council or housing association,,17.95456582
2002,Rented,Council or housing association,Working  households,5.529326407
2002,Rented,Council or housing association,Mixed households,3.883168568
2002,Rented,Council or housing association,Workless households,8.542070841
2002,Rented,Privately rented,,11.23768563
2002,Rented,Privately rented,Working  households,6.435094799
2002,Rented,Privately rented,Mixed households,2.283789593
2002,Rented,Privately rented,Workless households,2.518801239
2003,,,,100
2003,,,Working  households,56.08606348
2003,,,Mixed households,26.05764964
2003,,,Workless households,17.85628687
2003,Owner occupied,,,71.22780409
2003,Owner occupied,,Working  households,44.42708442
2003,Owner occupied,,Mixed households,19.70259762
2003,Owner occupied,,Workless households,7.098122044
2003,Owner occupied,Owned outright,,20.239606
2003,Owner occupied,Owned outright,Working  households,8.094938965
2003,Owner occupied,Owned outright,Mixed households,7.060495921
2003,Owner occupied,Owned outright,Workless households,5.084171114
2003,Owner occupied,Buying with mortgage,,50.98819809
2003,Owner occupied,Buying with mortgage,Working  households,36.33214546
2003,Owner occupied,Buying with mortgage,Mixed households,12.6421017
2003,Owner occupied,Buying with mortgage,Workless households,2.01395093
2003,Rented,,,28.70326567
2003,Rented,,Working  households,11.63576099
2003,Rented,,Mixed households,6.331201747
2003,Rented,,Workless households,10.73630293
2003,Rented,Council or housing association,,16.81392093
2003,Rented,Council or housing association,Working  households,4.870155975
2003,Rented,Council or housing association,Mixed households,3.763524819
2003,Rented,Council or housing association,Workless households,8.180240137
2003,Rented,Privately rented,,11.88934474
2003,Rented,Privately rented,Working  households,6.765605014
2003,Rented,Privately rented,Mixed households,2.567676928
2003,Rented,Privately rented,Workless households,2.556062794
2004,,,,100
2004,,,Working  households,56.22578407
2004,,,Mixed households,26.02118499
2004,,,Workless households,17.75303093
2004,Owner occupied,,,70.82685004
2004,Owner occupied,,Working  households,44.05515912
2004,Owner occupied,,Mixed households,19.67328049
2004,Owner occupied,,Workless households,7.098410428
2004,Owner occupied,Owned outright,,20.47623505
2004,Owner occupied,Owned outright,Working  households,8.008879856
2004,Owner occupied,Owned outright,Mixed households,7.328891097
2004,Owner occupied,Owned outright,Workless households,5.138464096
2004,Owner occupied,Buying with mortgage,,50.35061499
2004,Owner occupied,Buying with mortgage,Working  households,36.04627926
2004,Owner occupied,Buying with mortgage,Mixed households,12.34438939
2004,Owner occupied,Buying with mortgage,Workless households,1.959946332
2004,Rented,,,29.11330688
2004,Rented,,Working  households,12.15164485
2004,Rented,,Mixed households,6.327956809
2004,Rented,,Workless households,10.63370522
2004,Rented,Council or housing association,,16.95877453
2004,Rented,Council or housing association,Working  households,5.164217349
2004,Rented,Council or housing association,Mixed households,3.647336975
2004,Rented,Council or housing association,Workless households,8.147220202
2004,Rented,Privately rented,,12.15453235
2004,Rented,Privately rented,Working  households,6.987427503
2004,Rented,Privately rented,Mixed households,2.680619834
2004,Rented,Privately rented,Workless households,2.486485017
2005,,,,100
2005,,,Working  households,56.33687584
2005,,,Mixed households,25.80343728
2005,,,Workless households,17.85968687
2005,Owner occupied,,,70.51751915
2005,Owner occupied,,Working  households,44.05356467
2005,Owner occupied,,Mixed households,19.33165639
2005,Owner occupied,,Workless households,7.132298094
2005,Owner occupied,Owned outright,,20.45397228
2005,Owner occupied,Owned outright,Working  households,8.129673026
2005,Owner occupied,Owned outright,Mixed households,7.05839481
2005,Owner occupied,Owned outright,Workless households,5.265904446
2005,Owner occupied,Buying with mortgage,,50.06354686
2005,Owner occupied,Buying with mortgage,Working  households,35.92389164
2005,Owner occupied,Buying with mortgage,Mixed households,12.27326158
2005,Owner occupied,Buying with mortgage,Workless households,1.866393648
2005,Rented,,,29.38176858
2005,Rented,,Working  households,12.23588492
2005,Rented,,Mixed households,6.434313697
2005,Rented,,Workless households,10.71156997
2005,Rented,Council or housing association,,16.43759315
2005,Rented,Council or housing association,Working  households,4.958476243
2005,Rented,Council or housing association,Mixed households,3.546824442
2005,Rented,Council or housing association,Workless households,7.93229246
2005,Rented,Privately rented,,12.94417543
2005,Rented,Privately rented,Working  households,7.277408672
2005,Rented,Privately rented,Mixed households,2.887489255
2005,Rented,Privately rented,Workless households,2.779277505
2006,,,,100
2006,,,Working  households,56.1872369
2006,,,Mixed households,26.50498802
2006,,,Workless households,17.30777508
2006,Owner occupied,,,69.81932496
2006,Owner occupied,,Working  households,43.67783514
2006,Owner occupied,,Mixed households,19.30407223
2006,Owner occupied,,Workless households,6.837417591
2006,Owner occupied,Owned outright,,20.5249653
2006,Owner occupied,Owned outright,Working  households,8.261911287
2006,Owner occupied,Owned outright,Mixed households,7.197487404
2006,Owner occupied,Owned outright,Workless households,5.065566609
2006,Owner occupied,Buying with mortgage,,49.29435966
2006,Owner occupied,Buying with mortgage,Working  households,35.41592385
2006,Owner occupied,Buying with mortgage,Mixed households,12.10658483
2006,Owner occupied,Buying with mortgage,Workless households,1.771850982
2006,Rented,,,30.12057081
2006,Rented,,Working  households,12.48747015
2006,Rented,,Mixed households,7.172743021
2006,Rented,,Workless households,10.46035764
2006,Rented,Council or housing association,,16.49154577
2006,Rented,Council or housing association,Working  households,4.846605845
2006,Rented,Council or housing association,Mixed households,3.861259885
2006,Rented,Council or housing association,Workless households,7.783680038
2006,Rented,Privately rented,,13.62902504
2006,Rented,Privately rented,Working  households,7.640864308
2006,Rented,Privately rented,Mixed households,3.311483135
2006,Rented,Privately rented,Workless households,2.676677598
2007,,,,100
2007,,,Working  households,56.08954931
2007,,,Mixed households,26.4295901
2007,,,Workless households,17.48086059
2007,Owner occupied,,,68.97819283
2007,Owner occupied,,Working  households,42.98304643
2007,Owner occupied,,Mixed households,19.264283
2007,Owner occupied,,Workless households,6.730863397
2007,Owner occupied,Owned outright,,20.82198262
2007,Owner occupied,Owned outright,Working  households,8.206068866
2007,Owner occupied,Owned outright,Mixed households,7.559510834
2007,Owner occupied,Owned outright,Workless households,5.056402916
2007,Owner occupied,Buying with mortgage,,48.15621021
2007,Owner occupied,Buying with mortgage,Working  households,34.77697756
2007,Owner occupied,Buying with mortgage,Mixed households,11.70477217
2007,Owner occupied,Buying with mortgage,Workless households,1.674460481
2007,Rented,,,30.94206647
2007,Rented,,Working  households,13.06105867
2007,Rented,,Mixed households,7.140789048
2007,Rented,,Workless households,10.74021875
2007,Rented,Council or housing association,,16.7261245
2007,Rented,Council or housing association,Working  households,4.956192474
2007,Rented,Council or housing association,Mixed households,3.909120108
2007,Rented,Council or housing association,Workless households,7.860811917
2007,Rented,Privately rented,,14.21594197
2007,Rented,Privately rented,Working  households,8.104866192
2007,Rented,Privately rented,Mixed households,3.231668941
2007,Rented,Privately rented,Workless households,2.879406836
2008,,,,100
2008,,,Working  households,56.10394555
2008,,,Mixed households,26.46345511
2008,,,Workless households,17.43259935
2008,Owner occupied,,,67.53107862
2008,Owner occupied,,Working  households,41.97328338
2008,Owner occupied,,Mixed households,18.96267033
2008,Owner occupied,,Workless households,6.595124907
2008,Owner occupied,Owned outright,,21.1887282
2008,Owner occupied,Owned outright,Working  households,8.413751403
2008,Owner occupied,Owned outright,Mixed households,7.662642422
2008,Owner occupied,Owned outright,Workless households,5.112334378
2008,Owner occupied,Buying with mortgage,,46.34235041
2008,Owner occupied,Buying with mortgage,Working  households,33.55953198
2008,Owner occupied,Buying with mortgage,Mixed households,11.30002791
2008,Owner occupied,Buying with mortgage,Workless households,1.482790529
2008,Rented,,,32.40448061
2008,Rented,,Working  households,14.09690093
2008,Rented,,Mixed households,7.48307485
2008,Rented,,Workless households,10.82450483
2008,Rented,Council or housing association,,16.71141911
2008,Rented,Council or housing association,Working  households,5.127374812
2008,Rented,Council or housing association,Mixed households,3.878807763
2008,Rented,Council or housing association,Workless households,7.705236539
2008,Rented,Privately rented,,15.69306149
2008,Rented,Privately rented,Working  households,8.969526117
2008,Rented,Privately rented,Mixed households,3.604267087
2008,Rented,Privately rented,Workless households,3.119268288
2009,,,,100
2009,,,Working  households,53.88896854
2009,,,Mixed households,27.59433656
2009,,,Workless households,18.5166949
2009,Owner occupied,,,66.25967077
2009,Owner occupied,,Working  households,39.80507725
2009,Owner occupied,,Mixed households,19.58182501
2009,Owner occupied,,Workless households,6.872768505
2009,Owner occupied,Owned outright,,21.38175343
2009,Owner occupied,Owned outright,Working  households,8.315716255
2009,Owner occupied,Owned outright,Mixed households,7.92626505
2009,Owner occupied,Owned outright,Workless households,5.139772128
2009,Owner occupied,Buying with mortgage,,44.87791733
2009,Owner occupied,Buying with mortgage,Working  households,31.489361
2009,Owner occupied,Buying with mortgage,Mixed households,11.65555996
2009,Owner occupied,Buying with mortgage,Workless households,1.732996376
2009,Rented,,,33.67592495
2009,Rented,,Working  households,14.04546246
2009,Rented,,Mixed households,7.993890035
2009,Rented,,Workless households,11.63657246
2009,Rented,Council or housing association,,16.46812339
2009,Rented,Council or housing association,Working  households,4.680826955
2009,Rented,Council or housing association,Mixed households,3.977723282
2009,Rented,Council or housing association,Workless households,7.809573156
2009,Rented,Privately rented,,17.20780156
2009,Rented,Privately rented,Working  households,9.3646355
2009,Rented,Privately rented,Mixed households,4.016166754
2009,Rented,Privately rented,Workless households,3.826999302
2010,,,,100
2010,,,Working  households,53.00635248
2010,,,Mixed households,27.79879156
2010,,,Workless households,19.19485597
2010,Owner occupied,,,64.82546912
2010,Owner occupied,,Working  households,38.31464807
2010,Owner occupied,,Mixed households,19.48945308
2010,Owner occupied,,Workless households,7.021367968
2010,Owner occupied,Owned outright,,21.4553345
2010,Owner occupied,Owned outright,Working  households,8.381517321
2010,Owner occupied,Owned outright,Mixed households,7.84848864
2010,Owner occupied,Owned outright,Workless households,5.225328542
2010,Owner occupied,Buying with mortgage,,43.37013462
2010,Owner occupied,Buying with mortgage,Working  households,29.93313075
2010,Owner occupied,Buying with mortgage,Mixed households,11.64096444
2010,Owner occupied,Buying with mortgage,Workless households,1.796039426
2010,Rented,,,35.08041814
2010,Rented,,Working  households,14.64929369
2010,Rented,,Mixed households,8.265975804
2010,Rented,,Workless households,12.16514865
2010,Rented,Council or housing association,,16.58163801
2010,Rented,Council or housing association,Working  households,4.601577259
2010,Rented,Council or housing association,Mixed households,3.902684406
2010,Rented,Council or housing association,Workless households,8.077376341
2010,Rented,Privately rented,,18.49878013
2010,Rented,Privately rented,Working  households,10.04771643
2010,Rented,Privately rented,Mixed households,4.363291398
2010,Rented,Privately rented,Workless households,4.087772309
2011,,,,100
2011,,,Working  households,53.24770157
2011,,,Mixed households,27.98269884
2011,,,Workless households,18.76959959
2011,Owner occupied,,,63.58938179
2011,Owner occupied,,Working  households,37.35509571
2011,Owner occupied,,Mixed households,19.45683193
2011,Owner occupied,,Workless households,6.777454148
2011,Owner occupied,Owned outright,,21.05200715
2011,Owner occupied,Owned outright,Working  households,8.17723207
2011,Owner occupied,Owned outright,Mixed households,7.753962253
2011,Owner occupied,Owned outright,Workless households,5.120812831
2011,Owner occupied,Buying with mortgage,,42.53737463
2011,Owner occupied,Buying with mortgage,Working  households,29.17786364
2011,Owner occupied,Buying with mortgage,Mixed households,11.70286967
2011,Owner occupied,Buying with mortgage,Workless households,1.656641317
2011,Rented,,,36.33784863
2011,Rented,,Working  households,15.86131948
2011,Rented,,Mixed households,8.498610936
2011,Rented,,Workless households,11.97791821
2011,Rented,Council or housing association,,16.77734735
2011,Rented,Council or housing association,Working  households,4.766427173
2011,Rented,Council or housing association,Mixed households,4.065378384
2011,Rented,Council or housing association,Workless households,7.94554179
2011,Rented,Privately rented,,19.56050128
2011,Rented,Privately rented,Working  households,11.0948923
2011,Rented,Privately rented,Mixed households,4.433232552
2011,Rented,Privately rented,Workless households,4.032376425
2012,,,,100
2012,,,Working  households,52.85987058
2012,,,Mixed households,29.13912418
2012,,,Workless households,18.00100524
2012,Owner occupied,,,62.61070246
2012,Owner occupied,,Working  households,36.6817613
2012,Owner occupied,,Mixed households,19.59555596
2012,Owner occupied,,Workless households,6.333385201
2012,Owner occupied,Owned outright,,20.99606728
2012,Owner occupied,Owned outright,Working  households,8.025887106
2012,Owner occupied,Owned outright,Mixed households,8.127766958
2012,Owner occupied,Owned outright,Workless households,4.842413216
