Year,Urban/rural,Value
2000,,100
2001,,100
2002,,100
2003,,100
2004,,100
2005,,100
2006,,100
2007,,100
2008,,100
2009,,100
2010,,100
2011,,100
2012,,100
2013,,100
2014,,100
2000,Urban,100
2001,Urban,100
2002,Urban,100
2003,Urban,100
2004,Urban,100
2005,Urban,100
2006,Urban,100
2007,Urban,100
2008,Urban,100
2009,Urban,100
2010,Urban,100
2011,Urban,100
2012,Urban,100
2013,Urban,100
2014,Urban,100
2000,Rural,100
2001,Rural,100
2002,Rural,100
2003,Rural,100
2004,Rural,100
2005,Rural,100
2006,Rural,100
2007,Rural,100
2008,Rural,100
2009,Rural,100
2010,Rural,100
2011,Rural,100
2012,Rural,100
2013,Rural,100
2014,Rural,100
