Year,Health product or service,Health product or service type,Health product or service description,Tenure type,Tenure description,Socio-economic type,Age,Value
2001,,,,,,,,4.5
2002,,,,,,,,4.8
2003,,,,,,,,5
2004,,,,,,,,4.9
2005,,,,,,,,5.5
2006,,,,,,,,5.8
2007,,,,,,,,5.7
2008,,,,,,,,5.1
2009,,,,,,,,5.3
2010,,,,,,,,5
2011,,,,,,,,6.6
2012,,,,,,,,6.4
2013,,,,,,,,6.2
2014,,,,,,,,7
2015,,,,,,,,7.2
2014,"Medical products, appliances and equipment",,,,,,,4.1
2014,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products",,,,,,2.5
2014,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products",National Health Service (NHS) prescription charges and payments,,,,,0.2
2014,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products",Medicines and medical goods (not NHS),,,,,1.5
2014,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products","Other medical products (plasters, condoms, hot water bottles)",,,,,0.3
2014,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products","Non-optical appliances and equipment (wheelchairs, batteries for hearing aids, shoe build-up)",,,,,0.4
2014,"Medical products, appliances and equipment","Spectacles, lenses, accessories and repairs",,,,,,1.6
2014,"Medical products, appliances and equipment","Spectacles, lenses, accessories and repairs","Purchase of spectacles, lenses, prescription sunglasses",,,,,1.6
2014,"Medical products, appliances and equipment","Spectacles, lenses, accessories and repairs",Accessories or repairs to spectacles or lenses,,,,,0
2014,Hospital services,,,,,,,2.9
2014,Hospital services,Out patient services,,,,,,2.8
2014,Hospital services,Out patient services,"National Health Service (NHS) medical, optical, dental and medical auxiliary services",,,,,1.1
2014,Hospital services,Out patient services,"Private medical, optical, dental and medical auxiliary services",,,,,1.7
2014,Hospital services,Out patient services,Other services,,,,,0
2014,Hospital services,In-patient hospital services,,,,,,0.1
2015,"Medical products, appliances and equipment",,,,,,,3.8
2015,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products",,,,,,2.2
2015,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products",National Health Service (NHS) prescription charges and payments,,,,,0.2
2015,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products",Medicines and medical goods (not NHS),,,,,1.4
2015,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products","Other medical products (plasters, condoms, hot water bottles)",,,,,0.2
2015,"Medical products, appliances and equipment","Medicines, prescriptions and healthcare products","Non-optical appliances and equipment (wheelchairs, batteries for hearing aids, shoe build-up)",,,,,0.5
2015,"Medical products, appliances and equipment","Spectacles, lenses, accessories and repairs",,,,,,1.6
2015,"Medical products, appliances and equipment","Spectacles, lenses, accessories and repairs","Purchase of spectacles, lenses, prescription sunglasses",,,,,1.5
2015,"Medical products, appliances and equipment","Spectacles, lenses, accessories and repairs",Accessories or repairs to spectacles or lenses,,,,,0
2015,Hospital services,,,,,,,3.4
2015,Hospital services,Out patient services,,,,,,3.4
2015,Hospital services,Out patient services,"National Health Service (NHS) medical, optical, dental and medical auxiliary services",,,,,0.9
2015,Hospital services,Out patient services,"Private medical, optical, dental and medical auxiliary services",,,,,2.4
2015,Hospital services,Out patient services,Other services,,,,,0
2015,Hospital services,In-patient hospital services,,,,,,0
2015,,,,Owners,Owned outright,,,10.5
2015,,,,Owners,Owners buying with a mortgage,,,8.5
2015,,,,Owners,,,,9.5
2015,,,,Social rented,Council,,,2.2
