Year,Offence group,Value
2002,,39.419766915315336
2002,Wounding,51.389893383596885
2002,Minor or no injury,34.42850522597968
2002,Domestic violence,47.066393439031934
2002,Acquaintance,33.54963618675481
2002,Stranger,39.67783835567307
2003,,39.977998940774704
2003,Wounding,57.086388103129906
2003,Minor or no injury,33.163914353319186
2003,Domestic violence,40.253340588001294
2003,Acquaintance,39.97190540461171
2003,Stranger,39.930118821494055
2004,,44.844318151634745
2004,Wounding,59.52330304730196
2004,Minor or no injury,39.14375723992653
2004,Domestic violence,39.63666408312932
2004,Acquaintance,43.838641577811835
2004,Stranger,48.35003750511452
2005,,44.62999341755098
2005,Wounding,60.53265028735449
2005,Minor or no injury,38.74657616281957
2005,Domestic violence,41.776501870084616
2005,Acquaintance,45.96778218752869
2005,Stranger,44.53133416479415
2006,,42.55962611242741
2006,Wounding,58.19922807409249
2006,Minor or no injury,36.807387521044795
2006,Domestic violence,44.281754434908244
2006,Acquaintance,47.407224933699936
2006,Stranger,36.788418733358576
2007,,42.47445527116047
2007,Wounding,59.35029821756458
2007,Minor or no injury,36.74949288592129
2007,Domestic violence,39.79307860662249
2007,Acquaintance,47.837487289330184
2007,Stranger,38.24627413560675
2008,,42.338337004978214
2008,Wounding,62.24291455240243
2008,Minor or no injury,35.600797184476065
2008,Domestic violence,47.505644334682835
2008,Acquaintance,39.041487646715424
2008,Stranger,43.28745952745011
2009,,45.108656026716126
2009,Wounding,58.10850044564102
2009,Minor or no injury,39.883316739695125
2009,Domestic violence,41.16543573243159
2009,Acquaintance,44.81408872733611
2009,Stranger,46.81255194775573
2010,,40.37652762325289
2010,Wounding,56.580105406589205
2010,Minor or no injury,34.53833503254521
2010,Domestic violence,38.632625822264345
2010,Acquaintance,40.64145697260305
2010,Stranger,40.95436313739775
2011,,42.170467810815055
2011,Wounding,64.81993090543455
2011,Minor or no injury,33.54281684485336
2011,Domestic violence,38.565340029901044
2011,Acquaintance,46.20435116452513
2011,Stranger,39.39568768183554
2012,,44.066471830913294
2012,Wounding,55.75204248269731
2012,Minor or no injury,39.49085357271711
2012,Domestic violence,50.80545741183262
2012,Acquaintance,44.97788640672961
2012,Stranger,38.65986886183572
2013,,49.58912139629179
2013,Wounding,58.69323229024233
2013,Minor or no injury,46.80791769994554
2013,Domestic violence,51.67726467680698
2013,Acquaintance,50.52320144332669
2013,Stranger,48.01527221098347
2014,,49.40981797114482
2014,Wounding,64.91906903106812
2014,Minor or no injury,44.39886443773837
2014,Domestic violence,46.84737738384055
2014,Acquaintance,47.20901443800336
2014,Stranger,51.6790453585979
2015,,52.02244500522815
2015,Wounding,65.29026641958684
2015,Minor or no injury,47.755663975376386
2015,Domestic violence,50.3387019009914
2015,Acquaintance,48.29472050862448
2015,Stranger,57.31256024033856
2016,,43.007511168153506
2016,Wounding,51.41646419754502
2016,Minor or no injury,40.33116759413181
2016,Domestic violence,41.99647737377451
2016,Acquaintance,43.65903136064711
2016,Stranger,42.72533273367101
