Year,Flow of Overseas Development Assistance,Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2010,,,,,781564.55
2010,,Transport and Storage (210),,,331992.12
2010,,Transport and Storage (210),,Transport policy and administrative management (21010),91707.02
2010,,Transport and Storage (210),,Road transport (21020),216655.96
2010,,Transport and Storage (210),,Rail transport (21030),12757.88
2010,,Transport and Storage (210),,Water transport (21040),4563.63
2010,,Transport and Storage (210),,Air transport (21050),6028.25
2010,,Transport and Storage (210),,Storage (21061),141.3
2010,,Transport and Storage (210),,Education and training in transport and storage (21081),138.07
2010,,Communications (220),,,69624.04
2010,,Communications (220),,Communications policy and administrative management (22010),8520.51
2010,,Communications (220),,Telecommunications (22020),21219.83
2010,,Communications (220),,Radio/television/print media (22030),11455.79
2010,,Communications (220),,Information and communication technology (ICT) (22040),28427.92
2010,,"Energy Generation, Distribution and Efficiency (230)",,,204679.66
2010,,Banking and Financial Services (240),,,109258.35
2010,,Banking and Financial Services (240),,Financial policy and administrative management (24010),44830.76
2010,,Banking and Financial Services (240),,Monetary institutions (24020),498.72
2010,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),48556.48
2010,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),13932.12
2010,,Banking and Financial Services (240),,Education/training in banking and financial services (24081),1440.26
2010,,Business and Other Services,,,66010.38
2010,,Business and Other Services,,Business support services and institutions (25010),62708.07
2010,,Business and Other Services,,Privatisation (25020),3302.31
2011,,,,,1222236.58
2011,,Transport and Storage (210),,,380720.69
2011,,Transport and Storage (210),,Transport policy and administrative management (21010),41550.52
2011,,Transport and Storage (210),,Road transport (21020),263166.98
2011,,Transport and Storage (210),,Rail transport (21030),38776.17
2011,,Transport and Storage (210),,Water transport (21040),9304.76
2011,,Transport and Storage (210),,Air transport (21050),27843.49
2011,,Transport and Storage (210),,Storage (21061),78.77
2011,,Transport and Storage (210),,Education and training in transport and storage (21081),0
2011,,Communications (220),,,80999.37
2011,,Communications (220),,Communications policy and administrative management (22010),11133.08
2011,,Communications (220),,Telecommunications (22020),52809.43
2011,,Communications (220),,Radio/television/print media (22030),4664.34
2011,,Communications (220),,Information and communication technology (ICT) (22040),12392.51
2011,,"Energy Generation, Distribution and Efficiency (230)",,,351840.54
2011,,Banking and Financial Services (240),,,264273.71
2011,,Banking and Financial Services (240),,Financial policy and administrative management (24010),44003.41
2011,,Banking and Financial Services (240),,Monetary institutions (24020),65941.19
2011,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),125026.8
2011,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),27478.32
2011,,Banking and Financial Services (240),,Education/training in banking and financial services (24081),1823.99
2011,,Business and Other Services,,,144402.28
