Year,Industrial Sector Summary,Industrial Sector,Value
2000,"Agriculture, forestry and fishing",,13.48080279
2000,"Agriculture, forestry and fishing","Products of agriculture, hunting and related services",12.45784827
2000,"Agriculture, forestry and fishing","Products of forestry, logging and related services",0.293645416
2000,"Agriculture, forestry and fishing",Fish and other fishing products; aquaculture products; support services to fishing,0.729309106
2000,Mining and quarrying,,8.082990308
2000,Mining and quarrying,Mining of coal and lignite,0.118814811
2000,Mining and quarrying,Crude petroleum and natural gas,7.038320945
2000,Mining and quarrying,Mining and quarrying of metal ores and other products and support services,0.925854551
2000,Manufacturing,,14.35690985
2000,Manufacturing,Processing and preserving of meat and production of meat products,0.227444615
2000,Manufacturing,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.117841351
2000,Manufacturing,Manufacture of vegetable and animal oils and fats,0.036105856
2000,Manufacturing,Manufacture of dairy products,0.114121954
2000,Manufacturing,"Manufacture of grain mill products, starches and starch products",0.112418699
2000,Manufacturing,Manufacture of bakery and farinaceous products,0.182726214
2000,Manufacturing,Manufacture of other food products,0.368021023
2000,Manufacturing,Manufacture of prepared animal feeds,0.089612556
2000,Manufacturing,"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt",0.165733972
2000,Manufacturing,Manufacture of soft drinks: production of mineral waters and other bottled waters,0.040568013
2000,Manufacturing,Tobacco products,0.021728666
2000,Manufacturing,Textiles,0.349440831
2000,Manufacturing,Wearing apparel,0.065725576
2000,Manufacturing,Leather and related products,0.023587525
2000,Manufacturing,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0.405985178
2000,Manufacturing,Paper and paper products,0.709877531
2000,Manufacturing,Printing and recording services,0.317887248
2000,Manufacturing,Manufacture of coke oven & refined petroleum products,1.987663581
2000,Manufacturing,"Manufacture of industrial gases, non-nitrogen-based inorganic chemicals, fertilisers and other nitrogen compounds,",0.614369354
2000,Manufacturing,Manufacture of petrochemicals,1.496491621
2000,Manufacturing,"Manufacture of paints, varnishes & ink",0.027768138
2000,Manufacturing,Manufacture of cleaning & toilet preparations,0.066122424
2000,Manufacturing,Manufacture of other chemical products & man-made fibres,0.098995287
2000,Manufacturing,Manufacture of dyestuffs & agro-chemicals,0.156410572
2000,Manufacturing,Basic pharmaceutical products and pharmaceutical preparations,0.161888077
2000,Manufacturing,Rubber & plastics products,0.766097236
2000,Manufacturing,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products",0.488359323
2000,Manufacturing,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products, cement, lime, plaster, articles of concrete, cement and plaster",0.492271827
2000,Manufacturing,Manufacture of basic Iron & Steel,1.570760895
2000,Manufacturing,Manufacture of other basic metals & casting,0.677573912
2000,Manufacturing,"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition",0.488650942
2000,Manufacturing,Manufacture of weapons and ammunition,0.030455955
2000,Manufacturing,"Computer, electronic, communication and optical products",0.297102845
2000,Manufacturing,Electrical equipment,0.202137044
2000,Manufacturing,Machinery and equipment n.e.c.,0.452140962
2000,Manufacturing,"Motor vehicles, trailers and semi-trailers",0.404510853
2000,Manufacturing,Building of ships and boats,0.052216525
2000,Manufacturing,Manufacture of air and spacecraft and related machinery,0.145405747
2000,Manufacturing,"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",0.024349315
2000,Manufacturing,Furniture,0.178493546
2000,Manufacturing,Other manufactured goods,0.091020273
2000,Manufacturing,Repair & maintenance of ships,0.00200159
