Year,Age,Geography,Value
2011,3 Year Olds,,92
2011,3 Year Olds,North East,96
2011,3 Year Olds,North West,93
2011,3 Year Olds,Yorkshire And The Humber,94
2011,3 Year Olds,East Midlands,95
2011,3 Year Olds,West Midlands,91
2011,3 Year Olds,East Of England,95
2011,3 Year Olds,London,85
2011,3 Year Olds,South East,93
2011,3 Year Olds,South West,95
2011,4 Year Olds,,96
2011,4 Year Olds,North East,99
2011,4 Year Olds,North West,99
2011,4 Year Olds,Yorkshire And The Humber,98
2011,4 Year Olds,East Midlands,97
2011,4 Year Olds,West Midlands,97
2011,4 Year Olds,East Of England,97
2011,4 Year Olds,London,92
2011,4 Year Olds,South East,96
2011,4 Year Olds,South West,98
2011,,,94
2011,,North East,98
2011,,North West,96
2011,,Yorkshire And The Humber,96
2011,,East Midlands,96
2011,,West Midlands,94
2011,,East Of England,96
2011,,London,88
2011,,South East,95
2011,,South West,97
2012,3 Year Olds,,93
2012,3 Year Olds,North East,97
2012,3 Year Olds,North West,94
2012,3 Year Olds,Yorkshire And The Humber,96
2012,3 Year Olds,East Midlands,96
2012,3 Year Olds,West Midlands,92
2012,3 Year Olds,East Of England,95
2012,3 Year Olds,London,86
2012,3 Year Olds,South East,94
2012,3 Year Olds,South West,97
2012,4 Year Olds,,97
2012,4 Year Olds,North East,99
2012,4 Year Olds,North West,98
2012,4 Year Olds,Yorkshire And The Humber,98
2012,4 Year Olds,East Midlands,98
2012,4 Year Olds,West Midlands,98
2012,4 Year Olds,East Of England,97
2012,4 Year Olds,London,93
2012,4 Year Olds,South East,96
2012,4 Year Olds,South West,98
2012,,,95
2012,,North East,98
2012,,North West,96
2012,,Yorkshire And The Humber,97
2012,,East Midlands,97
2012,,West Midlands,95
2012,,East Of England,96
2012,,London,89
2012,,South East,95
2012,,South West,98
2013,3 Year Olds,,93
2013,3 Year Olds,North East,96
2013,3 Year Olds,North West,95
2013,3 Year Olds,Yorkshire And The Humber,95
2013,3 Year Olds,East Midlands,95
2013,3 Year Olds,West Midlands,92
2013,3 Year Olds,East Of England,95
2013,3 Year Olds,London,87
2013,3 Year Olds,South East,94
2013,3 Year Olds,South West,96
2013,4 Year Olds,,98
2013,4 Year Olds,North East,100
2013,4 Year Olds,North West,100
2013,4 Year Olds,Yorkshire And The Humber,99
2013,4 Year Olds,East Midlands,99
2013,4 Year Olds,West Midlands,98
2013,4 Year Olds,East Of England,98
2013,4 Year Olds,London,94
2013,4 Year Olds,South East,97
2013,4 Year Olds,South West,99
2013,,,95
2013,,North East,98
2013,,North West,97
2013,,Yorkshire And The Humber,97
2013,,East Midlands,97
2013,,West Midlands,95
2013,,East Of England,96
2013,,London,90
2013,,South East,95
2013,,South West,98
2014,3 Year Olds,,93
2014,3 Year Olds,North East,95
2014,3 Year Olds,North West,95
2014,3 Year Olds,Yorkshire And The Humber,96
2014,3 Year Olds,East Midlands,96
2014,3 Year Olds,West Midlands,92
2014,3 Year Olds,East Of England,95
2014,3 Year Olds,London,86
2014,3 Year Olds,South East,94
2014,3 Year Olds,South West,96
2014,4 Year Olds,,98
2014,4 Year Olds,North East,99
2014,4 Year Olds,North West,100
2014,4 Year Olds,Yorkshire And The Humber,99
2014,4 Year Olds,East Midlands,99
2014,4 Year Olds,West Midlands,99
2014,4 Year Olds,East Of England,97
2014,4 Year Olds,London,94
2014,4 Year Olds,South East,96
2014,4 Year Olds,South West,99
2014,,,95
2014,,North East,97
2014,,North West,97
2014,,Yorkshire And The Humber,98
2014,,East Midlands,97
2014,,West Midlands,96
2014,,East Of England,96
2014,,London,90
2014,,South East,95
2014,,South West,97
2015,3 Year Olds,,93
2015,3 Year Olds,North East,96
2015,3 Year Olds,North West,95
2015,3 Year Olds,Yorkshire And The Humber,95
2015,3 Year Olds,East Midlands,95
2015,3 Year Olds,West Midlands,94
2015,3 Year Olds,East Of England,94
2015,3 Year Olds,London,83
2015,3 Year Olds,South East,93
2015,3 Year Olds,South West,96
2015,4 Year Olds,,97
2015,4 Year Olds,North East,99
2015,4 Year Olds,North West,100
2015,4 Year Olds,Yorkshire And The Humber,99
2015,4 Year Olds,East Midlands,99
2015,4 Year Olds,West Midlands,99
2015,4 Year Olds,East Of England,97
2015,4 Year Olds,London,93
2015,4 Year Olds,South East,96
2015,4 Year Olds,South West,98
2015,,,95
2015,,North East,97
2015,,North West,97
2015,,Yorkshire And The Humber,97
2015,,East Midlands,97
2015,,West Midlands,96
2015,,East Of England,96
2015,,London,88
2015,,South East,94
2015,,South West,97
2016,3 Year Olds,,93
2016,3 Year Olds,North East,97
2016,3 Year Olds,North West,95
2016,3 Year Olds,Yorkshire And The Humber,96
2016,3 Year Olds,East Midlands,95
2016,3 Year Olds,West Midlands,94
2016,3 Year Olds,East Of England,95
2016,3 Year Olds,London,82
2016,3 Year Olds,South East,95
2016,3 Year Olds,South West,96
2016,4 Year Olds,,97
