Year,Age,Sex,Type of account,Value
2013,,,Current account,89
2013,,,National Savings and Investments (NS&I) Savings Account,2
2013,,,Basic bank account,5
2013,,,Post Office Card Account (POCA),2
2013,,,Individual Savings Account (ISA),33
2013,,,Other bank or building society account,36
2013,,,Stocks and shares or member of a share club,10
2013,,,Unit trusts,2
2013,,,Endowment policy (not linked),1
2013,,,Premium bonds,13
2013,,,National savings bonds,2
2013,,,Company share scheme or profit sharing,2
2013,,,Credit unions,1
2013,,,,94
2013,,,Any direct payment account (including POCAs),93
2013,,,Any direct payment account (excluding POCAs),92
2013,16 to 24,,Current account,83
2013,16 to 24,,National Savings and Investments (NS&I) savings account,1
2013,16 to 24,,Basic bank account,5
2013,16 to 24,,Post Office Card Account (POCA),1
2013,16 to 24,,Individual Savings Account (ISA),13
2013,16 to 24,,Other bank or building society account,18
2013,16 to 24,,Stocks and shares or member of a share club,1
2013,16 to 24,,Endowment policy (not linked),0
2013,16 to 24,,Premium bonds,4
2013,16 to 24,,,88
2013,16 to 24,,Any direct payment account (including POCAs),88
2013,16 to 24,,Any direct payment account (excluding POCAs),88
2013,25 to 34,,Current account,89
2013,25 to 34,,National Savings and Investments (NS&I) savings account,2
2013,25 to 34,,Basic bank account,6
2013,25 to 34,,Post Office Card Account (POCA),1
2013,25 to 34,,Individual Savings Account (ISA),25
2013,25 to 34,,Other bank or building society account,32
2013,25 to 34,,Stocks and shares or member of a share club,4
2013,25 to 34,,Premium bonds,5
2013,25 to 34,,Company share scheme or profit sharing,2
2013,25 to 34,,Credit unions,1
2013,25 to 34,,,93
2013,25 to 34,,Any direct payment account (including POCAs),92
2013,25 to 34,,Any direct payment account (excluding POCAs),92
2013,35 to 44,,Current account,91
2013,35 to 44,,National Savings and Investments (NS&I) savings account,2
2013,35 to 44,,Basic bank account,6
2013,35 to 44,,Post Office Card Account (POCA),2
2013,35 to 44,,Individual Savings Account (ISA),27
2013,35 to 44,,Other bank or building society account,35
2013,35 to 44,,Stocks and shares or member of a share club,9
2013,35 to 44,,Unit trusts,1
2013,35 to 44,,Endowment policy (not linked),1
2013,35 to 44,,Premium bonds,9
2013,35 to 44,,National savings bonds,1
2013,35 to 44,,Company share scheme or profit sharing,3
2013,35 to 44,,Credit unions,1
2013,35 to 44,,,95
