Year,Hate crime,Offence type,Value
2011,,,782.7536832
2012,,,776.6433043
2013,,,825.4163619
2014,,,955.7444075
2015,,,1131.54587
2016,,,1449.044819
2011,Race,Violence against the person,544.4670999
2011,Race,Criminal damage,73.88029874
2011,Race,Other notifiable offences,21.55658584
2011,Race,,639.9039845
2011,Religion,Violence against the person,21.72350129
2011,Religion,Criminal damage,5.430875323
2011,Religion,Other notifiable offences,1.650560147
2011,Religion,,28.80493676
2011,Sexual orientation,Violence against the person,62.36172547
2011,Sexual orientation,Criminal damage,9.51512606
2011,Sexual orientation,Other notifiable offences,5.476331545
2011,Sexual orientation,,77.35318308
2011,Disability,Violence against the person,19.62421243
2011,Disability,Criminal damage,5.652281251
2011,Disability,Other notifiable offences,5.842807586
2011,Disability,,31.11930127
2011,Transgender,Violence against the person,3.745301358
2011,Transgender,Criminal damage,1.187534577
2011,Transgender,Other notifiable offences,0.639441695
2011,Transgender,,5.57227763
2011,,Violence against the person,651.5782865
2011,,Criminal damage,96.00423773
2011,,Other notifiable offences,35.17115901
2012,Race,Public order offences,379.6306755
2012,Race,Violence against the person,170.8521259
2012,Race,Criminal damage and arson,67.69958234
2012,Race,Other notifiable offences,15.48204251
2012,Race,,633.6644263
2012,Religion,Public order offences,13.74380083
2012,Religion,Violence against the person,6.645354249
2012,Religion,Criminal damage and arson,5.739169578
2012,Religion,Other notifiable offences,1.661338562
2012,Religion,,27.78966322
2012,Sexual orientation,Public order offences,32.34477152
2012,Sexual orientation,Violence against the person,31.3464761
2012,Sexual orientation,Criminal damage and arson,8.784999671
2012,Sexual orientation,Other notifiable offences,2.495738543
2012,Sexual orientation,,74.97198583
2012,Disability,Public order offences,10.25413919
2012,Disability,Violence against the person,10.95647749
2012,Disability,Criminal damage and arson,5.829407898
2012,Disability,Other notifiable offences,6.742447689
2012,Disability,,33.78247227
2012,Transgender,Public order offences,3.002886424
2012,Transgender,Violence against the person,2.05912212
2012,Transgender,Criminal damage and arson,0.943764305
2012,Transgender,Other notifiable offences,0.428983775
2012,Transgender,,6.434756624
2012,,Public order offences,437.8317391
2012,,Violence against the person,221.9640652
2012,,Criminal damage and arson,88.58241303
2012,,Other notifiable offences,28.26508695
2013,Race,Public order offences,393.6183273
2013,Race,Violence against the person,184.9373523
2013,Race,Criminal damage and arson,62.11134532
2013,Race,Other notifiable offences,19.14278235
2013,Race,,659.8098073
2013,Religion,Public order offences,18.39919645
2013,Religion,Violence against the person,8.871041146
2013,Religion,Criminal damage and arson,9.966231411
2013,Religion,Other notifiable offences,2.518937609
2013,Religion,,39.75540662
2013,Sexual orientation,Public order offences,36.78503231
2013,Sexual orientation,Violence against the person,33.50373835
2013,Sexual orientation,Criminal damage and arson,6.821637447
2013,Sexual orientation,Other notifiable offences,3.453993644
2013,Sexual orientation,,80.56440175
2013,Disability,Public order offences,9.711628245
2013,Disability,Violence against the person,14.2298724
2013,Disability,Criminal damage and arson,4.466310316
2013,Disability,Other notifiable offences,7.06300236
2013,Disability,,35.47081332
2013,Transgender,Public order offences,3.613226869
2013,Transgender,Violence against the person,3.191683734
2013,Transgender,Criminal damage and arson,0.903306717
