Year,Industrial Sector,Value
2000,,0.354546654
2000,"Agriculture, forestry and fishing",0.738035109
2000,Mining and quarrying,0.553426112
2000,Manufacturing,0.714629068
2000,"Electricity, gas, steam and air conditioning supply",5.744622434
2000,"Water supply, sewerage, waste management activities and remediation services",0.284729292
2000,Construction,0.125099301
2000,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.098240136
2000,Transport and storage,1.202963062
2000,Accommodation and food services,0.099111858
2000,Information and communication,0.027148493
2000,Financial and insurance activities,0.001549615
2000,Real estate activities,0.004921922
2000,"Professional, scientific and technical activities",0.040685357
2000,Administrative and support service activities,0.066722878
2000,Public administration and defence; compulsory social security,0.115014889
2000,Education,0.046879617
2000,Human health and social work activities,0.057321193
2000,"Arts, entertainment and recreation",0.068755993
2000,Other service activities,0.053978893
2000,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,0.027918024
2001,,0.354158927
2001,"Agriculture, forestry and fishing",0.785073977
2001,Mining and quarrying,0.596123791
2001,Manufacturing,0.697546908
2001,"Electricity, gas, steam and air conditioning supply",5.930618243
2001,"Water supply, sewerage, waste management activities and remediation services",0.290045042
2001,Construction,0.125320502
2001,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.091509051
2001,Transport and storage,1.26263619
2001,Accommodation and food services,0.095540322
2001,Information and communication,0.023842989
2001,Financial and insurance activities,0.001575716
2001,Real estate activities,0.004714572
2001,"Professional, scientific and technical activities",0.036211484
2001,Administrative and support service activities,0.061606526
2001,Public administration and defence; compulsory social security,0.112234924
2001,Education,0.043844025
2001,Human health and social work activities,0.060481211
2001,"Arts, entertainment and recreation",0.070765902
2001,Other service activities,0.052046556
2001,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,0.02867181
2002,,0.336302365
2002,"Agriculture, forestry and fishing",0.693651252
2002,Mining and quarrying,0.609719093
2002,Manufacturing,0.678367103
2002,"Electricity, gas, steam and air conditioning supply",5.730656836
2002,"Water supply, sewerage, waste management activities and remediation services",0.244505254
2002,Construction,0.117829525
2002,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.082519117
2002,Transport and storage,1.256965609
2002,Accommodation and food services,0.078865442
2002,Information and communication,0.021116552
2002,Financial and insurance activities,0.001412498
2002,Real estate activities,0.004056583
2002,"Professional, scientific and technical activities",0.032155542
2002,Administrative and support service activities,0.060327218
2002,Public administration and defence; compulsory social security,0.102106482
