Year,Grade,Planet,Fruit,Value
2010,,,,15.1591
2011,,,,16.3583
2012,,,,16.2244
2013,,,,14.3392
2014,,,,15.79
2015,,,,14.0988
2016,,,,15.5934
2010,A,,,14.1695
2010,B,,,16.1488
2011,A,,,15.5065
2011,B,,,17.2102
2012,A,,,16.6152
2012,B,,,15.8335
2013,A,,,14.3857
2013,B,,,14.2927
2014,A,,,14.6857
2014,B,,,16.8942
2015,A,,,14.8525
2015,B,,,13.3451
2016,A,,,16.5992
2016,B,,,14.5875
2010,A,Mercury,,17.3458
2010,A,Venus,,13.3825
2010,A,Earth,,11.7802
2010,B,Mercury,,16.4394
2010,B,Venus,,16.5942
2010,B,Earth,,15.4127
2011,A,Mercury,,15.669
2011,A,Venus,,16.9856
2011,A,Earth,,13.8649
2011,B,Mercury,,13.2586
2011,B,Venus,,19.4585
2011,B,Earth,,18.9134
2012,A,Mercury,,16.2654
2012,A,Venus,,18.3479
2012,A,Earth,,15.2324
2012,B,Mercury,,15.6618
2012,B,Venus,,13.9548
2012,B,Earth,,17.8839
2013,A,Mercury,,11.8379
2013,A,Venus,,16.8824
2013,A,Earth,,14.4367
2013,B,Mercury,,11.1883
2013,B,Venus,,16.0526
2013,B,Earth,,15.6371
2014,A,Mercury,,16.2951
2014,A,Venus,,10.9936
2014,A,Earth,,16.7684
2014,B,Mercury,,14.5468
2014,B,Venus,,19.9637
2014,B,Earth,,16.1722
2015,A,Mercury,,13.309
2015,A,Venus,,16.5238
2015,A,Earth,,14.7246
2015,B,Mercury,,11.8639
2015,B,Venus,,14.424
2015,B,Earth,,13.7473
2016,A,Mercury,,16.5154
2016,A,Venus,,14.8001
2016,A,Earth,,18.4822
2016,B,Mercury,,12.4133
2016,B,Venus,,15.1595
2016,B,Earth,,16.1897
2010,,Mercury,,16.8926
2010,,Venus,,14.9884
2010,,Earth,,13.5965
2011,,Mercury,,14.4638
2011,,Venus,,18.222
2011,,Earth,,16.3891
2012,,Mercury,,15.9636
2012,,Venus,,16.1514
2012,,Earth,,16.5582
2013,,Mercury,,11.5131
2013,,Venus,,16.4675
2013,,Earth,,15.0369
2014,,Mercury,,15.4209
2014,,Venus,,15.4786
2014,,Earth,,16.4703
2015,,Mercury,,12.5865
2015,,Venus,,15.4739
2015,,Earth,,14.236
2016,,Mercury,,14.4644
2016,,Venus,,14.9798
2016,,Earth,,17.336
2010,,,Apples,14.8497
2010,,,Oranges,14.6733
2010,,,Lemons,15.9544
2011,,,Apples,13.4712
2011,,,Oranges,18.2388
2011,,,Lemons,17.365
2012,,,Apples,16.4877
2012,,,Oranges,16.0224
2012,,,Lemons,16.163
2013,,,Apples,14.3664
2013,,,Oranges,13.5446
2013,,,Lemons,15.1066
2014,,,Apples,14.7726
2014,,,Oranges,14.6493
2014,,,Lemons,17.948
2015,,,Apples,13.0809
2015,,,Oranges,13.7446
2015,,,Lemons,15.4709
2016,,,Apples,13.7839
2016,,,Oranges,15.0604
2016,,,Lemons,17.9358
