Year,Water resources management category,Water resources management sub-category,Value
2016,Enabling environment,National water resources policy,100
2016,Enabling environment,National water resources law,90
2016,Enabling environment,National integrated water resources management (IWRM) plans,70
2016,Enabling environment,Sub-national water resources policies,70
2016,Enabling environment,Basin and aquifer management plans,70
2016,Enabling environment,Arrangements for transboundary water management in most important basins and aquifers,60
2016,Enabling environment,Provincial and state water resources laws,100
2016,Enabling environment,,86
2016,Institutions and participation,National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,100
2016,Institutions and participation,"Coordination between national government authorities representing different sectors on water resources, policy, planning and management",80
2016,Institutions and participation,"Public participation in water resources, policy, planning and management at national level",80
2016,Institutions and participation,"Business participation in water resources development, management and use at national level",80
2016,Institutions and participation,Developing integrated water resources management (IWRM) capacity at the national level,80
2016,Institutions and participation,Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,80
2016,Institutions and participation,"Public participation in water resources, policy, planning and management at the local level",80
2016,Institutions and participation,Organizational framework for transboundary water management for most important basins and aquifers,60
2016,Institutions and participation,,82
2016,Management instruments,National monitoring of water availability,90
2016,Management instruments,Sustainable and efficient water use management from the national level,80
2016,Management instruments,Pollution control from the national level,60
2016,Management instruments,Management of water-related ecosystems from the national level,80
2016,Management instruments,Management instruments to reduce impacts of water-related disasters from the national level,90
2016,Management instruments,Basin management instruments,80
2016,Management instruments,Aquifer management instruments,80
2016,Management instruments,Data and information sharing within countries at all levels,80
2016,Management instruments,Transboundary data and information sharing between countries,40
2016,Management instruments,,76
2016,Financing,National budget for investment including water resources infrastructure,80
2016,Financing,National budget for the recurrent costs of the integrated water resources management (IWRM) elements,80
2016,Financing,Sub-national or basin budgets for investment including water resources infrastructure,80
2016,Financing,"Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",80
2016,Financing,Financing for transboundary cooperation,10
2016,Financing,,66
2016,,,77
