Year,Flow of Overseas Developmend Assistance,Aid Descrition (CRS Code),Value
2009,Bilateral,,73182.75
2009,Bilateral,Water sector policy and administrative management (14010),17135.47
2009,Bilateral,Water resources conservation (including data collection) (14015),0.08
2009,Bilateral,Water supply and sanitation - large systems (14020),401.05
2009,Bilateral,Water supply - large systems (14021),0
2009,Bilateral,Sanitation - large systems (14022),0
2009,Bilateral,Basic drinking water supply and basic sanitation (14030),52982.15
2009,Bilateral,Basic drinking water supply (14031),0
2009,Bilateral,Basic sanitation (14032),0
2009,Bilateral,River basins’ development (14040),2500
2009,Bilateral,Waste management / disposal (14050),164
2009,Bilateral,Education and training in water supply and sanitation (14081),0
2010,,,220157.2884
2010,,Water sector policy and administrative management (14010),33851.56761
2010,,Water resources conservation (including data collection) (14015),8545.419889
2010,,Water supply and sanitation - large systems (14020),39431.21816
2010,,Water supply - large systems (14021),19386.15675
2010,,Sanitation - large systems (14022),7562.727538
2010,,Basic drinking water supply and basic sanitation (14030),81056.71411
2010,,Basic drinking water supply (14031),8371.694675
2010,,Basic sanitation (14032),7292.220087
2010,,River basins’ development (14040),6216.632861
2010,,Waste management / disposal (14050),8205.781206
2010,,Education and training in water supply and sanitation (14081),237.1555409
2010,Bilateral,,92399.79452
2010,Bilateral,Water sector policy and administrative management (14010),13059.73697
2010,Bilateral,Water resources conservation (including data collection) (14015),4571.0202
2010,Bilateral,Water supply and sanitation - large systems (14020),1749.25768
2010,Bilateral,Water supply - large systems (14021),93.515
2010,Bilateral,Sanitation - large systems (14022),0
2010,Bilateral,Basic drinking water supply and basic sanitation (14030),65999.73079
2010,Bilateral,Basic drinking water supply (14031),743.09815
2010,Bilateral,Basic sanitation (14032),1399.67926
2010,Bilateral,River basins’ development (14040),2887.28
2010,Bilateral,Waste management / disposal (14050),1888.97647
2010,Bilateral,Education and training in water supply and sanitation (14081),7.5
2010,Multilateral,,127757.4939
2010,Multilateral,Water sector policy and administrative management (14010),20791.83065
2010,Multilateral,Water resources conservation (including data collection) (14015),3974.399689
2010,Multilateral,Water supply and sanitation - large systems (14020),37681.96048
2010,Multilateral,Water supply - large systems (14021),19292.64175
2010,Multilateral,Sanitation - large systems (14022),7562.727538
2010,Multilateral,Basic drinking water supply and basic sanitation (14030),15056.98332
2010,Multilateral,Basic drinking water supply (14031),7628.596525
2010,Multilateral,Basic sanitation (14032),5892.540827
2010,Multilateral,River basins’ development (14040),3329.352861
2010,Multilateral,Waste management / disposal (14050),6316.804736
2010,Multilateral,Education and training in water supply and sanitation (14081),229.6555409
2011,,,235605.653
2011,,Water sector policy and administrative management (14010),40506.93584
2011,,Water resources conservation (including data collection) (14015),3865.922265
2011,,Water supply and sanitation - large systems (14020),40217.16137
2011,,Water supply - large systems (14021),23764.54211
2011,,Sanitation - large systems (14022),12446.23721
2011,,Basic drinking water supply and basic sanitation (14030),81676.98521
2011,,Basic drinking water supply (14031),11247.53558
2011,,Basic sanitation (14032),7559.249276
2011,,River basins’ development (14040),6799.871376
2011,,Waste management / disposal (14050),7370.97613
2011,,Education and training in water supply and sanitation (14081),150.2366365
2011,Bilateral,,109656.1911
2011,Bilateral,Water sector policy and administrative management (14010),22103.40852
2011,Bilateral,Water resources conservation (including data collection) (14015),2079.00611
2011,Bilateral,Water supply and sanitation - large systems (14020),3062.05562
2011,Bilateral,Water supply - large systems (14021),0
2011,Bilateral,Sanitation - large systems (14022),31.11
2011,Bilateral,Basic drinking water supply and basic sanitation (14030),72040.36902
2011,Bilateral,Basic drinking water supply (14031),2806.21285
2011,Bilateral,Basic sanitation (14032),4517.24424
2011,Bilateral,River basins’ development (14040),2100.42855
2011,Bilateral,Waste management / disposal (14050),906.032122
2011,Bilateral,Education and training in water supply and sanitation (14081),10.324091
2011,Multilateral,,125949.4619
2011,Multilateral,Water sector policy and administrative management (14010),18403.52732
2011,Multilateral,Water resources conservation (including data collection) (14015),1786.916155
2011,Multilateral,Water supply and sanitation - large systems (14020),37155.10575
2011,Multilateral,Water supply - large systems (14021),23764.54211
2011,Multilateral,Sanitation - large systems (14022),12415.12721
2011,Multilateral,Basic drinking water supply and basic sanitation (14030),9636.616187
2011,Multilateral,Basic drinking water supply (14031),8441.322726
2011,Multilateral,Basic sanitation (14032),3042.005036
2011,Multilateral,River basins’ development (14040),4699.442826
2011,Multilateral,Waste management / disposal (14050),6464.944008
2011,Multilateral,Education and training in water supply and sanitation (14081),139.9125455
2012,,,219389.8576
2012,,Water sector policy and administrative management (14010),39762.72942
2012,,Water resources conservation (including data collection) (14015),5555.502064
2012,,Water supply and sanitation - large systems (14020),25868.35038
2012,,Water supply - large systems (14021),22689.49408
2012,,Sanitation - large systems (14022),12532.57268
2012,,Basic drinking water supply and basic sanitation (14030),71843.32567
2012,,Basic drinking water supply (14031),10620.72131
2012,,Basic sanitation (14032),13540.58645
2012,,River basins’ development (14040),5380.615427
2012,,Waste management / disposal (14050),11396.35748
2012,,Education and training in water supply and sanitation (14081),199.602688
2012,Bilateral,,106672.3223
2012,Bilateral,Water sector policy and administrative management (14010),18236.8216
2012,Bilateral,Water resources conservation (including data collection) (14015),1744.34583
2012,Bilateral,Water supply and sanitation - large systems (14020),1278.222
2012,Bilateral,Water supply - large systems (14021),10000
2012,Bilateral,Sanitation - large systems (14022),19.89
2012,Bilateral,Basic drinking water supply and basic sanitation (14030),61240.86309
2012,Bilateral,Basic drinking water supply (14031),2661.86015
2012,Bilateral,Basic sanitation (14032),9173.83967
2012,Bilateral,River basins’ development (14040),1609.34507
2012,Bilateral,Waste management / disposal (14050),700.534219
2012,Bilateral,Education and training in water supply and sanitation (14081),6.600649
2012,Multilateral,,112717.5354
2012,Multilateral,Water sector policy and administrative management (14010),21525.90782
2012,Multilateral,Water resources conservation (including data collection) (14015),3811.156234
2012,Multilateral,Water supply and sanitation - large systems (14020),24590.12838
