Year,Sex,Country,Cause of death,GeoCode,Value
2013,,,,,28.83320568
2013,,,Cholera,,0.0
2013,,,Typhoid and paratyphoid fevers,,0.0
2013,,,Shigellosis,,0.0
2013,,,Other bacterial intestinal infections,,11.76507175
2013,,,Amoebiasis,,0.0
2013,,,Other protozoal intestinal diseases,,0.017559809
2013,,,Viral and other specified intestinal infections,,1.562822963
2013,,,Other gastroenteritis and colitis of infectious and unspecified origin,,14.22344495
2013,,,Hookworm diseases,,0.0
2013,,,Ascariasis,,0.0
2013,,,Trichuriasis,,0.0
2013,,,Kwashiorkor,,0.0
2013,,,Nutritional marasmus,,0.105358850999999
2013,,,Marasmic kwashiorkor,,0.0
2013,,,Unspecified severe protein-energy malnutrition,,0.070239234
2013,,,Protein-energy malnutrition of moderate and mild degree,,0.0
2013,,,Retarded development following protein-energy malnutrition,,0.0
2013,,,Unspecified protein-energy malnutrition,,1.088708132
2013,Male,,,,22.28227861
2013,Male,,Cholera,,0.0
2013,Male,,Typhoid and paratyphoid fevers,,0.0
2013,Male,,Shigellosis,,0.0
2013,Male,,Other bacterial intestinal infections,,8.841608152
2013,Male,,Amoebiasis,,0.0
2013,Male,,Other protozoal intestinal diseases,,0.0
2013,Male,,Viral and other specified intestinal infections,,1.17650431
2013,Male,,Other gastroenteritis and colitis of infectious and unspecified origin,,11.19461677
2013,Male,,Hookworm diseases,,0.0
2013,Male,,Ascariasis,,0.0
2013,Male,,Trichuriasis,,0.0
2013,Male,,Kwashiorkor,,0.0
2013,Male,,Nutritional marasmus,,0.071303292
2013,Male,,Marasmic kwashiorkor,,0.0
2013,Male,,Unspecified severe protein-energy malnutrition,,0.0
2013,Male,,Protein-energy malnutrition of moderate and mild degree,,0.0
2013,Male,,Retarded development following protein-energy malnutrition,,0.0
2013,Male,,Unspecified protein-energy malnutrition,,0.998246082
2013,Female,,,,35.19148893
2013,Female,,Cholera,,0.0
2013,Female,,Typhoid and paratyphoid fevers,,0.0
2013,Female,,Shigellosis,,0.0
2013,Female,,Other bacterial intestinal infections,,14.60256473
2013,Female,,Amoebiasis,,0.0
2013,Female,,Other protozoal intestinal diseases,,0.034603234
2013,Female,,Viral and other specified intestinal infections,,1.937781102
2013,Female,,Other gastroenteritis and colitis of infectious and unspecified origin,,17.16320404
2013,Female,,Hookworm diseases,,0.0
2013,Female,,Ascariasis,,0.0
2013,Female,,Trichuriasis,,0.0
2013,Female,,Kwashiorkor,,0.0
2013,Female,,Nutritional marasmus,,0.138412936
2013,Female,,Marasmic kwashiorkor,,0.0
2013,Female,,Unspecified severe protein-energy malnutrition,,0.138412936
2013,Female,,Protein-energy malnutrition of moderate and mild degree,,0.0
2013,Female,,Retarded development following protein-energy malnutrition,,0.0
2013,Female,,Unspecified protein-energy malnutrition,,1.176509955
2013,,England,,E92000001,27.64276276
2013,,England,Cholera,E92000001,0.0
2013,,England,Typhoid and paratyphoid fevers,E92000001,0.0
2013,,England,Shigellosis,E92000001,0.0
2013,,England,Other bacterial intestinal infections,E92000001,10.73036728
2013,,England,Amoebiasis,E92000001,0.0
2013,,England,Other protozoal intestinal diseases,E92000001,0.018564649
2013,,England,Viral and other specified intestinal infections,E92000001,1.633689135
2013,,England,Other gastroenteritis and colitis of infectious and unspecified origin,E92000001,14.0163101999999
2013,,England,Hookworm diseases,E92000001,0.0
2013,,England,Ascariasis,E92000001,0.0
2013,,England,Trichuriasis,E92000001,0.0
2013,,England,Kwashiorkor,E92000001,0.0
2013,,England,Nutritional marasmus,E92000001,0.111387896
2013,,England,Marasmic kwashiorkor,E92000001,0.0
2013,,England,Unspecified severe protein-energy malnutrition,E92000001,0.055693948
2013,,England,Protein-energy malnutrition of moderate and mild degree,E92000001,0.0
2013,,England,Retarded development following protein-energy malnutrition,E92000001,0.0
2013,,England,Unspecified protein-energy malnutrition,E92000001,1.076749657
2013,Male,England,,E92000001,21.36883479
2013,Male,England,Cholera,E92000001,0.0
2013,Male,England,Typhoid and paratyphoid fevers,E92000001,0.0
2013,Male,England,Shigellosis,E92000001,0.0
2013,Male,England,Other bacterial intestinal infections,E92000001,8.065133414
2013,Male,England,Amoebiasis,E92000001,0.0
2013,Male,England,Other protozoal intestinal diseases,E92000001,0.0
2013,Male,England,Viral and other specified intestinal infections,E92000001,1.243688798
2013,Male,England,Other gastroenteritis and colitis of infectious and unspecified origin,E92000001,11.00476148
2013,Male,England,Hookworm diseases,E92000001,0.0
2013,Male,England,Ascariasis,E92000001,0.0
2013,Male,England,Trichuriasis,E92000001,0.0
