Year,Sex,Age,Occupation category,Occupation sub-category,Value
2004,,,,,12
2004,,18 to 21,,,6.31
2004,,22 to 29,,,9.99
2004,,30 to 39,,,12.89
2004,,30 to 49,,,13.42
2004,,50 to 59,,,12.05
2004,,18 to 21,"Managers, directors and senior officials",,7.4
2004,,22 to 29,"Managers, directors and senior officials",,12.86
2004,,30 to 39,"Managers, directors and senior officials",,18.53
2004,,30 to 49,"Managers, directors and senior officials",,20.65
2004,,50 to 59,"Managers, directors and senior officials",,19.63
2004,,60 and over,"Managers, directors and senior officials",,16.07
2004,,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,7.8
2004,,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,13.58
2004,,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,19.32
2004,,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,21.57
2004,,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,20.25
2004,,60 and over,"Managers, directors and senior officials",Corporate managers and directors,16.91
2004,,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,6.64
2004,,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,9.98
2004,,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,14.11
2004,,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,15.62
2004,,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,16.68
2004,,60 and over,"Managers, directors and senior officials",Other managers and proprietors,12.94
2004,,18 to 21,Professional occupations,,8.7
2004,,22 to 29,Professional occupations,,14.78
2004,,30 to 39,Professional occupations,,18.47
2004,,30 to 49,Professional occupations,,19.87
2004,,50 to 59,Professional occupations,,20.12
2004,,60 and over,Professional occupations,,17.94
2004,,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",8.02
2004,,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",13.84
2004,,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",17.15
2004,,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",18.57
2004,,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",17.87
2004,,60 and over,Professional occupations,"Science, research, engineering and technology professionals",15.21
2004,,18 to 21,Professional occupations,Health professionals,8.4
2004,,22 to 29,Professional occupations,Health professionals,18.73
2004,,30 to 39,Professional occupations,Health professionals,26.03
2004,,30 to 49,Professional occupations,Health professionals,33.2
2004,,50 to 59,Professional occupations,Health professionals,34.47
2004,,60 and over,Professional occupations,Health professionals,37.81
2004,,18 to 21,Professional occupations,Teaching and educational professionals,9.95
2004,,22 to 29,Professional occupations,Teaching and educational professionals,13.79
2004,,30 to 39,Professional occupations,Teaching and educational professionals,17.05
2004,,30 to 49,Professional occupations,Teaching and educational professionals,18.99
2004,,50 to 59,Professional occupations,Teaching and educational professionals,20.43
2004,,60 and over,Professional occupations,Teaching and educational professionals,19.2
2004,,18 to 21,Professional occupations,"Business, media and public service professionals",8.39
2004,,22 to 29,Professional occupations,"Business, media and public service professionals",16.06
2004,,30 to 39,Professional occupations,"Business, media and public service professionals",19.87
2004,,30 to 49,Professional occupations,"Business, media and public service professionals",18.71
2004,,50 to 59,Professional occupations,"Business, media and public service professionals",17.9
