Year,Sex,Value
2002,,86.84202157
2003,,86.86847029
2004,,86.97294279
2005,,86.27084772
2006,,85.82851145
2007,,86.18452099
2008,,86.07275794
2009,,84.73818316
2010,,84.66307255
2011,,83.87858239
2012,,84.4369121
2013,,85.23277936
2014,,86.68427409
2015,,87.71314213
2016,,88.19446131
2002,Male,88.92080974
2003,Male,89.27136479
2004,Male,89.29179562
2005,Male,88.22436442
2006,Male,87.67213896
2007,Male,88.18489897
2008,Male,88.12380151
2009,Male,86.20830904
2010,Male,86.25415907
2011,Male,84.9651789
2012,Male,85.43879387
2013,Male,86.32990053
2014,Male,87.9827286
2015,Male,88.92963862
2016,Male,88.6102435
2002,Female,84.74498203
2003,Female,84.446187
2004,Female,84.63633198
2005,Female,84.31159979
2006,Female,83.97787534
2007,Female,84.16920515
2008,Female,84.0153676
2009,Female,83.26533304
2010,Female,83.05633834
2011,Female,82.77350332
2012,Female,83.41151192
2013,Female,84.10514038
2014,Female,85.34442014
2015,Female,86.4545825
2016,Female,87.76240871
