Year,Geography,Sex,Age group,Value
2008,,,,1.002850489
2009,,,,0.957268467
2010,,,,0.815813317
2011,,,,0.930708146
2012,,,,0.869633057
2013,,,,0.64580887
2014,,,,0.75545594
2015,,,,0.701888744
2016,,,,0.690043303
2008,,,,1.002850489
2009,,,,0.957268467
2010,,,,0.815813317
2011,,,,0.930708146
2012,,,,0.869633057
2013,,,,0.64580887
2014,,,,0.75545594
2015,,,,0.701888744
2016,,,,0.690043303
2008,,Male,,1.372909065
2008,,Female,,0.59955939
2008,London,,,1.766476651
2008,East Midlands,,,1.283458583
2008,East of England,,,0.963500836
2008,North West,,,1.767610393
2008,South East,,,0.984999642
2008,South West,,,0.845333872
2008,West Midlands,,,0.745964514
2008,Yorkshire and The Humber,,,1.173375908
2008,North East,,,0.700576652
2008,London,Male,,2.443070607
2008,London,Female,,1.059390437
2008,East Midlands,Male,,1.644780426
2008,East Midlands,Female,,0.754756185
2008,East of England,Female,,0.688519353
2008,East of England,Male,,1.212741202
2008,North West,Female,,1.042447916
2008,North West,Male,,2.493246967
2008,South East,Female,,0.558678465
2008,South East,Male,,1.331542771
2008,South West,Female,,0.60186352
2008,South West,Male,,1.020955504
2008,West Midlands,Female,,0.501561289
2008,West Midlands,Male,,0.961198629
2008,Yorkshire and The Humber,Female,,0.491032611
2008,Yorkshire and The Humber,Male,,1.881472707
2008,North East,Female,,0.45563276
2008,North East,Male,,0.958112901
2008,,,0 to 20,0.330032291
2008,,Male,0 to 20,0.298241086
2008,,Female,0 to 20,0.350246658
2008,London,,0 to 20,0.643705844
2008,East Midlands,,0 to 20,0.354695144
2008,East of England,,0 to 20,0.277126338
2008,North West,,0 to 20,0.722818949
2008,South East,,0 to 20,0.42018376
2008,West Midlands,,0 to 20,0.206550686
2008,North East,,0 to 20,0.467041649
2008,London,Male,0 to 20,0.390353582
2008,London,Female,0 to 20,0.90466445
2008,East Midlands,Male,0 to 20,0.519991056
2008,North West,Female,0 to 20,0.56835297
2008,North West,Male,0 to 20,0.870720815
2008,South East,Female,0 to 20,0.382908496
2008,South East,Male,0 to 20,0.455670547
2008,,,21 to 40,1.854638418
2008,,Female,21 to 40,1.216018338
2008,,Male,21 to 40,2.402948823
2008,London,,21 to 40,2.589001355
2008,East Midlands,,21 to 40,2.251265471
2008,East of England,,21 to 40,1.424215461
2008,North West,,21 to 40,3.694565891
2008,South East,,21 to 40,1.867188265
2008,South West,,21 to 40,1.88613705
2008,West Midlands,,21 to 40,1.102791925
2008,Yorkshire and The Humber,,21 to 40,2.653533826
2008,North East,,21 to 40,1.069160968
2008,London,Male,21 to 40,3.469657842
2008,London,Female,21 to 40,1.634245835
2008,East Midlands,Male,21 to 40,2.431864371
2008,East Midlands,Female,21 to 40,1.55382448
2008,East of England,Female,21 to 40,1.352177276
2008,East of England,Male,21 to 40,1.496704529
2008,North West,Female,21 to 40,2.375143048
2008,North West,Male,21 to 40,4.921900379
2008,South East,Female,21 to 40,0.996392155
2008,South East,Male,21 to 40,2.564497102
2008,South West,Female,21 to 40,1.74054764
2008,South West,Male,21 to 40,1.873662088
2008,West Midlands,Female,21 to 40,0.964991487
2008,West Midlands,Male,21 to 40,1.240578496
2008,Yorkshire and The Humber,Female,21 to 40,1.004524666
2008,Yorkshire and The Humber,Male,21 to 40,4.300951944
2008,North East,Female,21 to 40,0.905261379
2008,North East,Male,21 to 40,1.23715294
2008,,,41 to 60,1.064454418
2008,,Female,41 to 60,0.481567058
2008,,Male,41 to 60,1.635085543
2008,London,,41 to 60,2.005254852
2008,East Midlands,,41 to 60,1.487284953
2008,East of England,,41 to 60,1.103098864
2008,North West,,41 to 60,1.659751926
2008,South East,,41 to 60,1.006500241
2008,South West,,41 to 60,1.057598954
2008,West Midlands,,41 to 60,0.90481046
2008,Yorkshire and The Humber,,41 to 60,1.016257949
2008,North East,,41 to 60,0.979083969
2008,London,Male,41 to 60,3.184374166
2008,London,Female,41 to 60,0.856113992
2008,East Midlands,Male,41 to 60,2.322626027
2008,East Midlands,Female,41 to 60,0.658443801
2008,East of England,Female,41 to 60,0.514120975
2008,East of England,Male,41 to 60,1.703608768
2008,North West,Female,41 to 60,0.850285909
2008,North West,Male,41 to 60,2.481419026
2008,South East,Female,41 to 60,0.521164943
2008,South East,Male,41 to 60,1.41108531
2008,South West,Female,41 to 60,0.41617073
2008,South West,Male,41 to 60,1.720555912
2008,West Midlands,Male,41 to 60,1.538377627
2008,Yorkshire and The Humber,Female,41 to 60,0.722704186
2008,Yorkshire and The Humber,Male,41 to 60,1.312418247
2008,North East,Male,41 to 60,1.705330294
2008,,,61 and over,0.470559227
2008,,Female,61 and over,0.227343352
2008,,Male,61 and over,0.752672908
2008,London,,61 and over,0.797990483
2008,East of England,,61 and over,0.800412372
2008,North West,,61 and over,0.75770987
2008,South East,,61 and over,0.38813031
2008,South West,,61 and over,0.238040451
2008,West Midlands,,61 and over,0.778422812
2008,Yorkshire and The Humber,,61 and over,0.739893973
2008,London,Male,61 and over,1.400098007
2008,East of England,Female,61 and over,0.438898073
2008,East of England,Male,61 and over,1.237129436
2008,North West,Male,61 and over,1.386193513
2008,South East,Female,61 and over,0.301215102
2008,South East,Male,61 and over,0.49532414
2008,West Midlands,Female,61 and over,0.631334056
2008,West Midlands,Male,61 and over,0.956745534
2008,Yorkshire and The Humber,Male,61 and over,1.448981366
2009,,Male,,1.188908291
2009,,Female,,0.50428208
2009,London,,,1.762648324
2009,East Midlands,,,0.849797603
2009,East of England,,,0.851960108
2009,North West,,,1.617484637
2009,South East,,,1.02462371
2009,South West,,,0.784415613
2009,West Midlands,,,0.723588085
2009,Yorkshire and The Humber,,,1.052965303
2009,North East,,,1.281333954
2009,London,Male,,1.328958334
2009,London,Female,,0.694831323
2009,East Midlands,Male,,0.862343241
2009,East Midlands,Female,,0.529017958
2009,East of England,Female,,0.649560436
2009,East of England,Male,,1.026044549
2009,North West,Female,,0.646092279
2009,North West,Male,,2.59755952
2009,South East,Female,,0.623996694
2009,South East,Male,,1.416914987
2009,South West,Female,,0.299790634
2009,South West,Male,,1.289923121
2009,West Midlands,Female,,0.570153058
2009,West Midlands,Male,,0.845046722
2009,Yorkshire and The Humber,Female,,0.676996378
2009,Yorkshire and The Humber,Male,,1.325773306
2009,North East,Female,,0.682345449
2009,North East,Male,,1.910126936
2009,,,0 to 20,0.290941327
2009,,Male,0 to 20,0.297075809
2009,,Female,0 to 20,0.206932176
2009,London,,0 to 20,0.389825933
2009,East Midlands,,0 to 20,0.264759457
2009,North West,,0 to 20,0.445743291
2009,South East,,0 to 20,0.557294262
2009,South West,,0 to 20,0.23913014
2009,North East,,0 to 20,1.094988706
2009,North West,Female,0 to 20,0.455900723
2009,North West,Male,0 to 20,0.436028608
2009,South East,Female,0 to 20,0.380955646
2009,South East,Male,0 to 20,0.725117152
2009,South West,Male,0 to 20,0.466968951
2009,North East,Female,0 to 20,1.281197151
2009,North East,Male,0 to 20,0.917240452
2009,,,21 to 40,1.162235505
2009,,Female,21 to 40,0.6020589
2009,,Male,21 to 40,1.298682731
2009,London,,21 to 40,2.099928602
2009,East Midlands,,21 to 40,1.306289085
2009,East of England,,21 to 40,0.884078895
2009,North West,,21 to 40,2.179422006
2009,South East,,21 to 40,1.234426792
2009,South West,,21 to 40,0.395579009
2009,West Midlands,,21 to 40,0.969051271
2009,Yorkshire and The Humber,,21 to 40,0.648867978
2009,North East,,21 to 40,1.991934199
2009,London,Male,21 to 40,1.401560357
2009,London,Female,21 to 40,0.629256659
2009,East Midlands,Male,21 to 40,0.874990156
2009,East Midlands,Female,21 to 40,1.040120931
2009,East of England,Female,21 to 40,0.542396416
2009,East of England,Male,21 to 40,1.227849258
2009,North West,Female,21 to 40,0.649524981
2009,North West,Male,21 to 40,3.620020689
2009,South East,Female,21 to 40,0.908592009
2009,South East,Male,21 to 40,1.564446931
