Year,Sex,Relationship to perpetrator,Value
2004,Male,,1.16
2004,Female,,3.43
2004,,,2.3
2004,Male,Partner,0.22
2004,Female,Partner,0.46
2004,,Partner,0.34
2004,Male,Family member,0.01
2004,Female,Family member,0.05
2004,,Family member,0.03
2005,Male,,1.05
2005,Female,,3.89
2005,,,2.52
2005,Male,Partner,0
2005,Female,Partner,0.62
2005,,Partner,0.33
2005,Male,Family member,0.03
2005,Female,Family member,0.04
2005,,Family member,0.04
2006,Male,,1.22
2006,Female,,3.97
2006,,,2.62
2006,Male,Partner,0.13
2006,Female,Partner,0.54
2006,,Partner,0.35
2006,Male,Family member,0.01
2006,Female,Family member,0.06
2006,,Family member,0.03
2007,Male,,0.74
2007,Female,,3.54
2007,,,2.22
2007,Male,Partner,0.14
2007,Female,Partner,0.49
2007,,Partner,0.32
2007,Male,Family member,0.01
2007,Female,Family member,0.08
2007,,Family member,0.04
2008,Male,,0.69
2008,Female,,2.98
2008,,,1.89
2008,Male,Partner,0.18
2008,Female,Partner,0.27
2008,,Partner,0.22
2008,Male,Family member,0.01
2008,Female,Family member,0.04
2008,,Family member,0.02
2009,Male,,1.02
2009,Female,,2.75
2009,,,1.87
2009,Male,Partner,0.2
2009,Female,Partner,0.44
2009,,Partner,0.32
2009,Male,Family member,0
2009,Female,Family member,0.03
2009,,Family member,0.02
2010,Male,,0.85
2010,Female,,2.92
2010,,,1.91
2010,Male,Partner,0.15
2010,Female,Partner,0.45
2010,,Partner,0.3
2010,Male,Family member,0
2010,Female,Family member,0.09
2010,,Family member,0.04
2011,Male,,0.8
2011,Female,,3.35
2011,,,2.12
2011,Male,Partner,0
2011,Female,Partner,0.4
2011,,Partner,0.21
2011,Male,Family member,0
2011,Female,Family member,0.02
2011,,Family member,0.01
2012,Male,,0.79
2012,Female,,2.35
2012,,,1.57
2012,Male,Partner,0.12
2012,Female,Partner,0.24
2012,,Partner,0.18
2012,Male,Family member,0.01
2012,Female,Family member,0.03
2012,,Family member,0.02
2013,Male,,0.67
2013,Female,,1.81
2013,,,1.25
2013,Male,Partner,0.08
2013,Female,Partner,0.21
2013,,Partner,0.15
2013,Male,Family member,0.03
2013,Female,Family member,0.04
2013,,Family member,0.04
2014,Male,,0.62
2014,Female,,2.37
2014,,,1.51
2014,Male,Partner,0.04
2014,Female,Partner,0.33
2014,,Partner,0.19
2014,Male,Family member,0
2014,Female,Family member,0.04
2014,,Family member,0.02
2015,Male,,0.59
2015,Female,,2.82
2015,,,1.72
2015,Male,Partner,0.07
2015,Female,Partner,0.38
2015,,Partner,0.23
2015,Male,Family member,0
2015,Female,Family member,0.02
2015,,Family member,0.01
