Year,Sex,Abuse perpeprator,Abuse type,Abuse category,Region,Threats or force,Age,Ethnicity,Ethnic group,Marital status,Employment status,Occupation,Highest qualification,Disability status,Hours out of home on an average weekday,Structure of household,Household income,Tenure,Accommodation type,Output area classification,Area type,Level of physical disorder,Employment deprivation index,Value
2004,,,,,,,,,,,,,,,,,,,,,,,,8.855837141
2005,,,,,,,,,,,,,,,,,,,,,,,,8.973245101
2006,,,,,,,,,,,,,,,,,,,,,,,,8.836310387
2008,,,,,,,,,,,,,,,,,,,,,,,,6.511476682
2009,,,,,,,,,,,,,,,,,,,,,,,,6.63869138
2010,,,,,,,,,,,,,,,,,,,,,,,,6.936374649
2011,,,,,,,,,,,,,,,,,,,,,,,,6.998151441
2012,,,,,,,,,,,,,,,,,,,,,,,,6.58526695
2013,,,,,,,,,,,,,,,,,,,,,,,,6.509398699
2014,,,,,,,,,,,,,,,,,,,,,,,,6.07859063
2015,,,,,,,,,,,,,,,,,,,,,,,,6.050634822
2016,,,,,,,,,,,,,,,,,,,,,,,,5.892692217
2014,Male,,,,,,,,,,,,,,,,,,,,,,,3.959105089
2014,Male,,,,,,16-19,,,,,,,,,,,,,,,,,6.581383441
2014,Male,,,,,,20-24,,,,,,,,,,,,,,,,,4.963839909
2014,Male,,,,,,25-34,,,,,,,,,,,,,,,,,3.766163665
2014,Male,,,,,,35-44,,,,,,,,,,,,,,,,,3.541401873
2014,Male,,,,,,45-54,,,,,,,,,,,,,,,,,3.949990316
2014,Male,,,,,,55-59,,,,,,,,,,,,,,,,,2.015499216
2014,Male,,,,,,,White,,,,,,,,,,,,,,,,4.159146086
2014,Male,,,,,,,White,"English, Welsh, Scottish, Northern Irish or British",,,,,,,,,,,,,,,4.256872716
2014,Male,,,,,,,White,Irish,,,,,,,,,,,,,,,8.880667483
2014,Male,,,,,,,White,Any other white background,,,,,,,,,,,,,,,2.339616177
2014,Male,,,,,,,Mixed or multiple ethnic groups,,,,,,,,,,,,,,,,1.871062191
2014,Male,,,,,,,Asian or Asian British,,,,,,,,,,,,,,,,1.969405327
2014,Male,,,,,,,Asian or Asian British,Indian,,,,,,,,,,,,,,,3.790667529
2014,Male,,,,,,,Asian or Asian British,Pakistani,,,,,,,,,,,,,,,1.45797788
2014,Male,,,,,,,Asian or Asian British,Any other Asian background,,,,,,,,,,,,,,,0
2014,Male,,,,,,,"Black, African, Caribbean or Black British",,,,,,,,,,,,,,,,6.140254008
2014,Male,,,,,,,"Black, African, Caribbean or Black British",African,,,,,,,,,,,,,,,2.408465806
2014,Male,,,,,,,"Black, African, Caribbean or Black British",Caribbean,,,,,,,,,,,,,,,5.671371899
2014,Male,,,,,,,Other ethnic group,,,,,,,,,,,,,,,,0
2014,Male,,,,,,,,,Married,,,,,,,,,,,,,,2.445259159
2014,Male,,,,,,,,,Cohabiting,,,,,,,,,,,,,,4.774966459
2014,Male,,,,,,,,,Single,,,,,,,,,,,,,,4.947250071
2014,Male,,,,,,,,,Separated,,,,,,,,,,,,,,9.442514697
2014,Male,,,,,,,,,Divorced,,,,,,,,,,,,,,8.910225708
2014,Male,,,,,,,,,,Employed,,,,,,,,,,,,,3.725436495
2014,Male,,,,,,,,,,Unemployed,,,,,,,,,,,,,5.220603262
2014,Male,,,,,,,,,,Inactive,,,,,,,,,,,,,5.103491195
2014,Male,,,,,,,,,,Student,,,,,,,,,,,,,4.391707293
2014,Male,,,,,,,,,,Looking after family or home,,,,,,,,,,,,,4.566215845
2014,Male,,,,,,,,,,Long-term or temporarily ill,,,,,,,,,,,,,7.625905264
2014,Male,,,,,,,,,,Retired,,,,,,,,,,,,,1.089692236
2014,Male,,,,,,,,,,Other inactive,,,,,,,,,,,,,6.050272724
2014,Male,,,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,3.141096255
2014,Male,,,,,,,,,,,Intermediate occupations,,,,,,,,,,,,4.268252222
2014,Male,,,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,4.214692569
2014,Male,,,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,7.154905867
2014,Male,,,,,,,,,,,Full-time students,,,,,,,,,,,,4.577911482
2014,Male,,,,,,,,,,,,Degree or diploma,,,,,,,,,,,3.67862421
2014,Male,,,,,,,,,,,,"Apprenticeship, A level or AS level",,,,,,,,,,,4.181870404
2014,Male,,,,,,,,,,,,O level or GCSE,,,,,,,,,,,4.177791376
2014,Male,,,,,,,,,,,,Other,,,,,,,,,,,3.515475319
2014,Male,,,,,,,,,,,,No qualifications,,,,,,,,,,,4.485220971
2014,Male,,,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,8.780560066
2014,Male,,,,,,,,,,,,,Long-standing illness or disability: Limits activities,,,,,,,,,,8.313574987
2014,Male,,,,,,,,,,,,,Long-standing illness or disability: Does not limit activities,,,,,,,,,,9.737117689
2014,Male,,,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,3.244652394
2014,Male,,,,,,,,,,,,,,Less than 3 hours,,,,,,,,,4.214521096
2014,Male,,,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,4.129121027
2014,Male,,,,,,,,,,,,,,7 hours or longer,,,,,,,,,3.862103307
2014,Male,,,,,,,,,,,,,,,No children,,,,,,,,3.997918092
2014,Male,,,,,,,,,,,,,,,Adults and child(ren),,,,,,,,3.681927996
2014,Male,,,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,18.25854683
2014,Male,,,,,,,,,,,,,,,,"Less than £10,000",,,,,,,8.140935201
2014,Male,,,,,,,,,,,,,,,,"£10,000 to less than £20,000",,,,,,,4.705967489
2014,Male,,,,,,,,,,,,,,,,"£20,000 to less than £30,000",,,,,,,3.619043353
2014,Male,,,,,,,,,,,,,,,,"£30,000 to less than £40,000",,,,,,,3.791556632
2014,Male,,,,,,,,,,,,,,,,"£40,000 to less than £50,000",,,,,,,4.076167821
2014,Male,,,,,,,,,,,,,,,,"£50,000 or more",,,,,,,3.420695347
2014,Male,,,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,3.574796218
2014,Male,,,,,,,,,,,,,,,,,Owner occupiers,,,,,,3.077689995
2014,Male,,,,,,,,,,,,,,,,,Social renters,,,,,,7.151689203
2014,Male,,,,,,,,,,,,,,,,,Private renters,,,,,,4.236250771
2014,Male,,,,,,,,,,,,,,,,,,Houses,,,,,3.908155636
2014,Male,,,,,,,,,,,,,,,,,,Detached,,,,,3.177283768
2014,Male,,,,,,,,,,,,,,,,,,Semi-detached,,,,,3.729536525
2014,Male,,,,,,,,,,,,,,,,,,Terraced,,,,,4.585821279
2014,Male,,,,,,,,,,,,,,,,,,Flats or maisonettes,,,,,4.454449025
2014,Male,,,,,,,,,,,,,,,,,,,Rural residents,,,,3.811743419
