Year,Offence category,Offence sub-category,Value
2002,,,103.1982099
2002,Violence against the person,,13.53594916
2002,Violence against the person,Homicide,0.019996189
2002,Violence against the person,Violence with injury,7.10930398
2002,Violence against the person,Violence without injury,6.406648987
2002,Sexual offences,,1.081971425
2002,Sexual offences,Rape,0.234816753
2002,Sexual offences,Other sexual offences,0.847154672
2002,Robbery,,2.106016928
2002,Robbery,Robbery of business property,0.211344627
2002,Robbery,Robbery of personal property,1.894672301
2002,Theft offences,,65.18946589
2002,Theft offences,Burglary,16.99960607
2002,Theft offences,Vehicle offences,20.52443567
2002,Theft offences,Theft from the person,2.835906463
2002,Theft offences,Bicycle theft,1.866979394
2002,Theft offences,Shoplifting,5.937378354
2002,Theft offences,All other theft offences,17.02515994
2002,Criminal damage and arson,,21.2848065
2002,Criminal damage and arson,Arson,1.0227659
2002,Criminal damage and arson,Criminal damage,20.2620406
2003,,,103.0937846
2003,Violence against the person,,15.19419085
2003,Violence against the person,Homicide,0.017185612
2003,Violence against the person,Violence with injury,8.701755744
2003,Violence against the person,Violence without injury,6.475249497
2003,Sexual offences,,1.14847032
2003,Sexual offences,Rape,0.252309112
2003,Sexual offences,Other sexual offences,0.896161208
2003,Robbery,,1.972086955
2003,Robbery,Robbery of business property,0.192197493
2003,Robbery,Robbery of personal property,1.779889462
2003,Theft offences,,61.7778443
2003,Theft offences,Burglary,15.58896564
2003,Theft offences,Vehicle offences,18.7255869
2003,Theft offences,Theft from the person,2.607384266
2003,Theft offences,Bicycle theft,2.004994359
2003,Theft offences,Shoplifting,5.764689093
2003,Theft offences,All other theft offences,17.08622403
2003,Criminal damage and arson,,23.00119218
2003,Criminal damage and arson,Arson,1.093985848
2003,Criminal damage and arson,Criminal damage,21.90720633
2004,,,95.01775128
2004,Violence against the person,,15.99737421
2004,Violence against the person,Homicide,0.016419728
2004,Violence against the person,Violence with injury,9.744370937
2004,Violence against the person,Violence without injury,6.23658354
2004,Sexual offences,,1.152483319
2004,Sexual offences,Rape,0.265080243
2004,Sexual offences,Other sexual offences,0.887403076
2004,Robbery,,1.721612286
2004,Robbery,Robbery of business property,0.150085396
2004,Robbery,Robbery of personal property,1.57152689
2004,Theft offences,,53.6830907
2004,Theft offences,Burglary,12.87015374
2004,Theft offences,Vehicle offences,15.51354081
2004,Theft offences,Theft from the person,2.309374238
2004,Theft offences,Bicycle theft,2.004285095
2004,Theft offences,Shoplifting,5.318005681
2004,Theft offences,All other theft offences,15.66773114
2004,Criminal damage and arson,,22.46319077
2004,Criminal damage and arson,Arson,0.914964762
2004,Criminal damage and arson,Criminal damage,21.54822601
2005,,,92.38101986
2005,Violence against the person,,15.77877884
2005,Violence against the person,Homicide,0.014373865
2005,Violence against the person,Violence with injury,10.2253871
2005,Violence against the person,Violence without injury,5.539017876
2005,Sexual offences,,1.134237189
2005,Sexual offences,Rape,0.27173002
2005,Sexual offences,Other sexual offences,0.862507169
2005,Robbery,,1.847493215
2005,Robbery,Robbery of business property,0.164810287
2005,Robbery,Robbery of personal property,1.682682928
2005,Theft offences,,51.53578165
2005,Theft offences,Burglary,12.13628336
2005,Theft offences,Vehicle offences,14.91610235
2005,Theft offences,Theft from the person,2.330428746
2005,Theft offences,Bicycle theft,2.129589727
2005,Theft offences,Shoplifting,5.568913258
2005,Theft offences,All other theft offences,14.45446422
2005,Criminal damage and arson,,22.08472897
2005,Criminal damage and arson,Arson,0.860381191
2005,Criminal damage and arson,Criminal damage,21.22434778
2006,,,89.37353887
2006,Violence against the person,,15.20970197
2006,Violence against the person,Homicide,0.0141483
2006,Violence against the person,Violence with injury,9.450709443
2006,Violence against the person,Violence without injury,5.744844228
2006,Sexual offences,,1.0460409
2006,Sexual offences,Rape,0.257095881
2006,Sexual offences,Other sexual offences,0.788945019
2006,Robbery,,1.892213737
2006,Robbery,Robbery of business property,0.176461773
2006,Robbery,Robbery of personal property,1.715751964
2006,Theft offences,,49.2537024
2006,Theft offences,Burglary,11.61004233
2006,Theft offences,Vehicle offences,14.27923663
2006,Theft offences,Theft from the person,2.143747358
2006,Theft offences,Bicycle theft,2.063001258
2006,Theft offences,Shoplifting,5.49286264
2006,Theft offences,All other theft offences,13.66481219
2006,Criminal damage and arson,,21.97187986
2006,Criminal damage and arson,Arson,0.804474551
2006,Criminal damage and arson,Criminal damage,21.16740531
2007,,,80.41548332
2007,Violence against the person,,13.87890913
2007,Violence against the person,Homicide,0.014364926
2007,Violence against the person,Violence with injury,8.382573518
2007,Violence against the person,Violence without injury,5.481970684
2007,Sexual offences,,0.966917039
2007,Sexual offences,Rape,0.234898969
2007,Sexual offences,Other sexual offences,0.73201807
2007,Robbery,,1.571300428
2007,Robbery,Robbery of business property,0.170025112
2007,Robbery,Robbery of personal property,1.401275316
2007,Theft offences,,44.90620297
2007,Theft offences,Burglary,10.8192912
2007,Theft offences,Vehicle offences,12.16761091
2007,Theft offences,Theft from the person,1.884307522
2007,Theft offences,Bicycle theft,1.927680329
2007,Theft offences,Shoplifting,5.387366065
2007,Theft offences,All other theft offences,12.71994694
2007,Criminal damage and arson,,19.09215376
2007,Criminal damage and arson,Arson,0.728941195
2007,Criminal damage and arson,Criminal damage,18.36321256
2008,,,75.22386806
2008,Violence against the person,,13.03625664
2008,Violence against the person,Homicide,0.012208712
2008,Violence against the person,Violence with injury,7.734200603
2008,Violence against the person,Violence without injury,5.289847323
2008,Sexual offences,,0.922732239
2008,Sexual offences,Rape,0.240791101
2008,Sexual offences,Other sexual offences,0.681941138
2008,Robbery,,1.473319405
2008,Robbery,Robbery of business property,0.171914844
2008,Robbery,Robbery of personal property,1.301404561
2008,Theft offences,,42.68599605
2008,Theft offences,Burglary,10.6933607
2008,Theft offences,Vehicle offences,10.88217284
2008,Theft offences,Theft from the person,1.648396746
2008,Theft offences,Bicycle theft,1.915315226
2008,Theft offences,Shoplifting,5.897304287
2008,Theft offences,All other theft offences,11.64944625
2008,Criminal damage and arson,,17.10556373
2008,Criminal damage and arson,Arson,0.640350617
2008,Criminal damage and arson,Criminal damage,16.46521311
2009,,,68.56799896
2009,Violence against the person,,12.7459715
2009,Violence against the person,Homicide,0.011305262
2009,Violence against the person,Violence with injury,7.316400726
2009,Violence against the person,Violence without injury,5.41826551
