Year,Country,Sex,GeoCode,Value
2000,,,,6.55
2001,,,,6.44
2002,,,,6.19
2003,,,,6.25
2004,,,,5.86
2005,,,,5.9
2006,,,,5.75
2007,,,,5.55
2008,,,,5.32
2009,,,,5.18
2010,,,,4.9
2011,,,,4.81
2012,,,,4.58
2013,,,,4.47
2014,,,,4.23
2015,,,,4.29
2000,,Male,,7.19
2000,,Female,,5.88
2000,England and Wales,,K04000001,6.55
2000,England and Wales,Male,K04000001,7.17
2000,England and Wales,Female,K04000001,5.89
2000,England,,E92000001,6.49
2000,England,Male,E92000001,7.11
2000,England,Female,E92000001,5.85
2000,Wales,,W92000004,6.23
2000,Wales,Male,W92000004,7.26
2000,Wales,Female,W92000004,5.12
2000,Scotland,,S92000003,6.71
2000,Scotland,Male,S92000003,7.57
2000,Scotland,Female,S92000003,5.87
2000,Northern Ireland,,N92000002,6.14
2000,Northern Ireland,Male,N92000002,6.56
2000,Northern Ireland,Female,N92000002,5.68
2001,,Male,,6.97
2001,,Female,,5.88
2001,England and Wales,,K04000001,6.44
2001,England and Wales,Male,K04000001,6.98
2001,England and Wales,Female,K04000001,5.87
2001,England,,E92000001,6.37
2001,England,Male,E92000001,6.92
2001,England,Female,E92000001,5.8
2001,Wales,,W92000004,6.37
2001,Wales,Male,W92000004,7.05
2001,Wales,Female,W92000004,5.65
2001,Scotland,,S92000003,6.32
2001,Scotland,Male,S92000003,6.61
2001,Scotland,Female,S92000003,6.02
2001,Northern Ireland,,N92000002,6.74
2001,Northern Ireland,Male,N92000002,7.62
2001,Northern Ireland,Female,N92000002,5.81
2002,,Male,,6.99
2002,,Female,,5.35
2002,England and Wales,,K04000001,6.17
2002,England and Wales,Male,K04000001,6.95
2002,England and Wales,Female,K04000001,5.34
2002,England,,E92000001,6.16
2002,England,Male,E92000001,6.94
2002,England,Female,E92000001,5.33
2002,Wales,,W92000004,5.33
2002,Wales,Male,W92000004,5.85
2002,Wales,Female,W92000004,4.78
2002,Scotland,,S92000003,6.55
2002,Scotland,Male,S92000003,7.67
2002,Scotland,Female,S92000003,5.39
2002,Northern Ireland,,N92000002,5.94
2002,Northern Ireland,Male,N92000002,6.53
2002,Northern Ireland,Female,N92000002,5.33
2003,,Male,,6.67
2003,,Female,,5.81
2003,England and Wales,,K04000001,6.26
2003,England and Wales,Male,K04000001,6.64
2003,England and Wales,Female,K04000001,5.87
2003,England,,E92000001,6.24
2003,England,Male,E92000001,6.62
2003,England,Female,E92000001,5.85
2003,Wales,,W92000004,5.19
2003,Wales,Male,W92000004,5.52
2003,Wales,Female,W92000004,4.84
2003,Scotland,,S92000003,6.18
2003,Scotland,Male,S92000003,6.73
2003,Scotland,Female,S92000003,5.6
2003,Northern Ireland,,N92000002,6.03
2003,Northern Ireland,Male,N92000002,7.42
2003,Northern Ireland,Female,N92000002,4.53
2004,,Male,,6.38
2004,,Female,,5.3
2004,England and Wales,,K04000001,5.84
2004,England and Wales,Male,K04000001,6.33
2004,England and Wales,Female,K04000001,5.32
2004,England,,E92000001,5.78
2004,England,Male,E92000001,6.28
2004,England,Female,E92000001,5.26
2004,Wales,,W92000004,5.63
2004,Wales,Male,W92000004,6.13
2004,Wales,Female,W92000004,5.1
2004,Scotland,,S92000003,5.82
2004,Scotland,Male,S92000003,6.81
2004,Scotland,Female,S92000003,4.77
2004,Northern Ireland,,N92000002,6.45
2004,Northern Ireland,Male,N92000002,6.71
2004,Northern Ireland,Female,N92000002,6.18
2005,,Male,,6.58
2005,,Female,,5.18
2005,England and Wales,,K04000001,5.82
2005,England and Wales,Male,K04000001,6.51
2005,England and Wales,Female,K04000001,5.1
2005,England,,E92000001,5.81
2005,England,Male,E92000001,6.49
2005,England,Female,E92000001,5.1
2005,Wales,,W92000004,4.69
2005,Wales,Male,W92000004,5.48
2005,Wales,Female,W92000004,3.86
2005,Scotland,,S92000003,6.33
2005,Scotland,Male,S92000003,6.84
2005,Scotland,Female,S92000003,5.78
2005,Northern Ireland,,N92000002,6.99
2005,Northern Ireland,Male,N92000002,7.94
2005,Northern Ireland,Female,N92000002,6.01
2006,,Male,,6.23
2006,,Female,,5.25
2006,England and Wales,,K04000001,5.77
2006,England and Wales,Male,K04000001,6.24
2006,England and Wales,Female,K04000001,5.29
2006,England,,E92000001,5.75
2006,England,Male,E92000001,6.19
2006,England,Female,E92000001,5.28
2006,Wales,,W92000004,4.85
2006,Wales,Male,W92000004,5.51
2006,Wales,Female,W92000004,4.15
2006,Scotland,,S92000003,5.3
2006,Scotland,Male,S92000003,5.83
2006,Scotland,Female,S92000003,4.74
2006,Northern Ireland,,N92000002,6.27
2006,Northern Ireland,Male,N92000002,7.08
2006,Northern Ireland,Female,N92000002,5.42
2007,,Male,,6.15
2007,,Female,,4.92
2007,England and Wales,,K04000001,5.54
2007,England and Wales,Male,K04000001,6.14
2007,England and Wales,Female,K04000001,4.9
2007,England,,E92000001,5.47
2007,England,Male,E92000001,6.02
2007,England,Female,E92000001,4.89
2007,Wales,,W92000004,5.49
2007,Wales,Male,W92000004,6.8
2007,Wales,Female,W92000004,4.11
2007,Scotland,,S92000003,5.59
2007,Scotland,Male,S92000003,6.03
2007,Scotland,Female,S92000003,5.13
2007,Northern Ireland,,N92000002,5.85
2007,Northern Ireland,Male,N92000002,6.79
2007,Northern Ireland,Female,N92000002,4.86
2008,,Male,,5.79
2008,,Female,,4.83
2008,England and Wales,,K04000001,5.35
2008,England and Wales,Male,K04000001,5.84
2008,England and Wales,Female,K04000001,4.84
2008,England,,E92000001,5.31
2008,England,Male,E92000001,5.79
2008,England,Female,E92000001,4.81
2008,Wales,,W92000004,4.57
2008,Wales,Male,W92000004,4.85
2008,Wales,Female,W92000004,4.28
2008,Scotland,,S92000003,4.86
2008,Scotland,Male,S92000003,5.3
2008,Scotland,Female,S92000003,4.41
2008,Northern Ireland,,N92000002,5.66
2008,Northern Ireland,Male,N92000002,5.76
2008,Northern Ireland,Female,N92000002,5.55
