Year,Country,Value
2000,,11.4
2000,England,12.3
2000,Wales,6.3
2000,Northern Ireland,3.4
2000,Scotland,8
2001,,11.4
2001,England,12.5
2001,Wales,6.3
2001,Northern Ireland,3.4
2001,Scotland,6.9
2002,,12.3
2002,England,13.4
2002,Wales,5.3
2002,Northern Ireland,3.9
2002,Scotland,7.8
2003,,12.1
2003,England,13.3
2003,Wales,5.6
2003,Northern Ireland,3.3
2003,Scotland,7.2
2004,,12.7
2004,England,13.8
2004,Wales,6.3
2004,Northern Ireland,4.7
2004,Scotland,7.7
2005,,13.7
2005,England,15.1
2005,Wales,6.2
2005,Northern Ireland,4.3
2005,Scotland,7.1
2006,,13.7
2006,England,15.1
2006,Wales,6.1
2006,Northern Ireland,3.5
2006,Scotland,7.4
2007,,13.5
2007,England,14.7
2007,Wales,6.8
2007,Northern Ireland,7.8
2007,Scotland,7.9
2008,,13.7
2008,England,15.1
2008,Wales,5.6
2008,Northern Ireland,3.7
2008,Scotland,8.6
2009,,14.2
2009,England,15.5
2009,Wales,7
2009,Northern Ireland,3.3
2009,Scotland,9.3
2010,,13.4
2010,England,14.6
2010,Wales,5
2010,Northern Ireland,3.7
2010,Scotland,9.6
2011,,14.1
2011,England,15.6
2011,Wales,4.3
2011,Northern Ireland,3.4
2011,Scotland,8.4
2012,,13.7
2012,England,15.1
2012,Wales,4.4
2012,Northern Ireland,4.8
2012,Scotland,7.6
2013,,12.3
2013,England,13.5
2013,Wales,4.6
2013,Northern Ireland,4
2013,Scotland,7.3
2014,,10.9
2014,England,11.9
2014,Wales,3.7
2014,Northern Ireland,5.2
2014,Scotland,6.4
2015,,9.6
2015,England,10.5
2015,Wales,3.7
2015,Northern Ireland,3.2
2015,Scotland,5.7
