Year,Occupation Category,Occupation,Value
2017,,,33.02076812
2016,,,31.73203899
2015,,,29.21684395
2014,,,30.50533451
2013,,,30.26765312
2012,,,30.30929642
2011,,,30.05450457
2017,Chief executives and senior officials,,35.49275391
2017,Chief executives and senior officials,Chief executives and senior officials,36.14096642
2017,Production managers and directors,,11.80299131
2017,Production managers and directors,Production managers and directors in manufacturing,13.57880163
2017,Production managers and directors,Production managers and directors in construction,9.097895756
2017,Functional managers and directors,,39.26960654
2017,Functional managers and directors,Financial managers and directors,41.29228556
2017,Functional managers and directors,Marketing and sales directors,27.67451897
2017,Functional managers and directors,Purchasing managers and directors,37.41947983
2017,Functional managers and directors,Advertising and public relations directors,39.95164228
2017,Functional managers and directors,Human resource managers and directors,58.61740407
2017,Functional managers and directors,Information technology and telecommunications directors,18.13364854
2017,Functional managers and directors,Functional managers and directors n.e.c.,44.34482865
2017,Financial institution managers and directors,,29.35966266
2017,Financial institution managers and directors,Financial institution managers and directors,29.35966266
2017,Managers and directors in transport and logistics,,20.82722524
2017,Managers and directors in transport and logistics,Managers and directors in transport and distribution,16.56277238
2017,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,24.95911059
2017,Health and social services managers and directors,,62.447406
2017,Health and social services managers and directors,Health services and public health managers and directors,57.73240595
2017,Health and social services managers and directors,Social services managers and directors,70.70035345
2017,Managers and proprietors in agriculture related services,,27.16659634
2017,Managers and proprietors in agriculture related services,Managers and proprietors in agriculture and horticulture,20.33297408
2017,Managers and proprietors in agriculture related services,"Managers and proprietors in forestry, fishing and related services",43.77283066
2017,Managers and proprietors in health and care services,,79.75667149
2017,Managers and proprietors in health and care services,Health care practice managers,87.17550386
2017,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",76.32509502
2016,Chief executives and senior officials,,23.5578164
2016,Chief executives and senior officials,Chief executives and senior officials,20.24186339
2016,Chief executives and senior officials,Elected officers and representatives,50.44074437
2016,Production managers and directors,,11.50587499
2016,Production managers and directors,Production managers and directors in manufacturing,12.61993302
2016,Production managers and directors,Production managers and directors in construction,9.394191706
2016,Functional managers and directors,,37.92701153
2016,Functional managers and directors,Financial managers and directors,39.5516632
2016,Functional managers and directors,Marketing and sales directors,23.49188123
2016,Functional managers and directors,Purchasing managers and directors,38.46749759
2016,Functional managers and directors,Advertising and public relations directors,49.55293861
2016,Functional managers and directors,Human resource managers and directors,65.10829215
2016,Functional managers and directors,Information technology and telecommunications directors,10.23565296
2016,Functional managers and directors,Functional managers and directors n.e.c.,39.40025968
2016,Financial institution managers and directors,,37.37312575
2016,Financial institution managers and directors,Financial institution managers and directors,37.37312575
2016,Managers and directors in transport and logistics,,21.34834423
2016,Managers and directors in transport and logistics,Managers and directors in transport and distribution,19.44966694
2016,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,22.74319689
2016,Senior officers in protective services,,11.35886782
2016,Health and social services managers and directors,,66.48881569
2016,Health and social services managers and directors,Health services and public health managers and directors,61.00518532
2016,Health and social services managers and directors,Social services managers and directors,73.44197708
2016,Managers and proprietors in agriculture related services,,40.38863643
2016,Managers and proprietors in agriculture related services,Managers and proprietors in agriculture and horticulture,23.43346109
2016,Managers and proprietors in agriculture related services,"Managers and proprietors in forestry, fishing and related services",68.71416871
2016,Managers and proprietors in health and care services,,83.44880971
2016,Managers and proprietors in health and care services,Health care practice managers,87.11090697
2016,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",81.39640799
2015,Chief executives and senior officials,,24.75089724
2015,Chief executives and senior officials,Chief executives and senior officials,24.87536115
2015,Production managers and directors,,9.852113047
2015,Production managers and directors,Production managers and directors in manufacturing,11.95718971
2015,Production managers and directors,Production managers and directors in construction,6.968423079
2015,Functional managers and directors,,34.25722857
2015,Functional managers and directors,Financial managers and directors,36.75021414
