Year,Units,Broad category area of spending,Lower level categories area of spending,Value
2000,Percentage of national budget,,,65.15631434
2001,Percentage of national budget,,,66.19322177
2002,Percentage of national budget,,,66.95978205
2003,Percentage of national budget,,,66.01007118
2004,Percentage of national budget,,,65.6851937
2005,Percentage of national budget,,,65.22631225
2006,Percentage of national budget,,,64.85161006
2007,Percentage of national budget,,,64.77870305
2008,Percentage of national budget,,,62.37228481
2009,Percentage of national budget,,,65.31672344
2010,Percentage of national budget,,,65.24617464
2011,Percentage of national budget,,,65.47982703
2012,Percentage of national budget,,,65.78560864
2013,Percentage of national budget,,,66.64518237
2014,Percentage of national budget,,,67.38984609
2015,Percentage of national budget,,,68.13987609
2000,Percentage of national budget,Health,,14.29348403
2001,Percentage of national budget,Health,,14.63225988
2002,Percentage of national budget,Health,,14.90752479
2003,Percentage of national budget,Health,,14.92465135
2004,Percentage of national budget,Health,,15.36587128
2005,Percentage of national budget,Health,,15.48696049
2006,Percentage of national budget,Health,,15.83154679
2007,Percentage of national budget,Health,,15.82307645
2008,Percentage of national budget,Health,,15.45239939
2009,Percentage of national budget,Health,,16.24346563
2010,Percentage of national budget,Health,,16.02713196
2011,Percentage of national budget,Health,,16.10505018
2012,Percentage of national budget,Health,,16.03529042
2013,Percentage of national budget,Health,,16.70873472
2014,Percentage of national budget,Health,,17.29676359
2015,Percentage of national budget,Health,,17.80501985
2000,Percentage of national budget,Health,"Medical products, appliances and equipment",1.433259175
2001,Percentage of national budget,Health,"Medical products, appliances and equipment",1.419122389
2002,Percentage of national budget,Health,"Medical products, appliances and equipment",1.508060673
2003,Percentage of national budget,Health,"Medical products, appliances and equipment",1.536606296
2004,Percentage of national budget,Health,"Medical products, appliances and equipment",1.478386814
2005,Percentage of national budget,Health,"Medical products, appliances and equipment",1.409825649
2006,Percentage of national budget,Health,"Medical products, appliances and equipment",1.369521954
2007,Percentage of national budget,Health,"Medical products, appliances and equipment",1.311266185
2008,Percentage of national budget,Health,"Medical products, appliances and equipment",1.188448965
2009,Percentage of national budget,Health,"Medical products, appliances and equipment",1.124990889
2010,Percentage of national budget,Health,"Medical products, appliances and equipment",1.031348166
2011,Percentage of national budget,Health,"Medical products, appliances and equipment",1.086470689
2012,Percentage of national budget,Health,"Medical products, appliances and equipment",1.061984983
2013,Percentage of national budget,Health,"Medical products, appliances and equipment",1.013235355
2014,Percentage of national budget,Health,"Medical products, appliances and equipment",1.088474854
2015,Percentage of national budget,Health,"Medical products, appliances and equipment",1.019914215
2000,Percentage of national budget,Health,Outpatient services,1.498266052
2001,Percentage of national budget,Health,Outpatient services,1.523865405
2002,Percentage of national budget,Health,Outpatient services,1.598647713
2003,Percentage of national budget,Health,Outpatient services,1.498124258
2004,Percentage of national budget,Health,Outpatient services,1.566580627
2005,Percentage of national budget,Health,Outpatient services,1.604180311
2006,Percentage of national budget,Health,Outpatient services,1.713907599
2007,Percentage of national budget,Health,Outpatient services,1.665645333
2008,Percentage of national budget,Health,Outpatient services,1.56148554
2009,Percentage of national budget,Health,Outpatient services,1.835605549
2010,Percentage of national budget,Health,Outpatient services,1.78351352
2011,Percentage of national budget,Health,Outpatient services,1.849486254
2012,Percentage of national budget,Health,Outpatient services,1.874674692
2013,Percentage of national budget,Health,Outpatient services,1.822048289
2014,Percentage of national budget,Health,Outpatient services,1.921569514
2015,Percentage of national budget,Health,Outpatient services,1.840835993
2000,Percentage of national budget,Health,Hospital services,10.92944294
2001,Percentage of national budget,Health,Hospital services,11.18446894
2002,Percentage of national budget,Health,Hospital services,11.3000027
2003,Percentage of national budget,Health,Hospital services,11.36660623
2004,Percentage of national budget,Health,Hospital services,11.81302912
2005,Percentage of national budget,Health,Hospital services,11.92982643
2006,Percentage of national budget,Health,Hospital services,12.23195651
2007,Percentage of national budget,Health,Hospital services,12.33217265
2008,Percentage of national budget,Health,Hospital services,12.2011436
2009,Percentage of national budget,Health,Hospital services,12.66962538
2010,Percentage of national budget,Health,Hospital services,12.55991708
2011,Percentage of national budget,Health,Hospital services,12.67491834
2012,Percentage of national budget,Health,Hospital services,12.42637093
2013,Percentage of national budget,Health,Hospital services,12.83101251
2014,Percentage of national budget,Health,Hospital services,12.99059879
2015,Percentage of national budget,Health,Hospital services,13.38164878
2000,Percentage of national budget,Health,Public health services,0.037553773
2001,Percentage of national budget,Health,Public health services,0.040490934
2002,Percentage of national budget,Health,Public health services,0.039786367
2003,Percentage of national budget,Health,Public health services,0.040951474
2004,Percentage of national budget,Health,Public health services,0.042196178
2005,Percentage of national budget,Health,Public health services,0.05555526
2006,Percentage of national budget,Health,Public health services,0.046786987
2007,Percentage of national budget,Health,Public health services,0.040536667
2008,Percentage of national budget,Health,Public health services,0.040720786
2009,Percentage of national budget,Health,Public health services,0.055149309
2010,Percentage of national budget,Health,Public health services,0.071086377
2011,Percentage of national budget,Health,Public health services,0.066780392
2012,Percentage of national budget,Health,Public health services,0.068153592
2013,Percentage of national budget,Health,Public health services,0.358285991
2014,Percentage of national budget,Health,Public health services,0.474582573
2015,Percentage of national budget,Health,Public health services,0.518004137
2000,Percentage of national budget,Health,R&D Health,0.219624825
2001,Percentage of national budget,Health,R&D Health,0.287315912
2002,Percentage of national budget,Health,R&D Health,0.310423579
2003,Percentage of national budget,Health,R&D Health,0.319380336
2004,Percentage of national budget,Health,R&D Health,0.282828436
2005,Percentage of national budget,Health,R&D Health,0.285053505
2006,Percentage of national budget,Health,R&D Health,0.297932851
2007,Percentage of national budget,Health,R&D Health,0.308142011
2008,Percentage of national budget,Health,R&D Health,0.344133359
2009,Percentage of national budget,Health,R&D Health,0.355238565
2010,Percentage of national budget,Health,R&D Health,0.428901047
2011,Percentage of national budget,Health,R&D Health,0.253104296
2012,Percentage of national budget,Health,R&D Health,0.182301195
2013,Percentage of national budget,Health,R&D Health,0.166342473
2014,Percentage of national budget,Health,R&D Health,0.193199576
2015,Percentage of national budget,Health,R&D Health,0.37814801
2000,Percentage of national budget,Health,Health - not elsewhere classified.,0.175337272
2001,Percentage of national budget,Health,Health - not elsewhere classified.,0.1769963
2002,Percentage of national budget,Health,Health - not elsewhere classified.,0.150603764
2003,Percentage of national budget,Health,Health - not elsewhere classified.,0.162982749
2004,Percentage of national budget,Health,Health - not elsewhere classified.,0.182850105
2005,Percentage of national budget,Health,Health - not elsewhere classified.,0.202519333
2006,Percentage of national budget,Health,Health - not elsewhere classified.,0.171440889
2007,Percentage of national budget,Health,Health - not elsewhere classified.,0.165313597
2008,Percentage of national budget,Health,Health - not elsewhere classified.,0.116467144
2009,Percentage of national budget,Health,Health - not elsewhere classified.,0.202855937
2010,Percentage of national budget,Health,Health - not elsewhere classified.,0.152365773
2011,Percentage of national budget,Health,Health - not elsewhere classified.,0.17429021
2012,Percentage of national budget,Health,Health - not elsewhere classified.,0.421805027
2013,Percentage of national budget,Health,Health - not elsewhere classified.,0.517810094
2014,Percentage of national budget,Health,Health - not elsewhere classified.,0.628338283
2015,Percentage of national budget,Health,Health - not elsewhere classified.,0.666468714
2000,Percentage of national budget,Education,,13.07518783
2001,Percentage of national budget,Education,,13.67938939
2002,Percentage of national budget,Education,,14.70746905
2003,Percentage of national budget,Education,,13.839334400000002
2004,Percentage of national budget,Education,,13.52121403
2005,Percentage of national budget,Education,,13.70652978
2006,Percentage of national budget,Education,,14.09341022
2007,Percentage of national budget,Education,,13.97802469
2008,Percentage of national budget,Education,,13.34346132
2009,Percentage of national budget,Education,,13.51886973
2010,Percentage of national budget,Education,,13.58213124
2011,Percentage of national budget,Education,,12.94058529
2012,Percentage of national budget,Education,,12.36504558
2013,Percentage of national budget,Education,,12.02927525
2014,Percentage of national budget,Education,,12.26842431
2015,Percentage of national budget,Education,,11.9515232
2000,Percentage of national budget,Education,Pre-primary and primary education,4.054253548
2001,Percentage of national budget,Education,Pre-primary and primary education,4.367201858
2002,Percentage of national budget,Education,Pre-primary and primary education,4.664221041
2003,Percentage of national budget,Education,Pre-primary and primary education,4.144330279
2004,Percentage of national budget,Education,Pre-primary and primary education,4.110515972
2005,Percentage of national budget,Education,Pre-primary and primary education,4.162739638
2006,Percentage of national budget,Education,Pre-primary and primary education,4.336151135
2007,Percentage of national budget,Education,Pre-primary and primary education,4.202829016
2008,Percentage of national budget,Education,Pre-primary and primary education,3.970561434
2009,Percentage of national budget,Education,Pre-primary and primary education,4.015034719
2010,Percentage of national budget,Education,Pre-primary and primary education,4.044113267
2011,Percentage of national budget,Education,Pre-primary and primary education,3.851178905
2012,Percentage of national budget,Education,Pre-primary and primary education,3.470422114
2013,Percentage of national budget,Education,Pre-primary and primary education,3.326592153
2014,Percentage of national budget,Education,Pre-primary and primary education,3.200731596
2015,Percentage of national budget,Education,Pre-primary and primary education,3.182631391
2000,Percentage of national budget,Education,Secondary education,3.559320717
2001,Percentage of national budget,Education,Secondary education,3.774385483
2002,Percentage of national budget,Education,Secondary education,4.032584361
2003,Percentage of national budget,Education,Secondary education,3.768770283
2004,Percentage of national budget,Education,Secondary education,3.845744458
2005,Percentage of national budget,Education,Secondary education,3.934128856
2006,Percentage of national budget,Education,Secondary education,4.221690113
2007,Percentage of national budget,Education,Secondary education,4.192536503
2008,Percentage of national budget,Education,Secondary education,4.032639276
2009,Percentage of national budget,Education,Secondary education,4.199874298
2010,Percentage of national budget,Education,Secondary education,4.319192395
2011,Percentage of national budget,Education,Secondary education,4.398645879
2012,Percentage of national budget,Education,Secondary education,4.493627832
2013,Percentage of national budget,Education,Secondary education,4.847217076
2014,Percentage of national budget,Education,Secondary education,5.366626972
2015,Percentage of national budget,Education,Secondary education,5.177920448
2000,Percentage of national budget,Education,Post-secondary non-tertiary education,1.478064712
2001,Percentage of national budget,Education,Post-secondary non-tertiary education,1.612606016
2002,Percentage of national budget,Education,Post-secondary non-tertiary education,1.644952751
2003,Percentage of national budget,Education,Post-secondary non-tertiary education,1.560683293
2004,Percentage of national budget,Education,Post-secondary non-tertiary education,1.540730716
2005,Percentage of national budget,Education,Post-secondary non-tertiary education,1.85320277
2006,Percentage of national budget,Education,Post-secondary non-tertiary education,1.585243384
2007,Percentage of national budget,Education,Post-secondary non-tertiary education,1.600248287
2008,Percentage of national budget,Education,Post-secondary non-tertiary education,1.294807103
2009,Percentage of national budget,Education,Post-secondary non-tertiary education,1.393173313
2010,Percentage of national budget,Education,Post-secondary non-tertiary education,1.484341802
2011,Percentage of national budget,Education,Post-secondary non-tertiary education,1.376205022
2012,Percentage of national budget,Education,Post-secondary non-tertiary education,1.378789675
2013,Percentage of national budget,Education,Post-secondary non-tertiary education,1.23489667
2014,Percentage of national budget,Education,Post-secondary non-tertiary education,1.112970249
2015,Percentage of national budget,Education,Post-secondary non-tertiary education,1.067572592
2000,Percentage of national budget,Education,Tertiary education,1.503704874
2001,Percentage of national budget,Education,Tertiary education,1.517561427
2002,Percentage of national budget,Education,Tertiary education,1.56335698
2003,Percentage of national budget,Education,Tertiary education,1.520760751
2004,Percentage of national budget,Education,Tertiary education,1.531227072
2005,Percentage of national budget,Education,Tertiary education,1.600807947
2006,Percentage of national budget,Education,Tertiary education,1.503533253
2007,Percentage of national budget,Education,Tertiary education,1.537859822
2008,Percentage of national budget,Education,Tertiary education,1.622139578
2009,Percentage of national budget,Education,Tertiary education,1.691474687
2010,Percentage of national budget,Education,Tertiary education,1.62426415
2011,Percentage of national budget,Education,Tertiary education,1.34830272
2012,Percentage of national budget,Education,Tertiary education,1.412286714
2013,Percentage of national budget,Education,Tertiary education,1.131206002
2014,Percentage of national budget,Education,Tertiary education,1.095132577
2015,Percentage of national budget,Education,Tertiary education,0.807073401
2000,Percentage of national budget,Education,Education not definable by level,1.098642107
2001,Percentage of national budget,Education,Education not definable by level,1.129381871
2002,Percentage of national budget,Education,Education not definable by level,1.302834947
2003,Percentage of national budget,Education,Education not definable by level,1.329173706
2004,Percentage of national budget,Education,Education not definable by level,1.28964445
2005,Percentage of national budget,Education,Education not definable by level,1.197899195
2006,Percentage of national budget,Education,Education not definable by level,1.320061425
2007,Percentage of national budget,Education,Education not definable by level,1.352277892
2008,Percentage of national budget,Education,Education not definable by level,1.264907225
2009,Percentage of national budget,Education,Education not definable by level,1.120865005
2010,Percentage of national budget,Education,Education not definable by level,1.026714975
2011,Percentage of national budget,Education,Education not definable by level,0.972877904
