Year,Units,Government,Area of spending category,Area of spending sub-category,Value
2000,Percentage (%),,Environmental protection,,1.411892129
2000,Percentage (%),,Environmental protection,Waste management,1.059026547
2000,Percentage (%),,Environmental protection,Waste water management,0
2000,Percentage (%),,Environmental protection,Pollution abatement,0.052650468
2000,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.058667664
2000,Percentage (%),,Environmental protection,Research and development environmental protection,0.050931269
2000,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.190616182
2000,Percentage (%),,"Recreation, culture and religion",,2.610818489
2000,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.749570738
2000,Percentage (%),,"Recreation, culture and religion",Cultural services,0.98875429
2000,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.63202051
2000,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0
2000,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.0006447
2000,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.239828252
2000,Percentage (%),Central government,Environmental protection,,0.653191628
2000,Percentage (%),Central government,Environmental protection,Waste management,0.186463755
2000,Percentage (%),Central government,Environmental protection,Waste water management,0
2000,Percentage (%),Central government,Environmental protection,Pollution abatement,0.069639664
2000,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.077598483
2000,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.067365716
2000,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.25212401
2000,Percentage (%),Central government,"Recreation, culture and religion",,1.457316571
2000,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.087262763
2000,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.528408719
2000,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.835960217
2000,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0
2000,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000852731
2000,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.00483214
2000,Percentage (%),Local governemnt,Environmental protection,,3.763147231
2000,Percentage (%),Local governemnt,Environmental protection,Waste management,3.763147231
2000,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2000,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2000,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
