Year,Type of government,Source of revenue,Value
2000,,,31.78556731
2001,,,32.4205318
2002,,,32.50354772
2003,,,33.51760905
2004,,,35.635812
2005,,,37.22038838
2006,,,38.73533463
2007,,,39.84140161
2008,,,42.00316027
2009,,,41.4148761
2010,,,43.14418751
2011,,,43.82509957
2012,,,44.27589107
2013,,,44.61862348
2014,,,44.17874506
2015,,,44.47760593
2016,,,45.19891024
2000,Central government,Taxes,19.52860848
2001,Central government,Taxes,19.41162667
2002,Central government,Taxes,19.19893448
2003,Central government,Taxes,19.33559989
2004,Central government,Taxes,20.3271843
2005,Central government,Taxes,21.13406799
2006,Central government,Taxes,21.93680459
2007,Central government,Taxes,22.65230401
2008,Central government,Taxes,22.61670371
2009,Central government,Taxes,22.00299171
2010,Central government,Taxes,23.53329453
2011,Central government,Taxes,24.64414
2012,Central government,Taxes,24.238176
2013,Central government,Taxes,24.68714226
2014,Central government,Taxes,24.80774274
2015,Central government,Taxes,25.1589819
2016,Central government,Taxes,26.13071913
2000,Central government,National insurance contributions,4.118899275
2001,Central government,National insurance contributions,4.208237947
2002,Central government,National insurance contributions,4.125829672
2003,Central government,National insurance contributions,4.504983882
2004,Central government,National insurance contributions,4.873622558
2005,Central government,National insurance contributions,5.039632531
2006,Central government,National insurance contributions,5.215325077
2007,Central government,National insurance contributions,5.303492817
2008,Central government,National insurance contributions,5.620746666
2009,Central government,National insurance contributions,5.635267604
2010,Central government,National insurance contributions,5.711573349
2011,Central government,National insurance contributions,5.866622405
2012,Central government,National insurance contributions,5.944996854
2013,Central government,National insurance contributions,5.924054167
2014,Central government,National insurance contributions,5.912940192
2015,Central government,National insurance contributions,6.039326809
2016,Central government,National insurance contributions,6.335085451
2000,Central government,Interest and dividends,0.553110503
2001,Central government,Interest and dividends,0.554254104
2002,Central government,Interest and dividends,0.459495492
2003,Central government,Interest and dividends,0.476694548
2004,Central government,Interest and dividends,0.446613397
2005,Central government,Interest and dividends,0.414882546
2006,Central government,Interest and dividends,0.382398933
2007,Central government,Interest and dividends,0.443181049
2008,Central government,Interest and dividends,0.546930739
2009,Central government,Interest and dividends,0.528114284
2010,Central government,Interest and dividends,0.461755822
2011,Central government,Interest and dividends,0.463761645
2012,Central government,Interest and dividends,0.675087307
2013,Central government,Interest and dividends,1.493564149
2014,Central government,Interest and dividends,0.91035003
2015,Central government,Interest and dividends,0.923738985
2016,Central government,Interest and dividends,0.953851659
2000,Central government,Other receipts,0.747871574
2001,Central government,Other receipts,0.778449022
2002,Central government,Other receipts,0.787622901
2003,Central government,Other receipts,0.813025537
2004,Central government,Other receipts,0.812208909
2005,Central government,Other receipts,0.831197163
2006,Central government,Other receipts,0.83934411
2007,Central government,Other receipts,0.842265896
2008,Central government,Other receipts,0.910808042
2009,Central government,Other receipts,0.998649732
2010,Central government,Other receipts,1.027421372
2011,Central government,Other receipts,1.062794333
2012,Central government,Other receipts,1.142508047
2013,Central government,Other receipts,1.190450928
2014,Central government,Other receipts,1.260021978
2015,Central government,Other receipts,1.213562291
2016,Central government,Other receipts,1.156231113
2000,Central government,Market output and output for own final use,0.229556924
2001,Central government,Market output and output for own final use,0.278927011
2002,Central government,Market output and output for own final use,0.289152926
2003,Central government,Market output and output for own final use,0.305411963
2004,Central government,Market output and output for own final use,0.591731993
2005,Central government,Market output and output for own final use,0.737277253
2006,Central government,Market output and output for own final use,0.786171672
2007,Central government,Market output and output for own final use,0.902122933
2008,Central government,Market output and output for own final use,0.947738873
2009,Central government,Market output and output for own final use,1.117626105
2010,Central government,Market output and output for own final use,1.107157861
2011,Central government,Market output and output for own final use,1.028615117
2012,Central government,Market output and output for own final use,0.924811482
2013,Central government,Market output and output for own final use,1.02124808
2014,Central government,Market output and output for own final use,1.026257096
2015,Central government,Market output and output for own final use,1.06955071
2016,Central government,Market output and output for own final use,1.079669161
2000,Central government,Pension contributions,0.796954919
2001,Central government,Pension contributions,0.869780285
2002,Central government,Pension contributions,0.925692773
2003,Central government,Pension contributions,0.948225431
2004,Central government,Pension contributions,0.963602238
2005,Central government,Pension contributions,1.052571281
2006,Central government,Pension contributions,1.053839277
2007,Central government,Pension contributions,1.098194559
2008,Central government,Pension contributions,1.148800377
2009,Central government,Pension contributions,1.28558924
2010,Central government,Pension contributions,1.290628058
2011,Central government,Pension contributions,1.275908395
2012,Central government,Pension contributions,1.253635875
